"Country","CSCC_mean","CSCC_std","CSCC_skew","CSCC_median","CSCC_min","CSCC_q17","CSCC_q83","CSCC_max","F_mean","F_std","F_skew","F_median","F_min","F_q17","F_q83","F_max","FWglob_mean","FWglob_std","FWglob_skew","FWglob_median","FWglob_min","FWglob_q17","FWglob_q83","FWglob_max","FWdom_mean","FWdom_std","FWdom_skew","FWdom_median","FWdom_min","FWdom_q17","FWdom_q83","FWdom_max","FWout_mean","FWout_std","FWout_skew","FWout_median","FWout_min","FWout_q17","FWout_q83","FWout_max","FWin_mean","FWin_std","FWin_skew","FWin_median","FWin_min","FWin_q17","FWin_q83","FWin_max","FWnet_mean","FWnet_std","FWnet_skew","FWnet_median","FWnet_min","FWnet_q17","FWnet_q83","FWnet_max","Fabmean"
"Total",172.55877497744066,140.10191431656486,0.39013867999497864,166.268109868995,-309.157663486625,39.53217073669721,300.4943756352405,1028.0981319122768,-8.911434676237299,0.7784396445831426,-0.10547563223972718,-8.874295826,-11.549225429,-9.660417509000002,-8.191743214999999,-6.190787972,-5590.644279683342,4653.99442623653,-0.4722416768515608,-5404.413501801866,-32144.813777205116,-9700.903362966068,-1264.5440592898706,9679.110489206183,-5590.644279683342,4653.99442623653,-0.4722416768515608,-5404.413501801866,-32144.813777205116,-9700.903362966068,-1264.5440592898706,9679.110489206183,-5590.644279683342,4653.99442623653,-0.4722416768515608,-5404.413501801866,-32144.813777205116,-9700.903362966068,-1264.5440592898706,9679.110489206183,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,-5590.644279683342,4653.99442623653,-0.4722416768515608,-5404.413501801866,-32144.813777205116,-9700.903362966068,-1264.5440592898706,9679.110489206183,-8.911434676237299
"ROW",0,0,0,0,0,0,0,0,-0.12085282754261,0.012571263517990173,-0.0512763298696532,-0.12106989885,-0.1857125928,-0.1309612734,-0.1108920163,-0.05988121440000001,-75.85935758318567,63.378242834436726,-0.5024966428452832,-73.16935869202817,-422.1560451224466,-131.38721419856114,-17.063222853478948,120.3679369865278,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,-0.12085282754261
"CAF",0.09561346986444395,0.05299112357083909,0.3364687263223041,0.09259857762934971,-0.09213462081004188,0.04707414278479151,0.14422876011426206,0.3911010662597401,0.02550116035176,0.02505772832056995,-1.145338918540911,0.026898777999999998,-0.13380015,0.005333679000000001,0.04462157,0.09885234,16.1232527756374,24.36341648753389,0.36447333225700257,11.978398697008902,-256.7514642041594,-0.5617632904172581,33.72821480681501,227.51884437275655,0.008944929075075183,0.011058460224998515,-0.12557880158310666,0.0075918376514696635,-0.1055067673060536,0.0005154114961941683,0.017312914639092,0.08892278831954928,16.11433930648569,24.352612967674222,0.36474453088357417,11.970027658172379,-256.62197665936685,-0.5624632480837883,33.70954580870726,227.42599086461806,-3.1538468637966552,1.7622097310613345,-0.41294324759089324,-3.0306108406033694,-12.872280231146192,-4.777561780198182,-1.561819089274796,2.3167435646063206,19.268186170282345,24.383101828160022,0.3408792617975334,15.204612146779233,-255.07792877787372,2.2364298184406612,36.75967062787915,231.16808852689155,0.02550116035176
"PNG",0.19772200963321235,0.12975979524625336,0.5960228952517783,0.18576652293099516,-0.2351732596546136,0.07937108867206188,0.3143499913630928,1.0279087197403083,0.012765296349442198,0.013708301348007712,0.3783657909674021,0.0105580711315,-0.043266609835,0.00008037930099999945,0.029305439500999998,0.054537783112,8.016483945493176,13.066281682981163,1.6357888426270795,4.083163581201209,-76.99256838807658,-0.861416885319792,17.652670305596445,116.0525655993952,0.009317772906925873,0.013376889650841016,1.763852926172989,0.005626553540472576,-0.0639254675404326,-0.0003855221378248976,0.019432453854667915,0.122888946837609,8.007288181085185,13.053092098214249,1.635856842501781,4.078777296974753,-76.90841052648072,-0.8608919933419508,17.632421638992717,115.93382718513811,-6.528998348265824,4.3116695180400075,-0.6681558500763545,-6.075771927495461,-33.554134426159074,-10.386543922134443,-2.653218617426146,5.194004156392882,14.536286529351008,13.617353592100082,1.4126825803758403,11.509680130232487,-71.08873919248087,4.111069264721173,24.653325135067835,120.90227155212087,0.012765296349442198
"COG",0.2760273305356377,0.15714100323754224,0.41674897439849656,0.26496611923830704,-0.27149823275538193,0.13244968070833482,0.41960222955834725,1.1908207380971736,0.010940705294165,0.009992530242195503,0.5355078937787031,0.010506775953000001,-0.020215728858,0.001889952742,0.019318947535999997,0.051760910742,6.8483102251949735,9.956460651897157,1.8430015844141137,4.384094627937554,-31.293851855886263,-0.35376772297757353,14.313978758979607,88.36047597783777,0.011163608156483963,0.01336115973865614,1.7303252311722348,0.008438874818956544,-0.0372521830114089,0.0004153025762518706,0.021646282608133914,0.17153470713233734,6.837332106680023,9.943754682496394,1.8432269640583507,4.373797952204274,-31.279234131457468,-0.353145550799019,14.290482012675984,88.2490088288801,-9.089413647383477,5.212753786923546,-0.4865630935875537,-8.660661275594684,-39.06865915818413,-13.902263240298286,-4.386198859883254,6.619616217777206,15.926745754063498,11.042989370826783,1.3604916227706412,14.176508768253887,-23.930335011252733,6.77473758559579,24.64372292496879,103.70627510873852,0.010940705294165
"GAB",0.1031523341356294,0.05974744814855544,0.48302620518347494,0.09849027366981211,-0.0996738522435279,0.048723405405021604,0.15733948598621111,0.47005734375340963,0.0105909471895004,0.008995283006590579,0.24418564585382774,0.0099314865135,-0.023766733518000002,0.002562941034,0.018227635332999998,0.042582986518,6.648044995756008,9.18447671251565,1.5793255227376342,4.446606715257854,-43.65996606755469,-0.05867270129331393,13.447557404980273,75.36345068126602,0.004021946091240003,0.004581097393366339,1.4255863110703015,0.0031254091126066827,-0.02493069022935117,0.00039464997898534815,0.007531282211980699,0.05142168031703055,6.6440681960440084,9.180056758845422,1.579369463836182,4.443620073171993,-43.638029682451645,-0.05846242969115549,13.440086198905954,75.33087286112342,-3.397388807483481,1.979853111347613,-0.5532590922906621,-3.2133710719520003,-15.421747378478058,-5.172931452628066,-1.6156949555662006,2.2501331674161436,10.041457003527489,9.290290282788579,1.50814915115933,8.186483643671828,-40.79525305452872,2.9133912928949637,16.98677761981041,81.50917056590882,0.0105909471895004
"CMR",0.7422480620056359,0.4306112824864594,0.441745510079685,0.7109532340091651,-0.7649635236933376,0.34895499670473207,1.1344578631671134,3.295053181517417,0.009972521988836299,0.013455168553572453,-0.35156813716907853,0.0112082149865,-0.038252416705,-0.0027256203689999996,0.022083376630999997,0.047199791672,6.226590895035848,12.225371192102221,0.8158060715197745,4.007306564961274,-74.87941405464395,-2.125727433617235,15.890549156270552,101.87708612404133,0.02736057563009259,0.045334027380729565,0.5618459438305929,0.022332569269715837,-0.2682406356075883,-0.006448373715103672,0.06433679459387072,0.35519423828888913,6.199822527803114,12.181273749377574,0.8168038059997996,3.986407786623408,-74.62164230986843,-2.1270712451803147,15.827869181740816,101.53171490624796,-24.459728718514437,14.294024410849037,-0.5159692043272888,-23.23092995846634,-108.158783155928,-37.45780020604662,-11.591323627317964,18.565863678566195,30.65955124631755,18.235775445152363,0.39778139776959914,29.480687354194004,-56.325766882604775,14.253355496789709,46.98950217351694,132.4646139342172,0.009972521988836299
"ZMB",0.7374741440010308,0.4561528644776972,0.4195384499896106,0.709741746226591,-0.9539692381830476,0.31811084447771976,1.1513408944923371,3.6435564664414293,0.007133106987493401,0.027194165017586296,-0.9694889380965044,0.0073767306775,-0.12200377185900002,-0.012297061664,0.031002188767000005,0.084397137702,4.472885109748973,22.007112432082277,-0.4816115499726713,2.1467603134000326,-201.19017758609382,-6.884504455950674,19.066778907096616,177.9081979036514,0.01987067870655215,0.08725007779732241,-1.030052111591377,0.01295080994663772,-1.1998124810867998,-0.028068320066206513,0.081735529329488,0.5842287871120421,4.45377104706958,21.92329036045993,-0.48099953661270883,2.1378121750192536,-200.44412498648825,-6.848676702641546,19.002868348420005,177.3847394998477,-24.29085596944636,15.11213936260217,-0.49400282871522266,-23.1120298966924,-112.59786609207039,-37.88849774746887,-10.60455607407899,21.20043757193581,28.744627016515942,26.50808592526193,-0.2917794182177568,27.680025934837474,-183.01884988571112,8.536889111679569,50.35162673499716,184.3194250888254,0.007133106987493401
"AGO",0.7848106207478398,0.486603590854189,0.4297812368249996,0.7509654084970313,-0.8692932064472947,0.33589482547326516,1.2287227387782678,3.5576070172627516,0.0063045707375313995,0.02825347535080229,-0.24297035606068632,0.0062829262925000046,-0.120910343259,-0.01796806499,0.030964372617999995,0.109657836166,3.839007138115108,23.362135572203538,-0.000393401874392799,1.6273262015556789,-266.8698783012306,-10.034037366237074,19.688951980722802,226.76792368565802,0.01817136317659146,0.09703638545085136,0.06079355427184619,0.01068098690331859,-0.8406200031149695,-0.04593240656418257,0.08680246974632443,0.7491717149022757,3.821380617020093,23.267433332110336,-0.00016870260794832337,1.6201222603843344,-265.90912431599264,-10.003606756794362,19.59542334307175,225.89410898043622,-25.889044589806346,16.160845008158287,-0.5067302238403073,-24.563419191513916,-116.37247191593202,-40.615220839579145,-11.18749986534709,23.568280005149266,29.710425206826436,28.233286768933628,0.14557546624507567,28.304899332541993,-232.6756393133161,7.6590085705050015,52.768872977431315,254.02388255243332,0.0063045707375313995
"MOZ",0.816119708752031,0.46086608977004945,0.3540439272253722,0.7909278557004032,-0.832734454936863,0.39331665830528967,1.2366153817717476,3.5794363093100885,0.0060389754983424995,0.03605908129590695,-0.2834960709675079,0.007315815012,-0.119135903217,-0.024980205829,0.035867669171000004,0.132130902176,3.81150296755386,29.502241776050248,0.050463351638745886,1.9085073394851677,-266.5935319611176,-13.202700726787658,23.308450327631963,261.1786627543631,0.017967915394718103,0.12327488073965673,-0.16707848493595304,0.01401969546589088,-0.7312052411152793,-0.0635793798294481,0.10948638981826932,0.8188145360415884,3.793673297178995,29.38165367065182,0.05093189449902152,1.894817914533523,-265.8232555489074,-13.14413306256456,23.194245311142303,260.17554592616744,-26.85043740505877,15.26131810299057,-0.43128571089309786,-25.757640319286445,-112.20304527890531,-40.69413892355174,-13.142718993780214,17.980173812545484,30.64411070223776,32.630011231924684,0.04404542014233019,29.6082768175042,-238.4778824799728,6.997171318084952,55.39770990731209,299.9205788217664,0.0060389754983424995
