"Country","CSCC_mean","CSCC_std","CSCC_skew","CSCC_median","CSCC_min","CSCC_q17","CSCC_q83","CSCC_max","F_mean","F_std","F_skew","F_median","F_min","F_q17","F_q83","F_max","FWglob_mean","FWglob_std","FWglob_skew","FWglob_median","FWglob_min","FWglob_q17","FWglob_q83","FWglob_max","FWdom_mean","FWdom_std","FWdom_skew","FWdom_median","FWdom_min","FWdom_q17","FWdom_q83","FWdom_max","FWout_mean","FWout_std","FWout_skew","FWout_median","FWout_min","FWout_q17","FWout_q83","FWout_max","FWin_mean","FWin_std","FWin_skew","FWin_median","FWin_min","FWin_q17","FWin_q83","FWin_max","FWnet_mean","FWnet_std","FWnet_skew","FWnet_median","FWnet_min","FWnet_q17","FWnet_q83","FWnet_max","Fabmean"
"Total",172.55877497744066,140.10191431656486,0.39013867999497864,166.268109868995,-309.157663486625,39.53217073669721,300.4943756352405,1028.0981319122768,1.0491555510912,0.9588275430514251,-0.16532515254853317,1.1462438775,-2.019811137,0.14281849199999996,1.876839115,4.212870055,658.6546223424959,951.6491322268965,1.1903348479932434,461.77743598765187,-3584.213846800939,-56.990079405071945,1435.3348379692648,7852.784155930816,658.6546223424959,951.6491322268965,1.1903348479932434,461.77743598765187,-3584.213846800939,-56.990079405071945,1435.3348379692648,7852.784155930816,658.6546223424959,951.6491322268965,1.1903348479932434,461.77743598765187,-3584.213846800939,-56.990079405071945,1435.3348379692648,7852.784155930816,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,658.6546223424959,951.6491322268965,1.1903348479932434,461.77743598765187,-3584.213846800939,-56.990079405071945,1435.3348379692648,7852.784155930816,1.0491555510912
"ROW",0,0,0,0,0,0,0,0,0.0091834726612,0.012389478027453308,0.014333780678737543,0.0091232605,-0.052366920000000004,-0.0005071820000000001,0.018583595999999997,0.065242904,5.775635217167271,11.157233216639264,1.1566284779126186,3.577521646487279,-95.89406463636068,-1.0778526537826154,13.162703533017687,118.54012819540608,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.0091834726612
"RUS",-6.331179008502642,3.955440751788274,-0.930926548197458,-5.932765434709885,-51.380199704731965,-9.760688542549966,-2.820068992133308,5.8856687369781735,0.2619270375989,0.1731488293811922,-0.012461532032825566,0.26291694,-0.18046919,0.08903208,0.43880957000000004,0.7519143,164.55473601373802,193.72598378055278,1.264975187329091,119.0805669219859,-429.3467144430518,3.4731006838785596,326.62008443345195,1352.8428166029053,-6.024681639472051,6.0188363774738,-1.4710109419435704,-4.723891443427032,-66.57474888616913,-11.135541088903782,-0.8123680526081591,10.04537198772098,170.58261650375718,195.60636367328183,1.2595464892226402,124.62489554428245,-404.8692989148605,5.97282502048865,333.91663729988875,1358.1354340313533,-18.253061021497242,26.962455002419446,-1.1404412034901392,-14.082437016550937,-251.48266540658489,-39.493999720371036,1.664219676503018,115.540571426174,188.83567752525443,199.80818286155443,1.2247335924475986,144.04888418123716,-366.296550071984,19.072622717737524,360.9237212399515,1392.9596702185286,0.2619270375989
"USA",7.404607703106641,13.012409368718036,0.29604299000239165,6.951195211379698,-43.71079028354322,-5.339330745700333,19.3186219889411,89.54008735145875,0.20815155636210003,0.13840589231704306,0.09638770157538848,0.20691707,-0.2548048,0.08372223,0.3318035,0.7576326,130.13796252482652,153.98889168109702,1.3456422756144868,98.24530706577059,-487.7599062436058,5.757274767052334,255.2892730622552,1323.720017297225,5.801777321029904,12.412388329687454,1.1034303017804425,3.6820208490538135,-54.48306172725969,-3.200131861122993,15.587110550799782,94.78028801666537,124.56678223302741,142.74151092420863,1.3428255275395837,95.05079283198975,-421.93989668102904,8.583125568193726,240.32559670328675,1255.4117436507754,23.615889554929485,64.21310779198036,1.0870959652944552,10.478563147348243,-415.80357902048354,-20.619918001110783,73.33473755201886,505.3378439233844,100.95089267809793,151.28705280378907,1.0063598872671466,78.9614745048254,-604.4093357416097,-20.28120375339905,222.76847230200318,1150.3922046046823,0.20815155636210003
"CHN",15.20221517845361,21.964153947973063,0.38168099886603185,14.216782197468625,-70.25455936507906,-6.159905977650442,35.03271837855963,156.19262130061438,0.16548523287220002,0.07656479074576734,-0.2859086977407207,0.17219609000000002,-0.10905269000000001,0.090914586,0.23507275,0.40017460000000005,104.15466977739761,106.05276896750485,1.1185621313246878,86.79076374010018,-230.89430728624723,11.044847247873015,193.91918986820954,845.1964798583286,9.46190281329619,15.40857328055379,0.9730326342518812,6.929905684552759,-55.481735025635224,-2.6888552455137478,22.325192040942802,113.53764896847528,94.97312110913076,91.45963662002474,1.1059769719790637,80.29573140557486,-178.3705782921201,13.914594786696354,172.89851222277267,743.654721202491,50.666743058068235,115.65248426554501,1.252406812833078,23.994403136386588,-659.2856001656571,-28.523300823809553,138.64343853903085,960.5250802522336,44.30637805106253,138.89975651282487,-0.3221399205247468,44.9903191230983,-983.0145381128325,-63.51819274801638,159.8833873513145,916.6222379915843,0.16548523287220002
"CAN",-2.282806830802262,1.651844462456339,-0.6486270216509774,-2.1667563659938374,-18.36750859548975,-3.7576111160387686,-0.7734377065907415,3.7180119259254463,0.1470989002195,0.09740968389422944,-0.053238520090903456,0.15283407000000002,-0.100486143,0.05225798,0.23944059,0.43989242,92.71839605547508,110.08113749020825,1.364484722055791,67.65224525234382,-229.0522523435138,1.8443703055288976,186.84511166559864,847.2948839189066,-1.2255280025207271,1.340561293245416,-1.4087017357514136,-0.9465454138542094,-13.345907573214292,-2.3410317473232043,-0.07070597532267368,3.6980035924830643,93.94521909601973,110.28448977137917,1.3619302387592827,68.93928330381766,-223.08636232385038,2.6318961148741584,188.4932261319902,845.554555224799,-7.515626706615108,10.93879871572668,-1.2586027549426693,-5.4348558608837045,-116.38866510479286,-16.441296194984243,0.48449266271095065,38.994283543979144,101.46084580263482,111.73015073597462,1.3293239243005353,76.74575482118018,-214.57850748619342,7.249765001734225,198.36834590129152,864.3365536711626,0.1470989002195
"PER",0.5788410285998842,0.6162334183017656,0.47994111387355565,0.5394560903969892,-1.6849740298734195,-0.011032967361157347,1.1386622980375847,4.497220943952103,0.0416995782479,0.04525021985513822,-0.2691135104694088,0.03925350699999999,-0.16886688,0.0069122570000000015,0.07961159999999999,0.18136091999999998,26.141493999643714,43.129322893716655,1.0472060014379796,16.971736378742044,-409.7837247661754,-0.9075869635206132,57.10725771777263,427.96906754430375,0.09073867055332069,0.17198633362639126,1.273530201881136,0.05103026281088588,-1.221728278276166,-0.014736235627924258,0.21411794073343088,1.673305802397004,26.05358922174083,42.95978281409142,1.0463164139594308,16.912736526123307,-407.99833876962487,-0.9112989698849492,56.90106200825648,426.14491013440227,2.1973016273560795,3.748718316226402,1.3721505985767013,1.3124273653930483,-17.167040146789724,-0.4879842763039386,5.148401764853566,31.703242717856185,23.856287594384746,42.354457914718054,1.0139552540785062,14.905194360722668,-411.3155856531197,-2.811565977428181,54.28850736540707,422.5423551669556,0.0416995782479
"COD",2.1494249603509137,1.2480512850070924,0.3637100511377047,2.072006966952582,-2.1743297730037314,1.0043568859727088,3.292782541175367,9.055029379761983,0.0354126790384,0.08335718328821269,-0.25997925179243464,0.034797039999999974,-0.3287456,-0.034990450000000006,0.11207407,0.2853613,22.34333015619816,70.72045860997618,0.30130188904143446,10.432878355169874,-537.1444991286136,-19.159912258579283,72.41061367470554,526.011554899641,0.2811944529203416,0.7771967564693137,0.35116906728804553,0.1816427728661237,-4.100553600697272,-0.22916484996886305,0.8623856100971116,5.319796490094168,22.06506284759476,69.96117805944799,0.3033050722978051,10.265912996918232,-531.7199676486412,-18.948271290883703,71.5777238309087,521.2518659690381,8.089584025757706,9.629889832841192,0.9551467161534033,6.6594234489843505,-30.897227772654098,0.1380942261095572,16.110307843185133,75.58625757021856,13.975478821837056,67.53745013149748,0.35696048025740784,2.8970833115618335,-519.2904349776067,-26.08625481676832,61.64548403728587,509.77613496036554,0.0354126790384
"COL",1.625723850594474,1.0916092216776963,0.4685023359332455,1.5563422253952581,-2.0248519198439903,0.6114312215552574,2.617071369715785,8.558620999410852,0.03309900761909999,0.05419440735439941,-0.04710356714222845,0.032183873,-0.14748117,-0.013441860000000003,0.08383695000000001,0.21948584,20.76450022241445,47.68679328668264,1.0397589438524864,11.277605459409656,-289.2223118958948,-8.479030643831974,55.6576768775167,517.2479306586389,0.20054974949111776,0.4171998179827202,0.9329644134334806,0.12818136041245548,-2.530744933851231,-0.07427412943716652,0.522597000042692,4.29110976461284,20.569122584598748,47.27806963282521,1.0410086469096267,11.17121063863297,-287.09107329265646,-8.416296795973807,55.15673382592013,512.7690710920384,6.148499898930913,7.905512754478845,1.136618076020084,4.764431763258353,-30.475863373274745,-0.035710600877139155,12.565229594508832,65.99840936183301,14.420622685667835,45.419655529222226,1.079275324615787,6.2468527473821815,-279.83273884264173,-14.598752111918213,47.41822756792573,496.4950226532741,0.03309900761909999
"MEX",4.115577311959182,3.052907115015793,0.4599683206943447,3.9369145090602613,-6.0575084539497945,1.2503104754019991,6.892743671976046,23.353163522329467,0.0304675773929,0.03572624638020233,0.7287749713743643,0.025058159,-0.060600944000000004,0.0010604059999999998,0.060978737,0.17234346,19.112056494152704,33.206859999670364,2.094481722969395,11.026197682741728,-115.76039929008446,-2.560574904941967,41.627556374018646,344.1596130596488,0.46083559629736537,0.7431627680678783,1.8130091196646516,0.2877325149988901,-3.3341227369847424,-0.038508057454224504,0.9799123950323223,6.695813939177163,18.65507465063878,32.45365925372249,2.094919645900652,10.751826827883363,-113.11137903167602,-2.505019576552955,40.64815857473092,336.63006521295915,15.637837524558476,21.440960290744894,1.1829804936547832,11.554099274988362,-103.0488707475542,-0.6205334914909214,33.1786987386825,174.17596501288227,3.0172371260803037,36.35175194585773,1.1646697648797797,0.09308502907798515,-182.8276837791897,-25.14992773680386,29.674629065725618,333.6509232537987,0.0304675773929
