"Country","CSCC_mean","CSCC_std","CSCC_skew","CSCC_median","CSCC_min","CSCC_q17","CSCC_q83","CSCC_max","F_mean","F_std","F_skew","F_median","F_min","F_q17","F_q83","F_max","FWglob_mean","FWglob_std","FWglob_skew","FWglob_median","FWglob_min","FWglob_q17","FWglob_q83","FWglob_max","FWdom_mean","FWdom_std","FWdom_skew","FWdom_median","FWdom_min","FWdom_q17","FWdom_q83","FWdom_max","FWout_mean","FWout_std","FWout_skew","FWout_median","FWout_min","FWout_q17","FWout_q83","FWout_max","FWin_mean","FWin_std","FWin_skew","FWin_median","FWin_min","FWin_q17","FWin_q83","FWin_max","FWnet_mean","FWnet_std","FWnet_skew","FWnet_median","FWnet_min","FWnet_q17","FWnet_q83","FWnet_max","Fabmean"
"Total",172.55877497744066,140.10191431656486,0.39013867999497864,166.268109868995,-309.157663486625,39.53217073669721,300.4943756352405,1028.0981319122768,3.3749761236663995,1.1138479922880813,0.02971842735362985,3.41964791,0.273929625,2.212047012,4.339937696,6.715401605,2122.239893958221,1970.0972135026711,0.9305753385368513,1864.4561448822274,-4954.262193777555,385.11564614432933,3826.41264801942,14723.720146888372,2122.239893958221,1970.0972135026711,0.9305753385368513,1864.4561448822274,-4954.262193777555,385.11564614432933,3826.41264801942,14723.720146888372,2122.239893958221,1970.0972135026711,0.9305753385368513,1864.4561448822274,-4954.262193777555,385.11564614432933,3826.41264801942,14723.720146888372,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,2122.239893958221,1970.0972135026711,0.9305753385368513,1864.4561448822274,-4954.262193777555,385.11564614432933,3826.41264801942,14723.720146888372,2.2078450272663996
"ROW",0,0,0,0,0,0,0,0,0.027766542883170008,0.026365682553566076,-0.7161078679575544,0.028161264,-0.086457594,0.009274249,0.051391955,0.108264436,17.350555802539805,25.64830453911066,0.8420881225248669,12.953324658254715,-138.61741960854906,-0.1744028970252331,36.34929472132663,219.15808653454116,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.,0.,"Indeterminate",0.,0.,0.,0.,0.,0.022767564710170003
"RUS",-6.331179008502642,3.955440751788274,-0.930926548197458,-5.932765434709885,-51.380199704731965,-9.760688542549966,-2.820068992133308,5.8856687369781735,0.3967856069485,0.22507802044238118,0.05470641372565292,0.40747645,-0.115821935,0.18534741,0.62144583,1.0106515,247.94697601495284,276.6776726562873,1.4047706542468419,186.24255715449146,-613.4575915984011,15.649587985327544,481.6009304988709,2771.773806947051,-9.141831509388224,8.362019681599778,-1.545375227668529,-7.349465563517019,-83.65359578977873,-16.254405650999743,-1.8441062779007178,10.705111770650575,257.0983504553423,278.7969727219232,1.4111193259612778,194.22539174161912,-555.6620434126716,21.632498945595287,493.6965506648751,2820.3088936269096,-68.81272770045764,51.38898647396397,-1.2731572576680774,-59.87492238213704,-521.1810481497143,-112.30189062198374,-24.115231657542413,92.49396082958026,325.91107815579994,285.4696383197483,1.343911102610075,266.1784716571,-522.7076666184579,80.60200328120483,571.445533944208,2846.7445944151905,0.3714228747545
"USA",7.404607703106641,13.012409368718036,0.29604299000239165,6.951195211379698,-43.71079028354322,-5.339330745700333,19.3186219889411,89.54008735145875,0.2947388322473001,0.240406471431811,-0.24032147655851316,0.2893613,-0.3852969,0.082633615,0.5282233,0.94076085,184.37397900466934,245.22089438276174,1.1236027315064037,134.32744782054584,-1027.6299337086136,-3.180800265849141,390.24758064834884,1660.0478217797868,8.047361670918582,19.265897996185004,1.0424037569717457,4.621499319507842,-98.93873398906476,-5.721924454888543,22.856421544368718,158.25297485816617,176.48470383728107,227.94864273951433,1.1033902626390046,130.62261162799834,-936.6395050551082,-0.563372738231756,368.0875681366534,1546.937230506737,85.65901181532138,159.02543111141955,0.6649300707248479,69.71102909366033,-582.1951991161151,-50.01824552532793,222.22390732911703,1088.9674972031432,90.8256920219597,277.63387222312747,0.4806104223057158,70.61916481258648,-1226.8081262430885,-145.29754777607596,326.7309801856858,1757.4820907377873,0.3148367296763
"CHN",15.20221517845361,21.964153947973063,0.38168099886603185,14.216782197468625,-70.25455936507906,-6.159905977650442,35.03271837855963,156.19262130061438,0.24180167145440004,0.1319691963490147,0.15968399937271732,0.24731675,-0.12580197,0.13362052,0.35121816,0.7135988,151.71675283264463,165.654283442006,1.33492610151048,123.35643690841347,-464.60848156886675,10.734770858591945,287.810101248659,1500.032147067589,13.718417977816303,23.309014841823622,1.0447083703947306,10.001562094484179,-79.42150616433706,-4.44014202540626,32.3081019998563,168.86001903418781,138.39341111384527,143.43692041545282,1.337076754642423,114.05701612785259,-358.91956155559456,15.348227394749005,256.2542689511712,1315.301881644341,178.08609207240255,272.82872360730903,0.766526021989722,145.89584785152525,-1001.17961650908,-56.85639389516355,408.224923569953,1819.0122262619668,-39.69268095855729,300.2328965459432,-0.30011461875802353,-27.268252625597235,-1697.5428500145244,-291.4885196102637,215.56037508564094,1252.085646859025,0.2988036477854
"CAN",-2.282806830802262,1.651844462456339,-0.6486270216509774,-2.1667563659938374,-18.36750859548975,-3.7576111160387686,-0.7734377065907415,3.7180119259254463,0.2118537369232,0.13138749572209443,-0.03749551338820099,0.22098808,-0.1312499,0.08352729,0.32571414,0.66276556,133.31100335562246,152.737364605403,1.2571183008965705,101.24108134385168,-321.43834001998465,4.118214602672874,262.1711964885925,1391.0175697962216,-1.7448481675655356,1.8440869491579588,-1.3211121160567811,-1.3875554914687989,-16.28357266004914,-3.2862692729916403,-0.13790866169403035,3.642699676006211,135.08139748025317,152.9594690452639,1.2571037115420243,102.88063076422388,-318.43621794731325,5.294338159385711,264.19005281726356,1393.8294728778178,-26.318596437978588,21.99485943300091,-1.0586130764317498,-22.93674807688957,-194.92828084622778,-45.66625814650662,-6.931443241678195,64.14548702911155,161.39999391823176,155.4150504591086,1.215792430469074,129.69773648498028,-311.59569085929854,27.264410590448932,296.6659843618656,1407.5388479459707,0.1881244825652
"IND",51.50974856581647,28.803058034906822,0.41013981544690337,49.535167975028244,-46.801071546443566,25.259110671286486,77.7497966556368,216.47862621009708,0.13610051185729996,0.10274835097319171,0.7156057854837192,0.1202689,-0.135056,0.04710391,0.23424114,0.5214527,85.23166911805777,110.30524882314211,1.9306306136969584,60.03074877629277,-381.44260605570855,2.003707256212202,167.12930296961494,1110.8565216500667,25.8603268939679,26.44124143874953,1.6294943128815935,19.940905932791534,-72.88215343828783,3.7676349201057007,46.13207762713219,236.08009994368913,59.76002328496745,85.22281814074442,1.8978626744633533,40.27335647491003,-394.96460668811886,-1.2070369572023378,121.64605322298004,870.8912372888775,615.9074654296179,417.59082516035977,0.9927325261379711,556.2380793677416,-509.8120763560382,245.83806122354207,979.4221049676026,3260.586495621776,-556.1474421446505,423.6635215502813,-0.9360659205403039,-496.61353757512984,-3198.6557319400654,-924.4567200634231,-180.4280685428807,713.8143227022639,0.1297558379113
"MEX",4.115577311959182,3.052907115015793,0.4599683206943447,3.9369145090602613,-6.0575084539497945,1.2503104754019991,6.892743671976046,23.353163522329467,0.062190923981000006,0.09496543054130437,0.2862329991507536,0.056031864,-0.21371059,-0.003475015,0.1360652,0.37795466,38.146971973555566,82.22164512128204,1.420921134844845,23.13167595782869,-495.62090616346984,-6.727784809652095,89.31624410169873,874.9759904189336,0.9520659348747654,1.9072610069374698,1.3932345616322062,0.5912692159950959,-9.785096115648036,-0.11647892327676786,2.1156984614562364,16.414657685880048,37.23360761535758,80.3524303286554,1.4221150261683926,22.57553102678916,-485.352894109415,-6.5739912774501255,87.15991610113689,854.5301795804656,50.50562815722523,42.689806735268554,1.019700283377,44.15844931590185,-71.58873092665783,12.974440504582438,86.64269848991395,325.7084540790831,-13.272020541867652,90.16120510892382,0.9326283336998072,-18.660204197030176,-514.9277822514281,-79.72351336429206,48.58295473067964,826.602904406603,0.05843941159399999
"PER",0.5788410285998842,0.6162334183017656,0.47994111387355565,0.5394560903969892,-1.6849740298734195,-0.011032967361157347,1.1386622980375847,4.497220943952103,0.06544289377550001,0.052779404447962336,-0.5125204407827423,0.066178516,-0.18775442,0.028897256,0.10231729,0.2049785,40.932017932932524,53.92509376391357,0.9476876885513972,31.62985383093974,-371.087235503062,1.485662980962151,82.84683379232334,449.4215309300118,0.14287536513649549,0.22555181208715425,1.1929488878964436,0.10018960825673676,-1.8470169450725253,-0.01493842915605208,0.3018905110166697,1.786333078635785,40.79505384094073,53.71207916956632,0.9470992716265999,31.544523311142655,-369.6919794613072,1.4911402765230337,82.56071956065713,447.58333095592195,7.1504125078731215,8.26140487369493,0.9631833826501188,5.988880088236538,-19.880571709094234,-0.01202981991086876,14.028919907176792,55.96327001828666,33.64464133306762,53.61662800299087,0.8711127643997136,24.92013727554951,-372.21440444621885,-5.596834011824133,75.34548472387827,431.7995180354476,0.0527102954685
"COL",1.625723850594474,1.0916092216776963,0.4685023359332455,1.5563422253952581,-2.0248519198439903,0.6114312215552574,2.617071369715785,8.558620999410852,0.057907848523300005,0.06503252762544269,-0.01983554845752666,0.06042165,-0.13009872,0.002134386,0.12036008,0.26944318,36.34866345073615,61.232581549355984,1.3220218405368358,22.742839799571392,-313.6052098747281,-5.525429035750404,84.04927879416405,551.1744731705852,0.3497378050040527,0.5337635165871141,1.2071363814968155,0.2437225617292198,-2.3473591040835,-0.02385677337360927,0.7672079220049315,4.268948886849856,36.00551257808125,60.71337278547476,1.3225583653648243,22.51761941485878,-310.9775195141179,-5.509548649837292,83.26161521980649,546.4380529202616,19.942066533121864,15.410191805981762,1.005762698308393,17.594854003433646,-19.08840510649819,6.319491649367308,33.209592853436156,120.14837029701724,16.063446044959388,60.30397682064651,1.2135264391375127,4.454218524393956,-322.24433447549353,-28.72314444356585,62.965045987536996,506.0971455482397,0.0402691483913
