iso,CSCC_mean_bootstrapping,CSCC_median_bootstrapping,CSCC_mean_bootstrapping_filled,CSCC_median_bootstrapping_filled,CSCC_mean_bootstrapping_boot,CSCC_median_bootstrapping_boot,CSCC_mean_estimates,CSCC_median_estimates,mean_statscc,50%_statscc,CSCC_mean_RFa,CSCC_median_RFa
AFG,0.2707055115195197,0.24844865433515073,0.2707055115195197,0.24844865433515073,0.2689296458662714,0.24625186639319963,0.3061459475219989,0.2437628060143518,0.3061459475141298,0.24376280601435243,0.2707055115195197,0.2484486543351507
AGO,0.7848106208649946,0.750965408609134,0.7848106208649946,0.750965408609134,0.784041003906663,0.749420416313566,0.8153748523432796,0.775820178435538,0.8153748523150955,0.7758201784355386,0.7848106208649949,0.750965408609134
ALB,0.015833252770030014,0.014326340116676248,0.015833252770030014,0.014326340116676248,0.015784438033575366,0.014316619258891786,0.01726801268472078,0.015096491097948698,0.01726801268016841,0.015096491097948698,0.01583325277003,0.0143263401166762
ARE,2.0681205163886256,1.986328377392503,2.0681205163886256,1.986328377392503,2.069409868818765,1.9775297149545534,2.1464111369132373,2.0096480131112338,2.146411136744506,2.00964801311124,2.068120516388625,1.986328377392503
ARG,0.939209685340165,0.8285891010174591,0.939209685340165,0.8285891010174591,0.9363373171505087,0.8245623764577799,0.9743699625747576,0.9408705084194103,0.9743699627852427,0.9408705029623523,0.939209685340165,0.8285891010174591
ARM,-0.017998924152034974,-0.017396173232226506,-0.017998924152034974,-0.017396173232226506,-0.018098773104719048,-0.017479889190356864,-0.0167754334068232,-0.016837534884458296,-0.016775433407039995,-0.016837534884458296,-0.0179989241520349,-0.0173961732322265
AUS,0.9053053607988489,0.8623027488985404,0.9055984592458136,0.8623444847742692,0.9032865869846386,0.8670996039453394,0.9476355363564692,0.8957043104982225,0.9476355363755401,0.8957043104982225,0.9028786524385544,0.8627132521183776
AUT,-0.25427674842478415,-0.2420747074218501,-0.25427674842478415,-0.2420747074218501,-0.25547565068845945,-0.2416024630832605,-0.2403112337299479,-0.2339699522801927,-0.24031123377794356,-0.23396995272980758,-0.2542767484247841,-0.2420747074218501
AZE,0.035167111071067195,0.03234794297609796,0.035167111071067195,0.03234794297609796,0.03488086033100719,0.03208368473220971,0.039815179967303625,0.03185180971154504,0.039815179964263085,0.0318518097115451,0.0351671110710672,0.0323479429760979
BDI,0.17555841921244095,0.16855659852398247,0.17555841921244095,0.16855659852398247,0.1754613409422169,0.16839024659146512,0.18268114210997546,0.17981417006423628,0.18268114210930136,0.17981417006423564,0.1755584192124409,0.1685565985239824
BEL,-0.11915493618629437,-0.1159519049843929,-0.11915493618629437,-0.1159519049843929,-0.12028878899648632,-0.11806551231228703,-0.10499191380280531,-0.1094542462801104,-0.10499191382347324,-0.10945424628011047,-0.1191549361862943,-0.1159519049843929
BEN,0.3436365713045683,0.32447107125357755,0.3436365713045683,0.32447107125357755,0.3429124432599309,0.32389064548685786,0.3563601532920799,0.33687863804999985,0.3563601532859016,0.3368786380499992,0.3436365713045684,0.3244710712535775
BFA,1.102244468212849,1.0748505573506093,1.102244468212849,1.0748505573506093,1.1017983856772564,1.0713065430691169,1.154107649628911,1.123912964461777,1.1541076496186429,1.1239129644617767,1.102244468212849,1.0748505573506093
BGD,2.6401581707094275,2.4672712971627324,2.6401581707094275,2.4672712971627324,2.6386907788354854,2.471816770827882,2.7218069235064397,2.539119201730819,2.721806923573662,2.5391192017308257,2.6401581707094275,2.4672712971627324
BGR,-0.03850330115780805,-0.0377024100751482,-0.03850330115780805,-0.0377024100751482,-0.03901978934350293,-0.037967875077475524,-0.0326579773605814,-0.03161983569724059,-0.03265797735717293,-0.03161983569724065,-0.038503301157808,-0.0377024100751482
BHS,0.020951220264942203,0.019991120403381447,0.020951220264942203,0.019991120403381447,0.020973977845402742,0.02000251933204184,0.021489165561311054,0.02044965179059144,0.021489165561086373,0.020449651790591376,0.0209512202649422,0.0199911204033814
BIH,-0.019711772450885234,-0.019245851655814262,-0.019711772450885234,-0.019245851655814262,-0.019884347591684715,-0.019311556087574275,-0.01796986004769328,-0.018120593006128956,-0.017969860047003086,-0.018120593006128956,-0.0197117724508852,-0.0192458516558142
BLR,-0.21607765169916165,-0.20442975246630996,-0.21607765169916165,-0.20442975246630996,-0.217187014575992,-0.20423459791937643,-0.2058193099772095,-0.20099105488330687,-0.2058193099754572,-0.20099105488330626,-0.2160776516991616,-0.2044297524663099
BLZ,0.012153739515692636,0.011710008453503751,0.012153739515692636,0.011710008453503751,0.012140525945313799,0.01166961949028289,0.012561810318167608,0.012273791935685962,0.01256181031625527,0.012273791924376347,0.0121537395156926,0.0117100084535038
BOL,0.3248976442973221,0.30426531860635475,0.3248976442973221,0.30426531860635475,0.32452871687453233,0.3048493753320335,0.3400154225670781,0.29706927316947096,0.3400154225774328,0.2970692731694703,0.3248976442973219,0.3042653186063547
BRA,6.0491164260022545,5.747861931129059,6.0491164260022545,5.747861931129059,6.051910395058171,5.759210402521807,6.239923039385521,5.8236302014390695,6.23992303934611,5.823630201439062,6.049116426002255,5.747861931129059
BRN,0.06381578923948492,0.06130427917535465,0.06381578923948492,0.06130427917535465,0.06385250606651946,0.06126613240462514,0.06556041823784682,0.06299921656891205,0.06556041823900248,0.06299921656891207,0.0638157892394849,0.0613042791753546
BTN,0.035674115222899774,0.03305678159658987,0.035674115222899774,0.03305678159658987,0.035580313279842665,0.033278257717215876,0.03748438020563291,0.033009738152380126,0.037484380204563954,0.033009738152380064,0.0356741152228997,0.0330567815965898
