Country,iso,CSCC_mean,CSCC_std,CSCC_skew,CSCC_median,CSCC_q17,CSCC_q83,CSCC_min,CSCC_max
Afghanistan,AFG,0.2689296458662714,0.517237746174797,0.3159656797244198,0.24625186639319963,-0.2258283730273804,0.7421683241473982,-1.7210933242356112,2.955227552614781
Angola,AGO,0.784041003906663,0.4795407425581044,0.4450477830862441,0.749420416313566,0.34464504520400246,1.2218645330328388,-0.6586409761670051,3.314824048338396
Albania,ALB,0.015784438033575366,0.027336837629976636,0.4181290592991534,0.014316619258891786,-0.010372093689047122,0.04035650354974753,-0.08641072532693818,0.15771938018351636
United Arab Emirates,ARE,2.069409868818765,1.1121318771686342,0.40879579158165374,1.9775297149545534,1.06506097558097,3.0855804443471744,-1.574379503324186,7.410621568683848
Argentina,ARG,0.9363373171505087,0.8864661435245131,0.7530507927044996,0.8245623764577799,0.13131604635672234,1.7306043860243023,-1.7491450727526485,6.192360743955811
Armenia,ARM,-0.018098773104719048,0.020484138126277585,-0.3848149548343496,-0.017479889190356864,-0.036376974804751896,0.0011327919657333067,-0.13839158855417363,0.06105542786214542
Australia,AUS,0.9032865869846386,0.96038291450697,0.42664310197791916,0.8670996039453394,-0.035028117000345776,1.7552246694119529,-2.07325925466004,6.221561974291263
Austria,AUT,-0.25547565068845945,0.24676207833051036,-0.5560685585109945,-0.2416024630832605,-0.47285642938252614,-0.025094076719299547,-1.8542113696042675,0.6418352180484864
Azerbaijan,AZE,0.03488086033100719,0.08457681949193746,0.2819641240323715,0.03208368473220971,-0.04789613713610084,0.11264286661784693,-0.3010598923610007,0.4811400581870709
Burundi,BDI,0.1754613409422169,0.11193176226149458,0.42109130660481503,0.16839024659146512,0.07200891534938632,0.27732062080385306,-0.15188357580006312,0.7222321455778247
Belgium,BEL,-0.12028878899648632,0.26865146576849247,-0.15077676571479126,-0.11806551231228703,-0.36131487720085553,0.12845007447457796,-1.6438902019758557,1.2033660973606113
Benin,BEN,0.3429124432599309,0.19777761184285547,0.5555604948267854,0.32389064548685786,0.16543272514660165,0.5232838792523604,-0.24021835781407375,1.3521141427942713
Burkina Faso,BFA,1.1017983856772564,0.5557113104193157,0.25428343601337683,1.0713065430691169,0.6062358555402096,1.6169543986225534,-0.6860391228146983,3.581152211069273
Bangladesh,BGD,2.6386907788354854,1.7309408928661099,0.6265122666731464,2.471816770827882,1.0659392002307573,4.1890511827988615,-2.4031147812703755,11.596919814466766
Bulgaria,BGR,-0.03901978934350293,0.10398324756991527,-0.11312815913699478,-0.037967875077475524,-0.13310168914237827,0.05726561582110951,-0.5929313119113924,0.4595558833325965
Bahamas,BHS,0.020973977845402742,0.012011827478211314,0.48777105048172853,0.02000251933204184,0.010073686212645485,0.03195482879204449,-0.016057281183811337,0.07902658010604147
Bosnia and Herzegovina,BIH,-0.019884347591684715,0.03127728695929581,-0.29147409309868294,-0.019311556087574275,-0.047768916591097964,0.009232165371928055,-0.19883581549075469,0.11774194927055408
Belarus,BLR,-0.217187014575992,0.1703373859452069,-0.7339016055190616,-0.20423459791937643,-0.3645337222145283,-0.061753339025643,-1.4219192466711341,0.34185562392222607
Belize,BLZ,0.012140525945313799,0.006646152644914281,0.37761197222412307,0.01166961949028289,0.0060421245372238325,0.01833452454816164,-0.00906074057167902,0.04364640404745719
Bolivia,BOL,0.32452871687453233,0.25290581881667423,0.5379907437759502,0.3048493753320335,0.08977461331831231,0.5550730295365901,-0.4694072768516514,1.5939867210153238
Brazil,BRA,6.051910395058171,3.8394760207577763,0.5252278588680541,5.759210402521807,2.5231142477607063,9.470079311306698,-5.872392071654626,24.397316394336695
Brunei,BRN,0.06385250606651946,0.03477601209870159,0.45162951968482584,0.06126613240462514,0.03226816141831301,0.0951014670253652,-0.038045538761811507,0.23949901034822882
Bhutan,BTN,0.035580313279842665,0.03435893835052409,0.5735456371473818,0.033278257717215876,0.003260116334701429,0.06596418339431402,-0.07480789992357459,0.22664321675950747
Botswana,BWA,0.1272465503704178,0.07992526447225225,0.334932526728642,0.12291589179632283,0.053110746616047866,0.20040600154678506,-0.12954930972139123,0.5012627864269409
Central African Republic,CAF,0.09565270662902564,0.052321020273642,0.36222058927720685,0.09266827912590614,0.04821727149851966,0.14305962923999208,-0.06391809415193175,0.34758689921744473
Canada,CAN,-2.2943359861002297,1.6506716929065706,-0.6764505298696427,-2.1725584851476514,-3.7728267042191606,-0.7975256937888441,-13.197734080387486,3.1827447813669876
Switzerland,CHE,-0.3096902666507789,0.27368800388835274,-0.6235045834583683,-0.29082724436267093,-0.5506681521056002,-0.05564887586963244,-2.1420021976631745,0.5959634841260291
Chile,CHL,-0.15539369543849504,0.26386931625309035,-0.11775061716429136,-0.15612484926805828,-0.3952445168151257,0.0898185476411124,-1.5476766902442418,1.0977069264564052
China,CHN,15.14837964536033,21.60016332539093,0.36577823272830395,14.300368051341234,-5.97573876598784,34.84841220895805,-60.21188481930821,130.34017928069724
Ivory Coast,CIV,1.0696052833512086,0.6050209891357653,0.5471375936096307,1.014142586257742,0.5268182291986696,1.621420477338084,-0.7209142030319793,4.157512554733449
Cameroon,CMR,0.7415896038355763,0.42446191567629704,0.4567100159359869,0.7107937174787462,0.3584513390716596,1.1312640532126297,-0.5375283651348673,2.9031205064795276
Democratic Republic of the Congo,COD,2.150619044102078,1.2322907961275504,0.3848362633830655,2.077674484296316,1.027926756467749,3.2694393064876985,-1.571069355385717,8.094430051760583
