Country,iso,CSCC_mean,CSCC_std,CSCC_skew,CSCC_median,CSCC_q17,CSCC_q83,CSCC_min,CSCC_max
Afghanistan,AFG,1.0195417819358628,1.9199742593195628,0.34906494201412475,0.9530040210139511,-0.8156852424842034,2.7408492068093064,-6.032087882230455,12.156656538657852
Angola,AGO,2.856964576565626,1.78331656964492,0.45372759504892823,2.7214420716866514,1.2154999073587331,4.474340278234343,-2.5680002841755014,10.524918478905523
Albania,ALB,0.058495104752430416,0.10236806200604864,0.5034425744196008,0.05294060714685886,-0.03988490773276906,0.14922900476145057,-0.32212273081293785,0.6983403140727306
United Arab Emirates,ARE,7.626581037662616,4.1577586251560135,0.4059457279541306,7.333690241557814,3.8763448407797774,11.445816238432005,-5.070822796103376,26.155619648276012
Argentina,ARG,3.418476057291428,3.29352381012226,0.7805368766351442,3.0188238946097234,0.44689510694189266,6.371593085556805,-6.462880076198717,26.49407042537581
Armenia,ARM,-0.06615993553944102,0.07590084175610348,-0.30498643648510343,-0.06459721979594861,-0.1335683233748942,0.004581743568194882,-0.599984978969172,0.2037991771176365
Australia,AUS,3.4151789062272386,3.510262255156562,0.421229266880149,3.2455695770393964,-0.027216108743305323,6.6073016181345805,-8.081360514700972,22.42502025519544
Austria,AUT,-0.9373916012829757,0.920099113429975,-0.6253652056125187,-0.8827209679954562,-1.7472404128230075,-0.08633751741664172,-7.359724723741709,2.425320148496961
Azerbaijan,AZE,0.13187154292849934,0.3181403546976361,0.3271839006398904,0.11954602995453933,-0.17824696688328842,0.42379441385097344,-1.0162483260335653,1.838287333121386
Burundi,BDI,0.6496416103616868,0.4172439963144139,0.4182630201309348,0.6245468622841752,0.2586402969289682,1.0313371013047337,-0.5920679302313113,3.029659051456826
Belgium,BEL,-0.4195916197352526,0.9809622800043474,-0.1407701881876238,-0.4015570792401514,-1.304063787941128,0.486332581239057,-4.894179244746393,3.866272259519145
Benin,BEN,1.2505144945637021,0.7295650774173695,0.521605194515509,1.1851904543419165,0.5897698062179897,1.9184863124766274,-1.123086786777186,5.10295723268453
Burkina Faso,BFA,4.038322519350204,2.063102465038508,0.26619262351614775,3.918198668281527,2.1733535274624933,5.99898706204613,-3.0637460146227666,13.337644660002663
Bangladesh,BGD,9.627949576619525,6.378006402988826,0.5340583330086465,9.06489654838536,3.7783118716416046,15.315470317508566,-8.19542612211811,42.8043474565547
Bulgaria,BGR,-0.13872532969476367,0.3829497501104643,-0.0833564800316934,-0.13698655830319342,-0.4883206991390833,0.22002445027969478,-1.9739949795942788,1.4078038607951469
The Bahamas,BHS,0.07634618014422423,0.04439695848899607,0.44056892436083583,0.07309192851784968,0.035900837998521305,0.1167220946002513,-0.06833369895131486,0.30379384681620036
Bosnia and Herzegovina,BIH,-0.07220085578351117,0.11583892914278965,-0.27926689611184174,-0.06983350157863769,-0.17643103791760817,0.0337679872457295,-0.7611589752976976,0.36731827685990354
Belarus,BLR,-0.8035356813877995,0.6215845691644925,-0.6372843253491496,-0.762603213264507,-1.347346715249405,-0.22561304980872082,-5.855932724481724,1.1384579297313993
