Country,iso,FaWin_mean,FaWin_std,FaWin_skew,FaWin_median,FaWin_q17,FaWin_q83,FaWin_min,FaWin_max,FaWin_tf_mean,FaWin_tf_std,FaWin_tf_skew,FaWin_tf_median,FaWin_tf_q17,FaWin_tf_q83,FaWin_tf_min,FaWin_tf_max,FaWin_mf_mean,FaWin_mf_std,FaWin_mf_skew,FaWin_mf_median,FaWin_mf_q17,FaWin_mf_q83,FaWin_mf_min,FaWin_mf_max,FbWin_mean,FbWin_std,FbWin_skew,FbWin_median,FbWin_q17,FbWin_q83,FbWin_min,FbWin_max,FcWin_mean,FcWin_std,FcWin_skew,FcWin_median,FcWin_q17,FcWin_q83,FcWin_min,FcWin_max,FabWin_mean,FabWin_std,FabWin_skew,FabWin_median,FabWin_q17,FabWin_q83,FabWin_min,FabWin_max,FabWin_tf_mean,FabWin_tf_std,FabWin_tf_skew,FabWin_tf_median,FabWin_tf_q17,FabWin_tf_q83,FabWin_tf_min,FabWin_tf_max,FabWin_mf_mean,FabWin_mf_std,FabWin_mf_skew,FabWin_mf_median,FabWin_mf_q17,FabWin_mf_q83,FabWin_mf_min,FabWin_mf_max,FbcWin_mean,FbcWin_std,FbcWin_skew,FbcWin_median,FbcWin_q17,FbcWin_q83,FbcWin_min,FbcWin_max,FabcWin_mean,FabcWin_std,FabcWin_skew,FabcWin_median,FabcWin_q17,FabcWin_q83,FabcWin_min,FabcWin_max,FabcWin_tf_mean,FabcWin_tf_std,FabcWin_tf_skew,FabcWin_tf_median,FabcWin_tf_q17,FabcWin_tf_q83,FabcWin_tf_min,FabcWin_tf_max,FabcWin_mf_mean,FabcWin_mf_std,FabcWin_mf_skew,FabcWin_mf_median,FabcWin_mf_q17,FabcWin_mf_q83,FabcWin_mf_min,FabcWin_mf_max
Comoros,COM,0.19108009963246528,0.12118119140424952,0.8306507485080991,0.1758241812483381,0.0837358330000542,0.2989446332312491,-0.15092201865875357,0.8624528842883321,0.12541213975342158,0.07957275526572523,0.8367187740509041,0.1155015685270023,0.053867342354378255,0.1951878395280377,-0.09276495138888417,0.5770185980033979,0.0969725665430164,0.061086272897070686,0.7763553693781889,0.08947069524879502,0.04227194596212071,0.14993937321648523,-0.06867780611985609,0.45960058461215536,-0.06620679871230986,0.041003433566128705,-0.7384325181704738,-0.061146396172194487,-0.10293347182591453,-0.0296560835269598,-0.31400641631585413,0.04382998201602037,-0.5367947155417384,0.3173150763738769,-0.5568574220286453,-0.5098143725244149,-0.8252127433602414,-0.24818815671267963,-2.108832510592842,0.39165394134150017,0.12462602354469433,0.08659327792539079,1.0709339925441537,0.11101729891192116,0.04801510824410515,0.20078913705959467,-0.11870615723528322,0.6790736839749263,0.059102319301571934,0.04689710968518587,1.2473583158812276,0.05102920513524981,0.017364119571996503,0.09799913184750586,-0.09774349532323494,0.41024141275746495,0.030662813671601515,0.030267330240540905,1.249097041490219,0.024729657575693124,0.004704774340234377,0.055901147010226596,-0.07312875219064839,0.2554146849572101,-0.5977151236616832,0.3536057349977009,-0.5604975800804546,-0.5669341638732345,-0.9178207143172367,-0.2762434461910506,-2.362982732439955,0.431849041896015,-0.40545700461579,0.24428270851939798,-0.6305029432174836,-0.37893628345963737,-0.6264850392132142,-0.18448720892948134,-1.7043473455162694,0.31403977887502876,-0.4709807088589124,0.28039873963085615,-0.5902803230213098,-0.44502787935639687,-0.7270888823640531,-0.2179460895281759,-1.9849131768099992,0.3380775136790984,-0.4994202144888828,0.29638114582711256,-0.5774381941871302,-0.47267752403511687,-0.7692716047810474,-0.22984325685593704,-2.0180723057428294,0.3728324869792658
Cabo Verde,CPV,0.08594554996097056,0.06415193314718184,0.8963194565165434,0.07755628689946856,0.028206647345436292,0.1419073588080632,-0.1041281956261736,0.5804186223840347,0.05638507108453886,0.04201328906617032,0.8831167812575346,0.05094964829111541,0.01830295905911526,0.09291160366282719,-0.12404742625886626,0.36146135268191476,0.04354237733238722,0.03238988464228791,0.9052928013270795,0.039457709039080864,0.014301011429830998,0.07192893512306202,-0.05600930269229093,0.2892637697884117,-0.02972531278169933,0.021679210878936074,-0.8265671832948247,-0.027289248598851946,-0.04873589187848589,-0.010074413631775478,-0.17380605738726465,0.035208096209028,-0.24123575892589205,0.17041477401125246,-0.6753203583374784,-0.2256784206032665,-0.3944201713790753,-0.08380191742801062,-1.4320588827453886,0.3384241969633429,0.05611031379867774,0.045248261068454865,1.1304845316142444,0.04831700855282234,0.016219086537281494,0.09515661245697063,-0.07495882679053252,0.40596076866805386,0.026612630325124422,0.024007210148622983,1.3236132441409685,0.02183539688170663,0.0057610115810382495,0.04683057686047207,-0.0887565685620442,0.24746861990151572,0.01377067807484917,0.015065131030060156,1.4857380902153472,0.010402995854896867,0.001237118678153508,0.02608658853708161,-0.05200819536752538,0.13110821759298455,-0.2685860174561186,0.18975336667565848,-0.6768185664627128,-0.2510492008496044,-0.43933753269078313,-0.093506684626878,-1.591942052914118,0.37022844081865636,-0.18210996480175376,0.13051502337064688,-0.751702662142186,-0.16906853181779655,-0.29755849085406877,-0.06257499390962767,-1.0087011799061352,0.26525552290320126,-0.21160764827530712,0.15039502688813808,-0.7161997655455011,-0.19711023788029547,-0.3460026651017568,-0.07332815341646233,-1.3104467015312322,0.24530448756809128,-0.22444960052558235,0.15886671711336603,-0.686392989367331,-0.20989881275369754,-0.3663763922949369,-0.07806130739569489,-1.299451167699213,0.3133381851265355
Costa Rica,CRI,2.2823565963649757,1.5943366581786003,0.792032320197446,2.0836554558046574,0.8668838963661536,3.7013286116607316,-2.322898026427792,12.265453208624528,1.4969808857721998,1.0443115960244391,0.8067258952705388,1.3697264185739917,0.5650639639967435,2.4404586767955023,-1.8405573063281886,7.4690423519123055,1.157731162767058,0.8062528001158594,0.8061290577349353,1.0556865246370166,0.44550945224943295,1.877011765587521,-1.3145831496473586,6.1023857301969135,-0.7920236342849264,0.5413234313402547,-0.7225198724955672,-0.7283212945922384,-1.2710056621479247,-0.3069115444994898,-3.660960969268489,0.8373138995800186,-6.419242133886789,4.217399786546582,-0.5509387951554531,-6.016992310978573,-10.290425527238602,-2.5870304655374756,-27.404587489601134,6.023032926466367,1.487387015244781,1.126739109935034,1.013663747610106,1.3002452239499775,0.4999326454828592,2.4944329910399854,-1.7949337813106783,8.753317567052267,0.7037036797038924,0.5990797691207548,1.220279534123682,0.586933803735315,0.1817256274770058,1.2153956862614932,-1.044985126207695,5.053813240829796,0.36447422417247016,0.38184120042240466,1.3363172614789567,0.282251941208044,0.04062996450590474,0.6821637092094204,-0.8632814045964148,2.918068151775372,-7.148047490427833,4.698857597779605,-0.5534819357175941,-6.706529416497702,-11.454253168435155,-2.8664104810658686,-30.804914888360337,6.62764077077149,-4.851601706968614,3.2412327927619002,-0.6313469539298032,-4.5121024255334214,-7.825306424370812,-1.9359989611231994,-22.457802951955113,5.210285764515181,-5.635285042509503,3.725420412395973,-0.5745811308774863,-5.279940352855991,-9.021933672792184,-2.2511747088855554,-24.527967651343772,5.448535460485781,-5.974514498040926,3.934487451592516,-0.5593399220789603,-5.607854845760441,-9.571036262531718,-2.3921255377811574,-26.32681534314941,5.440658996593548
Cuba,CUB,2.069875787913648,1.2954417164363343,0.8002383382748551,1.9052659699223027,0.9133491158016637,3.2121150009576778,-1.428211559864418,9.031844240446555,1.3590696749582278,0.847280218144106,0.7810069273830769,1.256036353283626,0.6080681769986338,2.1207490191950837,-1.2159705972965702,6.017564255581102,1.0495686482716478,0.6498280561615518,0.7591999350282124,0.9680153264940616,0.47029929068392495,1.629992006825236,-0.987195511419452,5.46907027452322,-0.718591418042005,0.4372287682823986,-0.6874249376426929,-0.6674376533120818,-1.1029839560315078,-0.3293710283726661,-3.278792127601216,0.49933809085245084,-5.812083996058984,3.3792909584787125,-0.5364667158407485,-5.524919579458792,-8.855879095422006,-2.7828685734433036,-22.416613972830906,4.490687000009554,1.3486530941432016,0.927542744999952,1.0471625535905436,1.2034263307041315,0.5251305517028872,2.158652386455213,-1.0337235237790154,7.154484952284607,0.6393532852844899,0.4993309065531713,1.1716283140030976,0.5516152606110637,0.19724249580528444,1.0727414513646687,-0.7737175001561464,3.674897871407723,0.3298652638213167,0.3240176659058368,1.2710298330761474,0.267640094607855,0.05018507246395853,0.6056586631287099,-0.9325113336007111,3.5189969621845263,-6.473415911513799,3.7658927120161403,-0.5358655073531607,-6.159932316962351,-9.865348278473144,-3.0994811977039114,-24.317186747016454,4.914315452733173,-4.390711378011312,2.597067241353858,-0.6037971131919393,-4.1460896496239155,-6.669342622800314,-2.0808469708679502,-18.045352418905487,3.885840252723146,-5.100011186870022,2.985919266400779,-0.5649585839093565,-4.831592010103614,-7.790552646961882,-2.442049103964479,-20.90482034177737,3.6865114813359177,-5.409499208333196,3.158921942728666,-0.5563935578262315,-5.140569609461891,-8.229073626865617,-2.5826530834750776,-20.531657405530343,3.917852870970007
Cyprus,CYP,0.3877481314161735,0.3073342057064817,0.747903865473607,0.35751599257045386,0.11010567859104801,0.6544958139328703,-0.55148841720719,2.1401391368314706,0.2549210001174247,0.20199562646953736,0.7417044639442271,0.23445613805000504,0.07161205584152398,0.4314382850703671,-0.340623856271002,1.4636469743775382,0.19722198810353456,0.1563240566717644,0.7802286700041708,0.18221361721624768,0.05531369855562636,0.3320553193236111,-0.2532315656235593,1.1290112631286273,-0.13455195660473415,0.10471989156426532,-0.6440994891263819,-0.12493414750261851,-0.22734160424291738,-0.038800408918463196,-0.6934139930132807,0.1650305132918773,-1.0912775499957525,0.8241656473206009,-0.5221614231431821,-1.0434636600316802,-1.8388034339464154,-0.3238801012427485,-5.387970365352125,1.2590240419626253,0.25269344124204174,0.21477125077544001,0.9986936242963667,0.22278616402809404,0.062066568276878176,0.4343643441221724,-0.39981531067144416,1.6990333101366901,0.12015854473123139,0.11302000209300321,1.2053453995183085,0.09984970424073181,0.021681044833168767,0.21768298227261296,-0.2291252866658165,0.919032700117032,0.06245949390300796,0.07132928670235816,1.5288821813168199,0.04744930655405222,0.0032143527526527814,0.12103702263622416,-0.16535314005169452,0.6614552526836025,-1.2150839785550913,0.917816822181165,-0.520347687473283,-1.1640588813807897,-2.041084559330802,-0.36208544843503676,-5.981085565038083,1.3974407050156004,-0.8249405132554412,0.6323533767500742,-0.5933517882289098,-0.7809033621001857,-1.387438571843765,-0.24009096876158906,-4.150376104193367,1.1781256696942919,-0.9574754097662515,0.7265958713764515,-0.5384789419839651,-0.9144361106715583,-1.6133061721150954,-0.28195580042445867,-4.86253358732924,1.1611927162167026,-1.0151744605944748,0.7683086901773208,-0.5287471067434599,-0.9692015560502323,-1.7092139762234866,-0.30098864197222297,-4.894877772776673,1.1459613688765116
Czechia,CZE,-4.1141351590261,4.145122176050129,-0.5779596563249739,-3.789446586615172,-7.786912854570744,-0.3549256248587416,-38.87514080155314,11.534198913288465,-2.7046309317109762,2.706392897428207,-0.5727508521425304,-2.4863052630921114,-5.131022053157961,-0.21584083363492526,-24.35959036070436,6.096318973574746,-2.0922645486834557,2.0970889144667164,-0.5957353628823373,-1.9406490509695504,-3.935045559227978,-0.170963911012669,-19.65525564929358,5.7820071238699535,1.4313235473378163,1.4113649012774026,0.461683036199358,1.336839161645749,0.11708673008093523,2.6978535909602464,-4.153673240696069,10.89943542900762,11.555400920710229,11.151679721795995,0.3685326538605184,11.002610966335844,1.0021391824898995,21.68277823062911,-26.319148393535006,86.49806459568995,-2.677477592160142,2.8597152199534466,-0.8474974095466441,-2.3441439804665203,-5.152482099695293,-0.19784880818357747,-31.40614794995343,8.096100324219861,-1.2710635483546535,1.4663519893393244,-1.1135761704634726,-1.0218089163717115,-2.5172725831311404,-0.0271014212450141,-16.93061326870556,3.532624936296708,-0.6587069930563514,0.9023893174059981,-1.5391910708959284,-0.46750458408130235,-1.367367161787325,0.030492544018715675,-12.23895061835871,3.5055868177419733,12.872626908024925,12.422518393479416,0.3645996925664807,12.30372482962595,1.1418561972395767,24.195109178375922,-30.106886039365374,93.0325200928358,8.733080979362823,8.493117007035991,0.41854113953800065,8.206072753458969,0.773855369184884,16.386630203868283,-20.73545502972736,54.29169724145061,10.139495023168312,9.8285289460174,0.3917997845451598,9.661100111344197,0.8648273685867875,19.078860306924046,-25.264778640093102,71.88909454650556,10.751851578466615,10.391588807895044,0.3719839146853341,10.270730739472413,0.9386194250016631,20.153124120355322,-24.702047330975862,73.1485722118994
Germany,DEU,-16.615883977767876,22.217938373340925,-0.5301282129577545,-15.348905327751961,-35.82097855197965,3.3575762386564456,-194.9738345356752,79.96008093503882,-10.870109356660652,14.479610534904646,-0.4714796505317629,-10.188767999675456,-23.366666962129134,2.2466322950580144,-110.74115587854769,58.575073024747105,-8.375838441169986,11.175024198759953,-0.4757399058814397,-7.861091621713431,-18.117183056182096,1.6954846171656697,-86.53183460852611,39.65281691858107,5.780193472661642,7.642395154417756,0.42152576078681614,5.451965868614078,-1.1868396338447995,12.49192639856025,-31.848055245590572,53.87614303059985,45.572687035360275,59.12269573566786,0.33226625262083265,44.11285604924507,-9.64670559813551,98.50771094840903,-196.77505449808578,462.90831689607495,-10.814228935426502,15.096440218304238,-0.7631252258829743,-9.319554272937301,-23.52975706657065,1.9961507257026232,-144.3397245990486,57.634306022525145,-5.080731246211362,7.573657207369804,-0.9345207408147396,-4.005763977140021,-11.366106944090905,0.9208398237589971,-68.00449877806179,28.664513200803214,-2.586962780839611,4.466164104376605,-1.2337440079276527,-1.7313141931786613,-6.062121238517809,0.6256732682154624,-34.615677927754845,18.725599608438927,50.89427634620323,66.04212180082662,0.3312460437520529,49.30132696176055,-10.807088528818923,110.2664169881482,-215.32521539123096,508.7551338394927,34.17645377693599,44.70188030523746,0.3625460641222395,33.02933204784995,-7.223099128551751,73.76584428306369,-160.13306709454736,331.362969927549,39.90995146615113,51.98090497895633,0.35335188749468865,38.63160792151345,-8.399773905087857,86.1653289015418,-168.02185219449572,404.16376990679134,42.40371993152288,55.080288465280724,0.3407068398295847,41.03255354501972,-8.913777138401713,91.71226622343383,-182.53254688547307,431.86426326084796
Djibouti,DJI,0.5180844568033378,0.29234316708896413,0.6303802064993135,0.4889278344585595,0.25505410065620854,0.7759964635977508,-0.37766813460603793,2.2134179167150614,0.34046206970141535,0.1929593767761106,0.6743202841790082,0.31998309585949264,0.16676251845423262,0.510670552536192,-0.20710783662008514,1.4095025260747565,0.2630675173610586,0.14804261081637052,0.6894683960772813,0.24779673686266662,0.13165492878461202,0.39246897759653526,-0.15267869548564056,1.183812642664759,-0.17976215220309846,0.09879851127733352,-0.5794148672303044,-0.17006408829260708,-0.2689390502865592,-0.09137511851064677,-0.8453665028357026,0.12446317699864932,-1.4569313841931244,0.7592092543826537,-0.3869100197801151,-1.4060330448666982,-2.1510910151737943,-0.7710254877403488,-5.073578813043412,0.8741931879590564,0.33765252845622007,0.2118497492404567,0.8628769019510851,0.30910942843903244,0.14595811033816553,0.5227351185579251,-0.3031489157011526,1.7093063404943933,0.16042018174560063,0.1171913336577901,1.0464114162519254,0.14242135375421647,0.05539900189689113,0.2623286870763621,-0.16455583199951054,0.8348515158893879,0.0830284420758107,0.07712459901510556,1.0813966933810213,0.07025172191015637,0.015221191191665682,0.14985914567598743,-0.30344345432674696,0.5605651889747052,-1.6223500105187283,0.8459077740715542,-0.3882925947078904,-1.567954553000832,-2.3898584203179607,-0.8565563116274882,-5.648730722100794,0.9828390504600134,-1.1010663126398075,0.5884236701726708,-0.5095778435060183,-1.0535115258022145,-1.6308723656410773,-0.5742483785965785,-4.897037445108909,0.6743059979396707,-1.2782986593504266,0.6713975140046937,-0.4158464270446333,-1.2265852692204833,-1.883528660960007,-0.6711889078954393,-4.731366436563411,0.842333441217854,-1.3556903990202165,0.7094747669406267,-0.3985782179963309,-1.305099643973732,-1.999874837685592,-0.7156027908431659,-4.762868526678844,0.8400722304320822
Denmark,DNK,-2.026832098456651,1.9052161660154168,-0.6735685624791582,-1.8643677896551047,-3.6643232380650392,-0.3077449325182016,-13.951057895681533,5.561938845031896,-1.3326294219057433,1.2608614404030247,-0.7926520953786496,-1.221783618320326,-2.4032136584330175,-0.19469627018502428,-12.098829934121865,3.5414618677751473,-1.026320232669144,0.9677123690311504,-0.6970858729277402,-0.9396145736010793,-1.8513148344438373,-0.1590508037367867,-7.244510019720302,2.699753839663831,0.7029900771647506,0.652143140043546,0.6392711233429087,0.6472866727818587,0.11087161276051616,1.2745574492825331,-2.0020095923223007,5.492651210013684,5.691486983124868,5.159446233659471,0.5295205970206046,5.367622581380848,0.901857107643362,10.216883062714343,-12.419938808160925,38.536244104234946,-1.3212350478816877,1.313854764113445,-0.8920000197849548,-1.1669098205935278,-2.429265547228896,-0.17188480071335052,-10.534695447437805,4.062555197720979,-0.628538847384511,0.6926648975971504,-1.3631774342028047,-0.5107460649455766,-1.1923708595589488,-0.04973666609127933,-7.321911608518211,2.237651289956645,-0.32224217494845114,0.4215890060097445,-1.4174757983237876,-0.23296393475409266,-0.6539844930093447,0.0023159490736106517,-3.2079571093885266,1.550395587736271,6.338382167468595,5.745549455740823,0.5278111818429131,5.955433321257262,1.0050120541210616,11.411805176543469,-14.253529744482243,42.934894467267064,4.299023306021568,3.9481242061241204,0.6270834535374216,4.009647029778916,0.6691694631035898,7.7730708092398455,-10.90574410918984,29.902736980603756,4.991719506518745,4.539706625803816,0.5396127268891939,4.690820196541424,0.7912480614184584,8.976249834706392,-10.912408536725422,32.77901733804903,5.298016178954804,4.8100833082362335,0.5457588209728345,4.979754017589311,0.8378048524985844,9.570265140945494,-12.541943081062731,37.07785033527582
Dominican Republic,DOM,4.684960423072171,2.921059848851364,0.8363400681934129,4.322001841986017,2.092778676110586,7.252398256395574,-4.057394738576294,28.172948483652892,3.0736601831421524,1.9102511094679486,0.8025834900449743,2.8403927182581956,1.372948204616337,4.772055860067389,-2.3949125052586857,16.78677057959446,2.3717368656782596,1.4640106981518983,0.8044902043346499,2.204627671659443,1.075423553449648,3.668702035901887,-1.6026105073577446,14.293843824701392,-1.6242368951463382,0.9848826181256707,-0.7222012155811091,-1.515293829149904,-2.494984592166944,-0.7427087450540969,-8.292667337779557,1.1191392600462695,-13.129799540888099,7.570237715692324,-0.5256510323419809,-12.56900570041594,-20.024923710318575,-6.262216487632707,-63.64904684874697,8.859302551108739,3.0547143889257216,2.094523670838077,1.0999780295248918,2.7292619245518477,1.1903686703823122,4.857997803432876,-3.038550341609127,22.04764576666008,1.4468639247055242,1.130357709623104,1.188448744581999,1.2396628929551359,0.43760100118371215,2.4146394301469902,-2.1581925945960734,9.581417204342287,0.7449631292757429,0.7323609026100342,1.3146019266750084,0.6085785790481975,0.11741216998685021,1.3484557365648449,-1.7365532183779526,8.17171447763622,-14.624644536957968,8.440405991490142,-0.5287512043572967,-13.988783135946338,-22.285749362314878,-6.980941230410757,-69.13281426676016,9.790677597621396,-9.910855273596951,5.813447693786455,-0.586058128280516,-9.418338737563442,-15.114054641570254,-4.655376715615808,-43.73852546568123,6.902483160733353,-11.518705737817148,6.690550313914623,-0.568612396390979,-10.993951165036393,-17.533461930306032,-5.493717598062958,-59.07738511939622,7.593842875525301,-12.220606533246928,7.073697616193018,-0.5376713591414383,-11.674646742196481,-18.62533063329739,-5.80341489744341,-54.70335125875123,8.764030892228606
