,continent,iso,CSCC,SLAND,SLAND_corrected,SLAND_dor,ELUC,EFOS,F_ab,F_ac,F_abc,F_ab_cor,F_abc_cor,F_ab_dor,F_abc_dor,SLAND_global,SLAND_domestic,SLAND_out,SLAND_in,SLAND_BTWC,SLAND_corrected_global,SLAND_corrected_domestic,SLAND_corrected_out,SLAND_corrected_in,SLAND_corrected_BTWC,SLAND_dor_global,SLAND_dor_domestic,SLAND_dor_out,SLAND_dor_in,SLAND_dor_BTWC,ELUC_global,ELUC_domestic,ELUC_out,ELUC_in,ELUC_BTWC,EFOS_global,EFOS_domestic,EFOS_out,EFOS_in,EFOS_BTWC,F_ab_global,F_ab_domestic,F_ab_out,F_ab_in,F_ab_BTWC,F_ab_cor_global,F_ab_cor_domestic,F_ab_cor_out,F_ab_cor_in,F_ab_cor_BTWC,F_ab_dor_global,F_ab_dor_domestic,F_ab_dor_out,F_ab_dor_in,F_ab_dor_BTWC,F_ac_global,F_ac_domestic,F_ac_out,F_ac_in,F_ac_BTWC,F_abc_global,F_abc_domestic,F_abc_out,F_abc_in,F_abc_BTWC,F_abc_cor_global,F_abc_cor_domestic,F_abc_cor_out,F_abc_cor_in,F_abc_cor_BTWC,F_abc_dor_global,F_abc_dor_domestic,F_abc_dor_out,F_abc_dor_in,F_abc_dor_BTWC,economic_group,climate_zone
0,Africa,AGOBDIBENBFABWACAFCIVCMRCODCOGCOMCPVDJIDZAEGYERIETHGABGHAGINGMBGNBGNQKENLBRLBYLSOMARMDGMLIMOZMRTMUSMWINAMNERNGARWASDNSENSLESOMSSDSTPSWZSYCTCDTGOTUNTZAUGAZAFZMBZWE,180.78915733104597,0.7782956970183611,0.5913281952833386,0.48423629632886,-0.3535082974999994,-0.3624338349552614,0.4247873995183607,-0.7159421324552613,0.062353564563096466,0.23781989778333953,-0.1246139371719231,0.1307279988288596,-0.23170583612640314,528.8471294371254,4.943589060859739,504.2140352747058,753.1956939152307,-248.98165864052487,401.80386430101515,3.7560063723591206,383.0883000609568,572.2578861534793,-189.16958609252242,329.03557897576474,2.870732384644961,315.6554488101128,538.2523552097095,-222.59690639959672,-240.20670945668812,-2.029028894332642,-221.0713511911663,-202.45240784532277,-18.618943345843505,-246.2715571488725,-3.661906055348484,-240.16261199566162,-1724.9892263291933,1484.8266143335318,288.6404199804366,2.914560166527093,283.14268408353877,548.2114670516621,-265.06878296812334,161.59715484432724,1.7269774780264795,162.01694886979067,367.8818701261011,-205.86492125631042,88.82886951907598,0.8417034903123123,94.58409761894586,334.89257263483375,-240.3084750158879,-486.478266605561,-5.690934949681128,-461.23396318682825,-1910.6767143460186,1449.4427511591905,42.36886283156219,-0.7473458888213912,42.980072087875406,-1160.0128253968753,1202.9928974847508,-84.6744023045461,-1.934928577322002,-78.14566312587169,-1340.3424256981407,1262.196762572269,-157.44268762979743,-2.820202565036169,-145.57851437671658,-1373.332062829395,1227.7535484526784,LDCLDCLDCLDCOtherLDCOtherOtherLDCOtherLDCOtherLDCOtherBRICSLDCBRICSOtherOtherLDCLDCLDCOtherOtherLDCOtherLDCOtherLDCLDCLDCOtherOtherLDCOtherLDCOtherLDCOtherLDCLDCOtherLDCLDCLDCOtherLDCLDCOtherLDCLDCBRICSLDCLDC,111121111112222211111111122212121122112112211121211212
1,Asia,AFGAREARMAZEBGDBHRBRNBTNCHNCYPGEOIDNINDIRNIRQISRJORJPNKAZKGZKHMKORKWTLAOLBNLKAMDVMMRMNGMYSNPLOMNPAKPHLPRKPSEQATRUSSAUSGPSYRTHATJKTKMTLSTURUZBVNMYEM,420.5017506766929,1.725668455454326,1.3111166068763738,1.0138410598512986,-0.34262693049999987,-5.9454469633798395,1.3830415249543258,-6.288073893879839,-4.562405438425515,0.9684896763763738,-4.976957287003465,0.6712141293512982,-5.274232834028542,1172.581080074619,53.234195173057564,1113.9041675216636,1710.139783966968,-596.2356164453047,890.8956538758257,40.44591365420671,846.3145095399873,1299.3183387875915,-453.0038292476043,688.8987518007609,21.206152721224125,663.7610143747355,1237.4047563851525,-573.6437420104169,-232.8128876427589,0.19759787629626965,-232.72601219662647,-475.80577814156715,243.07976594494065,-4039.8945694414206,-321.9760937682489,-3693.270892986823,-3698.7342088186897,5.463315831866577,939.7681924318598,53.431793049353836,881.1781553250365,1228.4451884577786,-347.26703313274214,658.0827662330668,40.643511530502984,613.5884973433606,819.0383951589364,-205.4498978155757,456.08586415800164,21.403750597520396,431.0350021781086,759.488494031315,-328.45349185320646,-4272.70745708418,-321.7784958919526,-3925.99690518345,-4135.546065853977,209.549160670527,-3100.1263770095616,-268.5443007188951,-2812.092737661787,-2431.2950665703856,-380.79767109140147,-3381.8118032083535,-281.33258223774595,-3079.682395643462,-2840.7018677208584,-238.98052792260384,-3583.808705283419,-300.5723431707285,-3262.2358908087144,-2900.2525588251087,-361.98333198360575,LDCBRICSOtherOtherOtherOtherOtherOtherBRICSOtherOtherOtherBRICSBRICSOtherOECDOtherOECDOtherOtherLDCOECDOtherLDCOtherOtherOtherLDCOtherOtherOtherOtherOtherOtherOtherOtherOtherBRICSOtherOtherOtherOtherOtherOtherLDCOECDOtherOtherOther,4244121443411222234413213111414221422521214214412
2,Europe,ALBANDAUTBELBGRBIHBLRCHECZEDEUDNKESPESTFINFRAGBRGRCHRVHUNIRLISLITALIELTULUXLVAMDAMKDMLTMNENLDNORPOLPRTROUSRBSVKSVNSWEUKR,-19.946172407716976,0.1287313130712185,0.09780659886272149,0.15887124628846255,0.0267564237499998,-1.008472296578782,0.15548773682121805,-0.9817158728287821,-0.8529845597575639,0.12456302261272177,-0.8839092739660594,0.18562767003846156,-0.8228446265403196,87.47213385246265,-0.13044636541218346,87.6431028232728,-83.51382229840999,171.1569251216828,66.45898113880799,-0.09910964963055326,66.58887877712968,-63.45156218918074,130.04044096631043,107.95203271921709,-0.14071148292401073,108.0759114058302,-59.56051484222158,167.63642624805178,18.180825036550214,0.0022226298702177545,18.16610430666379,22.55788026345987,-4.391775956796083,-685.250710245122,1.3762218154051664,-686.2023338876548,189.34303385433842,-875.5453677419932,105.65295888901272,-0.128223735541966,105.80920712993645,-60.67661057841485,166.4858177083513,84.63980617535853,-0.09688701976033584,84.7549830837938,-40.68145337722493,125.43643646101873,126.13285775576676,-0.13848885305379305,126.24201571249344,-36.90252540705442,163.14454111954785,-667.0698852085717,1.3784444452753843,-668.036229580991,210.05126789875845,-878.0874974797495,-579.5977513561094,1.2479980798632009,-580.3931267577184,126.81677550653205,-707.2099022642504,-600.610904069763,1.27933479564483,-601.4473508038606,146.81193308015793,-748.2592838840185,-559.1178524893547,1.2377329623513733,-559.9603181751609,150.59089852225338,-710.5512166974142,OtherOtherOECDOECDOtherOtherOtherOECDOECDOECDOECDOECDOECDOECDOECDOECDOECDOtherOECDOECDOECDOECDOtherOECDOECDOECDOtherOtherOtherOtherOECDOECDOECDOECDOtherOtherOECDOECDOECDOther,3333334333334433333353343443333543333344
3,Latin America and the Caribbean,ARGATGBHSBLZBOLBRABRBCHLCOLCRICUBDMADOMECUGRDGTMGUYHNDHTIJAMKNALCAMEXNICPANPERPRYSLVSURTTOURYVCTVEN,71.43296813034826,0.7418484223800728,0.5636365335956008,0.8180969101857806,-0.4158097319999997,-0.4663126711545928,0.32603869038007255,-0.8821224031545929,-0.14027398077452163,0.14782680159560108,-0.318485869558992,0.40228717818578014,-0.06402549296881298,504.08143094732554,8.72439207374125,496.7080002339733,290.8297406999956,205.87825953397768,382.98755084970406,6.628559093508629,377.38541596256925,220.96463639936184,156.42077956320747,555.8918084869292,11.416399335933594,544.3833224106476,202.39082694558036,341.9924954650672,-282.5401502316574,-7.506339894983877,-275.0692559628038,-73.2878635268786,-201.78139243592523,-316.8565861343145,-5.772653821019779,-310.46840929414736,-677.2477389451474,366.77932965099995,221.54128071566782,1.2180521787573728,221.63874427116914,216.5415110565197,5.097233214649446,100.44740061804656,-0.8777808014752458,102.31615999976542,146.91672152873792,-44.600561528972506,273.3516582552713,3.910059440949715,269.3140664478433,128.744443742548,140.56962270529527,-599.3967363659722,-13.278993716003658,-585.5376652569514,-743.9114884958542,158.37382323890282,-95.31530541864758,-4.5546016422624085,-88.82966502297916,-454.0821083602015,365.25244333722236,-216.40918551626808,-6.650434622495025,-208.15224929438207,-523.7068992217834,315.55464992740133,-43.5049278790434,-1.8625943800700635,-41.15434284630422,-541.8793112056914,500.72496835938716,OtherOtherOtherOtherOtherBRICSOtherOECDOECDOECDOtherOtherOtherOtherOtherOtherOtherOtherLDCOtherOtherOtherOECDOtherOtherOtherOtherOtherOtherOtherOtherOtherOther,111111121111111111111111111111111
4,North America,CANUSA,22.148661480883938,0.5350812599375894,0.4065403894445099,0.3868958828443246,-0.0267930502500001,-1.5648752418920306,0.5082882096875894,-1.5916682921420306,-1.056587032204441,0.37974733919450987,-1.1851279026975206,0.3601028325943245,-1.2047724092977063,363.5844183870885,8.293677442643196,355.29074094444525,84.58672856118487,270.7040123832604,276.24168909276136,6.301313669352917,269.94037542340845,64.26672759033275,205.67364783307568,262.8933679283035,4.20463884519118,258.6887290831123,62.08889481331168,196.59983426980062,-18.205712517568927,0.27637138732639144,-18.482083904895315,-25.327597845439165,6.845513940543853,-1063.3230824380414,-41.59401338548425,-1021.7290690525572,-170.18477531489884,-851.5442937376583,345.37870586951965,8.570048829969592,336.80865703955004,58.948955021617635,277.8597020179324,258.03597657519254,6.577685056679311,251.4582915185132,38.703466571973394,212.75482494653977,244.68765541073458,4.481010232517572,240.206645178217,36.65013357722526,203.55651160099177,-1081.5287949556102,-41.31764199815786,-1040.2111529574524,-193.45848597198403,-846.7526669854685,-717.9443765685216,-33.02396455551465,-684.920412013007,-109.18193138338317,-575.7384806296238,-805.2871058628488,-35.016328328804946,-770.2707775340439,-129.42742024658835,-640.8433572874555,-818.6354270273068,-37.113003152966684,-781.5224238743402,-131.48079485097287,-650.0416290233674,OECDOECD,53
5,Oceania,AUSCOKFJIFSMKIRMHLNIUNRUNZLPLWPNGSLBTONTUVVUTWSM,4.527065827029297,0.2698703991329864,0.2050402908445457,0.12615474851986638,-0.0190684705000001,-0.1214232145828616,0.2508019286329861,-0.14049168508286153,0.1293787140501241,0.1859718203445457,0.06454860576168434,0.10708627801986628,-0.014336936562995423,183.3752729820941,0.41699978622335904,178.48901931652549,18.567249550172924,159.92176976635255,139.32361395226005,0.31682525287709556,135.61116947540336,14.106898200697797,121.50427127470556,85.72137411935331,0.3248899140148906,85.39215652572159,13.2251474567512,72.16700906897039,-12.956908184529842,-0.039253553603200916,-12.924942032454311,-5.081080752899933,-7.843861279554379,-82.50632596990904,-0.3912746339596396,-81.95277006574621,-42.89515683020034,-39.057613235545865,170.41836479756412,0.3777462326201581,165.56407728407112,13.422770574022607,152.1413067100485,126.36670576773028,0.27757169927389463,122.6862274429491,8.9776491782283,113.70857826472081,72.76446593482346,0.2856363604116897,72.46721449326728,8.121345511988267,64.34586898127901,-95.46323415443875,-0.4305281875628405,-94.87771209820039,-47.55643422338052,-47.32127787481986,87.91203882765481,-0.01352840133948152,83.61130721832477,-29.052582544583746,112.66388976290851,43.860379797821416,-0.1137029346857446,40.73345737720304,-33.497704024907655,74.2311614021107,-9.741860035085644,-0.10563827354794993,-9.485555572478992,-34.35401619593084,24.868460623451842,OECDOtherOtherOtherOtherOtherOtherOtherOECDOtherOtherOtherOtherOtherOtherOther,2111111131111111
