Country,iso,CSCC_gtc_mean,CSCC_gtc_std,CSCC_gtc_skew,CSCC_gtc_median,CSCC_gtc_q17,CSCC_gtc_q83,CSCC_gtc_min,CSCC_gtc_max
Afghanistan,AFG,0.9918649942075205,1.9211233198072626,0.3348235039472129,0.9103158694839923,-0.8513712186610134,2.7290185287099273,-7.052733568118832,12.156656538657852
Angola,AGO,2.8755461148493406,1.7829155571558986,0.4297812368249997,2.751537257143867,1.2307415977137581,4.502041585166292,-3.1850903088983515,13.035072113196572
Albania,ALB,0.05801303814938997,0.10176077138194996,0.44480814181898654,0.052491710187501775,-0.039184448431652794,0.14857844481827545,-0.36894135105700804,0.7610028222597011
United Arab Emirates,ARE,7.577593572047924,4.138076975747171,0.4122371254900835,7.277907174766131,3.8258059227896952,11.354865311973239,-6.812130530462351,31.33109710301077
Argentina,ARG,3.4412642870863643,3.3052551285686342,0.7658686559669278,3.0359504661279706,0.44004584866131086,6.388040266159081,-8.070058954890033,26.49407042537581
Armenia,ARM,-0.06594805809305616,0.07519538252777537,-0.3307442993763264,-0.06373957872287792,-0.13316283221791464,0.004198116975350955,-0.6376484971939043,0.2695126894357033
Australia,AUS,3.3170388419669825,3.520859830092981,0.41028884599207166,3.159477271964252,-0.12247902758973901,6.501724840093835,-9.301329396146174,25.4704018322931
Austria,AUT,-0.9316700062284091,0.9029028807479121,-0.4766478621620728,-0.8869617279936589,-1.735987485983488,-0.086103485880295,-8.535315415599344,2.6109947488710046
Azerbaijan,AZE,0.12885229496439024,0.3145428604720382,0.2997045717278651,0.11852286306442295,-0.17770844249840834,0.4160879103838742,-1.2788559307930079,2.128841824394105
Burundi,BDI,0.6432460479943837,0.4164021661301769,0.40434768153080536,0.6175913769918717,0.2569731325817089,1.0227322985211573,-0.7740925396758752,3.0588858789708997
Belgium,BEL,-0.4365836861865827,0.9921593796518595,-0.10267525248392913,-0.42484777986281563,-1.3318973798208935,0.4719987488175555,-6.690364868572142,4.528856932725784
