iso,CSCC_mean,CSCC_std,CSCC_skew,CSCC_median,CSCC_q17,CSCC_q83,CSCC_min,CSCC_max,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max,FaWdom_mean,FaWdom_std,FaWdom_skew,FaWdom_median,FaWdom_q17,FaWdom_q83,FaWdom_min,FaWdom_max,FaWout_mean,FaWout_std,FaWout_skew,FaWout_median,FaWout_q17,FaWout_q83,FaWout_min,FaWout_max,FaWin_mean,FaWin_std,FaWin_skew,FaWin_median,FaWin_q17,FaWin_q83,FaWin_min,FaWin_max,FaWnet_mean,FaWnet_std,FaWnet_skew,FaWnet_median,FaWnet_q17,FaWnet_q83,FaWnet_min,FaWnet_max
LVA,-0.04750059461949021,0.03590858297534879,-0.6537090394409764,-0.044847983790482465,-0.07916366931463616,-0.015293210795611203,-0.3305592029113739,0.06914784496634073,0.0025535312,0.0035664076,-0.1236642375588417,0.0026806684,-8.423271356150508e-05,0.005374430678784847,-0.008634646,0.0129755195,-0.0004487930276116069,0.0008723299158613217,-1.2540427354574992,-0.00029936347113272655,-0.001057036139462396,0.0001051450023934167,-0.008006635226181525,0.004166625062790215,1.6255184977510624,2.359379924458508,0.09597742194105566,1.5826012467883648,-0.06123698177048708,3.461112998619739,-8.299364084903385,12.282855516702263,-0.5974375798711048,0.4765006799014958,-0.8510917159705162,-0.5483568490780169,-1.015345812733291,-0.17066801937674939,-4.025874568164327,0.899705172388758,2.2229560776221673,2.4069921428622463,0.09728240126737163,2.157948717949512,0.33963809998578937,4.127513379185827,-8.310029067555494,12.561428591405285
MAR,0.6412689028577926,0.5572806539838254,0.4943108197676475,0.6090287799991612,0.11122647850020911,1.1493768789283172,-0.8231085194989531,3.763578845375851,-0.003244453,0.017769605,0.47115305066108704,-0.0024185102,-0.016010545194149017,0.008284096606075764,-0.06723912,0.088217914,-0.008207491561435236,0.05434606240202357,0.14723484633524236,-0.002872727819093971,-0.03612225961147203,0.017822541602740216,-0.395284582459205,0.6220846348099712,-2.101670961660523,11.527056637726178,0.3146434473124496,-1.426298549553728,-10.087053073222215,5.202031340023066,-63.67606040597051,86.61465438584591,8.06801901574134,7.225452521347312,0.7789191923763273,7.424281599345335,1.5477421949831498,14.235560701473206,-12.908680138581872,54.3143564917136,-10.169689977401864,13.636727964884361,0.0901314665854617,-9.58935008689965,-21.30723174491047,0.403572033894027,-76.65367455315088,88.79391482403929
MDA,-0.008842138303711626,0.01705679877682815,-0.14914575504766311,-0.008816049955614306,-0.024113011596705466,0.006953699323093077,-0.0976795764004287,0.05982291874535937,0.0003496101,0.0030163317,0.2420666217803955,0.0002782875,-0.002325416309759021,0.002879406325519085,-0.0075074853,0.010104944,-8.494032416376004e-06,0.00021547965170094107,-0.19443161425976405,-2.5271045546755614e-06,-0.00012580361847713473,0.00010646750637801963,-0.0019180542648155469,0.0017453506155282968,0.2182499455392499,1.9455637403934494,0.22360051739529935,0.18568480572726892,-1.3548349813147187,1.8216175010159308,-7.44679291168065,9.630534401746473,-0.11027349651219831,0.21553173392491673,-0.3289487297193675,-0.10281144771992243,-0.2988847959894536,0.08314086167581261,-1.6384484118661415,0.7139685959618345,0.3285234420514482,1.9550396421969354,0.22105518906992047,0.30176210526621505,-1.2776529387534545,1.9263792226163834,-7.508698814835182,9.883060023769312
MDG,0.4314062616991976,0.2913660153646208,0.5337208086204661,0.40786727195747374,0.15778934052260501,0.6988476411373761,-0.44673601841834265,2.018826100058221,0.017743638,0.02744789,-0.7299336791038513,0.018835286,-0.003403834067285061,0.04084465652704239,-0.110135235,0.0920096,0.028023078000806806,0.053933552527463714,0.06405988810708216,0.020761515067272286,-0.00459589886145474,0.06986666788302888,-0.3976694312424833,0.4049753911537013,11.305378418402196,17.998331474330396,-0.40369897772042446,11.271670724839495,-1.6625309171375426,26.238438076315944,-87.31818079355472,99.58155989470032,5.253565009403339,3.7538753069566515,0.7554848982670028,4.848286344129509,1.8815523459302308,8.490273595867926,-4.60555945638585,25.318432365672784,6.051813408998857,18.360937699221488,-0.37057398595145236,6.214706879252693,-7.949220281412984,21.599749097681997,-90.78666472319406,92.75349341362838
MEX,4.086609383249424,3.0539026341651634,0.49463008542878645,3.8718957563944074,1.236783629198222,6.834344046316718,-5.067242428889286,17.81781887019266,0.06334968,0.09470169,0.3708672523498535,0.056031864,-0.0034750145860016346,0.13904224336147308,-0.21371059,0.37795466,0.9438702632202134,1.922835713878253,1.388296527731424,0.5798071111895082,-0.12010286470949064,2.168064374656399,-10.290305879996446,17.33902345032863,39.1135353955398,61.174009832073494,0.563565825008217,31.848479846278167,-2.098872413074858,84.6772929933327,-215.40647895989548,341.98283522481023,49.662552794399744,39.14605884916835,0.7720864295393849,46.13460817594129,13.69509938713875,83.88620792643347,-62.679917404186654,290.67317579580316,-10.549017398859938,72.92336982580932,0.1920020131278672,-12.22540175617802,-71.81645138999455,47.721695882418864,-340.83773228528787,335.32334395282015
MKD,-0.01253402847349294,0.029905295094526545,0.026595605887037823,-0.012092286628744724,-0.03944658787265681,0.014764095980958264,-0.15994232429751196,0.122059332765214,0.001068565,0.002303682,0.8549690842628479,0.000982651,-0.0006367392488755286,0.0027069710195064545,-0.007130597,0.013678713,-5.004769784133154e-05,0.0003080386872690722,-1.6948265672527731,-1.537937874212596e-05,-0.00020488761617773097,0.00010272933893496404,-0.004511852452426839,0.0038497326041212095,0.6845376136457291,1.523935670471361,1.1873007719247712,0.6062619790619593,-0.39189443051766587,1.7167494651200184,-6.66420644856264,13.349514043565675,-0.16064012518993007,0.3801921251882293,-0.12613418066553755,-0.15221223938463602,-0.4919136852131044,0.16812424270363266,-2.116470703138551,1.5569776408284215,0.8451777388356593,1.5724854748028994,1.132299258693391,0.7871180962546602,-0.3125283014414156,1.929020245094305,-6.98773635953767,14.234398211512413
MLI,0.7903432370196782,0.4015437171441163,0.15491741413137347,0.7721853751960652,0.42442900073698603,1.1711497585631288,-0.5127017725621723,2.449620076947798,0.0053651556,0.01499889,0.5370722413063049,0.004855114,-0.0050057717598974705,0.01619323156774044,-0.04173559,0.07925729,0.01538534346785778,0.04877160531758966,0.7868313221906942,0.00984148583186985,-0.012581008245815496,0.04876701649374985,-0.2694774523389435,0.430630243960876,3.3520538151005277,9.680563673919323,0.5819459717416051,2.7183808112483394,-3.1221031095683864,10.360816570342886,-39.139644883745966,63.382366324993306,9.847597111579933,5.41342713451838,0.5441919088321628,9.391064093980951,4.92322438790894,14.750863512961732,-7.105990830499372,44.127580256069905,-6.495543296479406,11.174322368913916,0.33546974021642684,-6.678901090153515,-15.57646465767184,2.4902089109706576,-52.66994731333971,58.84751704939669
MMR,0.439877089114782,0.24951291003326492,0.4510634357249702,0.4202603674776648,0.21172945138675664,0.6636736903926118,-0.27839037130700967,1.4681971691956477,0.042832337,0.039943747,0.3656180500984192,0.043596346,0.005294234957545996,0.07857681810855865,-0.064022124,0.18411389,0.06922293919961411,0.08445703168590764,1.4027503482824744,0.05406591971111238,0.0026116105822445554,0.13501995866675254,-0.2424044255637607,0.7143292690981246,27.124173648085165,26.77775708900717,0.7639611732923369,25.112438093382366,3.481976637181765,48.99041507486934,-53.13507539940694,218.9507848550861,5.402375759290362,3.380576685734925,0.8940285424285447,4.926818244128231,2.428815955067761,8.345033432532013,-5.163093980047026,24.0528826170495,21.72179788879481,27.007144826623616,0.7426113520770746,20.175690065458504,-1.7766810301924927,43.29933723275411,-60.62400598594548,212.4525945605859
MNE,-0.005935371679568108,0.006592155651293884,-0.3578739861518812,-0.005559007370621514,-0.011913041436629293,0.00015672743975390907,-0.0405415368568801,0.019029053217411464,0.0006040414,0.0020993946,-0.3777904212474823,0.0006446098,-0.000814675004221499,0.0020981505513191223,-0.006912238,0.006511303,-1.2618159424213148e-05,7.377464379889947e-05,-0.06535542410690408,-4.8259050825173316e-06,-5.196185533696579e-05,1.8049956735559523e-05,-0.0005933372216809368,0.0006555668917788432,0.38842502218535735,1.3625900105150455,-0.26685642229123363,0.3914299864514512,-0.4620053133502299,1.3495084066322498,-6.722367252706163,6.347429284524176,-0.07270028488804711,0.08572017167460583,-0.6017245973722899,-0.06570424482364734,-0.1465061417985821,0.004609671643356945,-0.5530329853275103,0.23436038750586144,0.4611253070734045,1.3648763579811758,-0.25515622134235,0.4626138333133056,-0.3903843016914884,1.4322157851800006,-6.543760534718385,6.4462717107718746
MNG,-0.2660071089890445,0.15703128192072158,-1.9537559285901018,-0.24356542637343293,-0.38363608017202444,-0.13798643113987594,-1.7077503951274093,0.08999275399552077,0.014784001,0.042130142,-0.9433309435844421,0.01439149,-0.01094608660787344,0.05377892404794693,-0.20093232,0.12272521,-0.014282878785833418,0.048574040787205154,0.7398921245836112,-0.010541113321647437,-0.043796065011640656,0.007031053283500494,-0.36151706214238966,0.5102591471384741,9.36602091303769,27.56342637713159,-0.8986118424155627,8.61626950755267,-5.8926264536204656,31.441847545002695,-180.49084257097434,149.1048915315104,-3.26145629880077,1.9380364362794515,-1.354561883864297,-2.9416824908758925,-4.874657846338295,-1.6242770525241146,-17.727869185488927,1.386032617054468,12.627477211838459,27.614371471056977,-0.8869512965820113,12.009613056312794,-3.084293488405494,34.60356416358542,-176.5557261200519,152.28098910780162
