Country,iso,Fab_mf_mean,Fab_mf_std,Fab_mf_skew,Fab_mf_median,Fab_mf_q17,Fab_mf_q83,Fab_mf_min,Fab_mf_max
Afghanistan,AFG,0.0007068633011062384,0.00013583087893878794,0.32042514703050795,0.0006984614092444314,0.0005805374678590787,0.0008278123971517032,0.0003406013633054197,0.0012649845093109608
Albania,ALB,-0.0005204937715840578,9.578199689494887e-05,-0.010123956788543328,-0.0005205549028221667,-0.0006110477086910811,-0.00042686970985762507,-0.000838974008233428,-0.00024972123326027395
Algeria,DZA,0.00010838921783774144,9.837591461143581e-05,-0.1396094349790022,0.00011155861757549506,1.6708356507701415e-05,0.00020412874470766528,-0.000199112728888493,0.0004824874224203183
Angola,AGO,-0.015600961522282934,0.002763988689688671,-0.08570894636349304,-0.015579778768907548,-0.018271048246508347,-0.012912215278689309,-0.023963281137355803,-0.006268308364780428
Argentina,ARG,0.011408823199600963,0.004428101752549235,-0.09006221905685666,0.011426311985457422,0.007181939606603954,0.015758503522362306,-0.0022877148280019775,0.02647635371252811
Armenia,ARM,0.00015216414999999999,2.5517709122933286e-05,0.167546764822807,0.000151603375,0.0001272407,0.0001767053925,7.9287e-05,0.00024492
Australia,AUS,-0.0019755343870735916,0.0029356590755388917,0.07923050328358601,-0.0020819287078146943,-0.004691415404138345,0.0009189155708136471,-0.011072032674016952,0.007363916813317297
Austria,AUT,-0.003480022177799831,0.0003739644843532117,-0.12948178961840187,-0.00347139847743839,-0.0038347937538904847,-0.003124508038879908,-0.004730607283921719,-0.0024237375874165894
Azerbaijan,AZE,0.000628764336656416,0.00010792948316653826,0.1926961254972547,0.0006243015761930608,0.0005277547359316866,0.0007274596564942249,0.00033318835065783566,0.0010669366358078644
Bangladesh,BGD,-0.00027110559037183643,0.00046124560582176715,0.06208825721316067,-0.00026574110625544184,-0.0007006883887416135,0.00016049926374590262,-0.0017311519860702753,0.0014040479919114114
Belarus,BLR,-0.00379473220408072,0.0008177866831195705,0.06927474777044457,-0.00383520987665236,-0.004597043580175819,-0.0030234446619825865,-0.006334004922093868,-0.0009097292847558254
Belgium,BEL,0.0003369099793925433,0.00011117515072614137,0.04459667250214768,0.00033809350623881446,0.00022826993733151012,0.000435770479888623,-5.128100216268748e-05,0.0006823822319257558
Belize,BLZ,0.0010571819370835875,0.00012434058725730143,0.04806464538467606,0.0010545589520062509,0.0009336246163839423,0.001177384460004266,0.0007048691989960971,0.0014232319617013336
Benin,BEN,0.0028839791096192417,0.00034421332033845054,0.07429069599038111,0.0028833878514746766,0.00254311050791984,0.0032054110664151863,0.0018694054865396174,0.00399375760847415
Bhutan,BTN,-0.0009144204186596048,0.0002268111475972282,0.030712926320401412,-0.0009134743683025539,-0.001144919833045088,-0.000699958559711339,-0.0016502704111611842,-0.00020262697719115007
Bolivia,BOL,-0.0012617405657047512,0.003531609431245824,-0.013689492058555193,-0.001198823039317132,-0.0046897043795617295,0.0019802841762724894,-0.013199968030418396,0.010218795034019474
Bosnia and Herzegovina,BIH,-0.0011622455773379428,0.0002658318446010082,0.18416721689062968,-0.0011803926690930723,-0.001424183860926628,-0.0009082464056649066,-0.0022009891438219548,-0.00013656030372124163
Botswana,BWA,0.0017119493725,0.0004023001125701988,0.16855729761031762,0.0017070915000000002,0.0013242074775,0.0020835861125,0.000547533,0.0033644417499999997
Brazil,BRA,0.18419820230123343,0.02013154615778013,0.05222564699938076,0.18410609449253085,0.1645050500297145,0.20290941172389723,0.12515521361224363,0.25348871844059373
Brunei,BRN,-0.00012027114229786162,4.756620785100495e-05,-0.07851499750036826,-0.0001178840784903094,-0.00016647439068897976,-7.586098993714437e-05,-0.000267580667657733,8.455084152480212e-05
Bulgaria,BGR,-0.0032678482451775465,0.00038056684782875576,-0.06827784464882289,-0.00326693195436728,-0.003617954946099986,-0.0029108537177496077,-0.004797592496891975,-0.002030745992603421
Burkina Faso,BFA,0.00488871931525,0.00022986574042798617,0.011762065330075452,0.00489290525,0.004669179512500001,0.0051013705325,0.00414187325,0.0055866052499999996
Burundi,BDI,-0.00029267446718230585,0.00012660913374542608,0.1545529764934696,-0.00029562667026638976,-0.0004138269253536278,-0.0001740668405401754,-0.0007034110599911809,0.00013569985248732572
Cabo Verde,CPV,1.35734275e-06,4.976425180646476e-07,0.3237385190379668,1.33275e-06,8.568725e-07,1.8319200000000001e-06,2.6400000000000003e-07,3.0267500000000003e-06
Cambodia,KHM,0.0035324240251856424,0.001098487293319135,0.08006222725549282,0.0035046584487273685,0.002476634626468624,0.004635615966020438,-0.0003048114214801792,0.006717718626482011
Cameroon,CMR,-0.012550718093916375,0.0010189864571109996,0.02124862974232863,-0.012570521123507976,-0.01349669675880682,-0.011555912808986893,-0.015995500051998138,-0.009697990550456047
Canada,CAN,-0.07651820700974991,0.004754230867340742,0.04366260568452236,-0.07656043634142494,-0.08092442499705242,-0.07183921541017377,-0.09138587254102325,-0.06219587571301651
