Country,iso,CSCC_mean,CSCC_std,CSCC_skew,CSCC_median,CSCC_q17,CSCC_q83,CSCC_min,CSCC_max
Afghanistan,AFG,0.2707055115195197,0.5243240501657377,0.33482350394721305,0.24844865433515065,-0.23236114046425035,0.7448194674426658,-1.9248726987223883,3.3178647758345665
Angola,AGO,0.7848106208649946,0.4866035909268282,0.42978123682499997,0.750965408609134,0.3359010910790824,1.2287231400563021,-0.869293206577061,3.557607017793824
Albania,ALB,0.015833252770029994,0.027773136294200286,0.4448081418189894,0.0143263401166762,-0.01069444553265632,0.04055088559450743,-0.1006936001793144,0.2076972768176039
United Arab Emirates,ARE,2.0681205163886256,1.129387820891695,0.412237125490083,1.986328377392503,1.044161005128192,3.099035292569115,-1.8592059308030435,8.551063619817349
Argentina,ARG,0.939209685340165,0.9020892818145834,0.7658686559669277,0.8285891010174591,0.12009984952546687,1.7434607713316266,-2.202527007338983,7.230914417406061
Armenia,ARM,-0.01799892415203495,0.02052275724011334,-0.3307442993763304,-0.017396173232226503,-0.036343567745064004,0.0011457742836656075,-0.1740307033826158,0.0735569567237181
Australia,AUS,0.9055984592458136,0.9602634025118838,0.41031875986771593,0.8623444847742692,-0.032007104240325795,1.7747794804671897,-2.538572433446008,6.95152888435947
Austria,AUT,-0.25427674842478415,0.2464254587194083,-0.47664786216207294,-0.2420747074218501,-0.4737957112400349,-0.0234998596834866,-2.3295074824234017,0.7126077371372829
Azerbaijan,AZE,0.03516711107106719,0.08584685056551258,0.29970457172786585,0.0323479429760979,-0.04850121247227301,0.11356111091262937,-0.3490327322033318,0.58101578176695
Burundi,BDI,0.17555841921244092,0.11364687940234083,0.4043476815308059,0.16855659852398241,0.07013458858671091,0.2791299941378704,-0.2112697979464724,0.8348487660946778
Belgium,BEL,-0.11915493618629437,0.27078585689188306,-0.10267525248392975,-0.11595190498439284,-0.36350911021312593,0.12882061921876514,-1.8259729444792965,1.2360417392810543
Benin,BEN,0.3436365713045683,0.20094855211024137,0.545487610647895,0.32447107125357755,0.162248639904723,0.5258343481171159,-0.3583448260793972,1.530913217866253
Burkina Faso,BFA,1.102244468212849,0.5641720561667123,0.23985959288823197,1.0748505573506093,0.5889137930842222,1.6245756122580128,-1.0142275421772435,4.035423684951981
Bangladesh,BGD,2.6401581707094275,1.7555745163098473,0.6310554686982602,2.4672712971627324,1.0419461663284473,4.213538206619336,-3.1164612307796964,14.033608881089402
Bulgaria,BGR,-0.03850330115780804,0.10486782078785649,-0.06468694136156966,-0.03770241007514815,-0.13433285325887195,0.0580363366299053,-0.7077305110097487,0.5012952518958493
The Bahamas,BHS,0.020951220264942165,0.01216582204625289,0.49482156247371434,0.0199911204033814,0.00982499888311217,0.03200334547148283,-0.0186500270063632,0.096364898129043
Bosnia and Herzegovina,BIH,-0.019711772450885217,0.03134884132494267,-0.23007102819958453,-0.0192458516558142,-0.04801605033074373,0.009379765210772032,-0.2320624120774835,0.1261952272151073
Belarus,BLR,-0.21607765169916165,0.1699908195436552,-0.6388451538946203,-0.20442975246630996,-0.36570956296714086,-0.06032677734792297,-1.8652218296538488,0.3962185564192726
Belize,BLZ,0.01215373951569259,0.0067638271100755164,0.38188847317015967,0.0117100084535037,0.005957703149531698,0.018354426917375703,-0.0105741457401188,0.0504617705728281
Bolivia,BOL,0.32489764429732193,0.256233696359002,0.5375866100035107,0.3042653186063547,0.08725792360956836,0.5572402062819716,-0.5394158354054123,1.8908460427910936
Brazil,BRA,6.0491164260022545,3.8942896357365946,0.5337725015150226,5.747861931129059,2.473260527555671,9.56697196913144,-6.831485277059651,31.13699008890825
Brunei,BRN,0.06381578923948487,0.03528520799829458,0.44629641832781763,0.0613042791753546,0.031655615120018576,0.09587009453087436,-0.0524207312701469,0.2782944726712776
Bhutan,BTN,0.035674115222899726,0.03498312189578639,0.5965200963669268,0.0330567815965898,0.002889005368590742,0.06665921290755995,-0.0972998725996726,0.2754322079487163
Botswana,BWA,0.12797005546548418,0.08042623394885165,0.38007203840128645,0.12354647879739125,0.05344573543133325,0.20155968300502294,-0.1509585206404354,0.5993005193003722
Central African Republic,CAF,0.09561346987871687,0.05299112357874949,0.33646872632230584,0.0925985776431726,0.04707474094941186,0.1442287934508468,-0.0921346208237955,0.3911010663181228
Canada,CAN,-2.282806831143034,1.651844462702923,-0.6486270216509787,-2.166756366317286,-3.7576095173910913,-0.7734313161376871,-18.367508598231613,3.718011926480463
Switzerland,CHE,-0.3084912331038938,0.2734172220492189,-0.5475675984031392,-0.2918177286258048,-0.5505936244662485,-0.053829525360878996,-2.7441025087730853,0.7169835396955361
Chile,CHL,-0.1569193704028457,0.2647361598978304,-0.20020973625202013,-0.15330709674903994,-0.3944134806324753,0.08758475030345955,-2.0074552036547835,1.2272928084316488
China,CHN,15.202215180722963,21.964153951251827,0.3816809988660324,14.216782199590877,-6.159715375389153,35.03287088751082,-70.25455937556652,156.1926213239305
Ivory Coast,CIV,1.071173169003105,0.6149136676206398,0.5446049146413064,1.0142142793583675,0.5167277114205439,1.6270028433596253,-1.081352886869519,4.728894132896425
Cameroon,CMR,0.7422480621164373,0.43061128255074016,0.4417455100796834,0.7109532341152948,0.3489555687105695,1.1344585765189505,-0.7649635238075297,3.2950531820092954
Democratic Republic of the Congo,COD,2.1494249606717757,1.2480512851933987,0.363710051137704,2.0720069672618866,1.0043743340548572,3.292789071982563,-2.174329773328311,9.055029381113698
