country,iso,Fa_mean,Fa_std,Fa_skew,Fa_median,Fa_q17,Fa_q83,Fa_min,Fa_max,Fa_tf_mean,Fa_tf_std,Fa_tf_skew,Fa_tf_median,Fa_tf_q17,Fa_tf_q83,Fa_tf_min,Fa_tf_max,Fa_mf_mean,Fa_mf_std,Fa_mf_skew,Fa_mf_median,Fa_mf_q17,Fa_mf_q83,Fa_mf_min,Fa_mf_max
Hungary,HUN,0.0010978762,0.009005432,-0.6903700232505798,0.0015948886,-0.005587562,0.007252927,-0.037826374,0.02973838,0.0005118324,0.002362835,-0.8031066656112671,0.0005771906,-0.00071275793,0.002008868,-0.011987391,0.008515171,0.0005118324,0.002362835,-0.8031066656112671,0.0005771906,-0.00071275793,0.002008868,-0.011987391,0.008515171
Indonesia,IDN,0.1524172,0.10959304,0.343397855758667,0.14930132,0.071147725,0.23144414,-0.13838248,0.50543,0.12372272,0.08067377,-0.06800888478755951,0.12287917,0.06212634,0.18488863,-0.12004887,0.35285547,0.0994789,0.07030839,-0.19008532166481018,0.10127769,0.046608437,0.1566264,-0.100476444,0.29709184
India,IND,0.13594012,0.10241673,0.6855278611183167,0.121964276,0.047149565,0.2332815,-0.135056,0.5214527,0.026258135,0.016780602,-0.03929471969604492,0.02809048,0.011169955,0.039257027,-0.025025677,0.09617395,0.02482953,0.015988506,-0.09417907148599625,0.02617269,0.01049889,0.037512712,-0.027519796,0.08964624
Ireland,IRL,0.00156157,0.004025612,1.2564996480941772,0.0012008022,-0.000612145,0.0029992044,-0.020283166,0.020395095,4.4911787e-05,0.00021279996,1.3715955018997192,0.0,-8.53998e-06,7.563121e-05,-0.0009050898,0.0011891167,4.4911787e-05,0.00021279996,1.3715955018997192,0.0,-8.53998e-06,7.563121e-05,-0.0009050898,0.0011891167
Iran,IRN,0.0026517224,0.023977546,-1.0425820350646973,0.0041975696,-0.012810709,0.019709108,-0.12525234,0.07878999,-0.00025127464,0.0009391737,-0.9816383719444275,-1.45877675e-05,-0.00094503263,0.00027315377,-0.004242863,0.003794189,-0.00025127464,0.0009391737,-0.9816383719444275,-1.45877675e-05,-0.00094503263,0.00027315377,-0.004242863,0.003794189
Iraq,IRQ,0.0014016506,0.0053322897,-0.2758706212043762,0.0008850863,-0.0014492417,0.0052575683,-0.02196452,0.021603087,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Iceland,ISL,0.0011376477,0.0037366028,0.621833324432373,0.00066877395,-0.00091242517,0.0029043076,-0.017161315,0.016203267,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Israel,ISR,0.0002185801,0.00085313956,0.3097924292087555,0.00012618926,-0.00040312085,0.00092525734,-0.0021351967,0.0033019776,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Italy,ITA,0.0031300092,0.019126423,-0.3074687719345093,0.0044045206,-0.011648858,0.016489325,-0.0728809,0.072624356,0.0016071172,0.008409243,-0.382475882768631,0.0022416855,-0.0038572364,0.0078953635,-0.029337129,0.033768278,0.0016071172,0.008409243,-0.382475882768631,0.0022416855,-0.0038572364,0.0078953635,-0.029337129,0.033768278
Jamaica,JAM,0.0003405303,0.0017005685,1.9890570640563965,0.00021140742,-4.2623433e-05,0.0010592703,-0.009127261,0.013794972,0.00028853054,0.0012960025,-0.8817678093910217,0.00021532479,0.0,0.00087706116,-0.009127261,0.007212238,0.00028853054,0.0012960025,-0.8817678093910217,0.00021532479,0.0,0.00087706116,-0.009127261,0.007212238
Jordan,JOR,0.00011776085,0.0010374,1.6509252786636353,6.567999e-05,-0.00029484264,0.0005430251,-0.0040949457,0.0067631905,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
Japan,JPN,0.020361856,0.014017989,0.32234570384025574,0.020039111,0.009276445,0.031377524,-0.023047842,0.06429031,0.013478048,0.009050634,0.05388794466853142,0.013045697,0.0059829634,0.022609903,-0.0157599,0.039756063,0.013383237,0.008990794,0.04854178428649902,0.01275729,0.0059829634,0.022587532,-0.0157599,0.039303105
