,iso,Country,SLAND_mike,SLAND_mike_2012
113,MLI,Mali,0.0024741082,0.0029502981
114,NAM,Namibia,0.0029872651,0.0021014945
115,KOR,South Korea,0.0030802062,0.003783198
116,CUB,Cuba,0.0033242118,0.0046296194
117,GRC,Greece,0.0033728909,0.0030250582
118,MWI,Malawi,0.0034616536,0.0030931071
119,LKA,Sri Lanka,0.003583843,0.0033770439
120,CRI,Costa Rica,0.003921139,0.003805721
121,BWA,Botswana,0.0044111726,0.0007164538
122,PRK,North Korea,0.004471867,0.0045209583
123,SLE,Sierra Leone,0.0046552247,0.005000698
124,GBR,United Kingdom,0.004676047,0.004748825
125,BLR,Belarus,0.0047100186,0.0050076568
126,GHA,Ghana,0.0050518075,0.0050564604
127,URY,Uruguay,0.0051824776,0.009407286
128,SOM,Somalia,0.005507196,0.004507002
129,HND,Honduras,0.0055275946,0.005585881
130,LBR,Liberia,0.0056680585,0.006177879
131,PAN,Panama,0.005939925,0.005516997
132,BGD,Bangladesh,0.005979492,0.006502217
133,UKR,Ukraine,0.005991188,0.004643545
134,GIN,Guinea,0.006065364,0.006208767
135,TCD,Chad,0.006068913,0.0069249324
136,GTM,Guatemala,0.006532543,0.006242824
137,NPL,Nepal,0.007207487,0.0073922747
138,ZWE,Zimbabwe,0.0077076848,0.004299669
139,NIC,Nicaragua,0.0077473978,0.0082657905
140,MNG,Mongolia,0.007782374,0.016299997
141,CIV,Ivory Coast,0.008596094,0.0075903228
142,NOR,Norway,0.008697142,0.008701481
143,CHL,Chile,0.008719842,0.009002883
144,FRA,France,0.0087583875,0.013411695
145,PAK,Pakistan,0.009080659,0.0045198146
146,FIN,Finland,0.009142545,0.00968631
147,SUR,Suriname,0.009149564,0.010145147
148,UGA,Uganda,0.0092372345,0.013004628
149,NZL,New Zealand,0.009711825,0.009799159
150,KAZ,Kazakhstan,0.009751264,0.012681463
151,PRY,Paraguay,0.009829907,0.013808326
152,ZAF,South Africa,0.010514199,-0.004153017
153,KHM,Cambodia,0.011022363,0.010109183
154,SWE,Sweden,0.012229418,0.013567266
155,GUY,Guyana,0.012269833,0.013713983
156,SDN,Sudan,0.012360334,0.013863608
157,LAO,Laos,0.012749092,0.01269393
158,SSD,South Sudan,0.013048595,0.015931753
159,MDG,Madagascar,0.014660727,0.013223647
160,ECU,Ecuador,0.015286214,0.016352404
161,TUR,Turkey,0.015471982,0.014561619
162,PHL,Philippines,0.015683714,0.016531331
163,VNM,Vietnam,0.018528331,0.018855548
164,GAB,Gabon,0.018685313,0.017377995
165,JPN,Japan,0.01897614,0.018631937
166,MOZ,Mozambique,0.019015316,0.013030265
167,NGA,Nigeria,0.019976912,0.018433208
168,BOL,Bolivia,0.023098897,0.03697516
169,CMR,Cameroon,0.02326626,0.022738483
170,COG,Republic of the Congo,0.023335533,0.021846905
171,MYS,Malaysia,0.024828117,0.02498981
172,KEN,Kenya,0.02588816,0.02737522
173,THA,Thailand,0.026796037,0.021581437
174,VEN,Venezuela,0.027058255,0.0290767
175,CAF,Central African Republic,0.027966758,0.028880961
176,ZMB,Zambia,0.028573636,0.02711769
177,ARG,Argentina,0.029954847,0.05494379
178,PNG,Papua New Guinea,0.03629462,0.03577643
179,TZA,United Republic of Tanzania,0.0388543,0.040297255
180,MMR,Myanmar,0.04065423,0.03413395
181,MEX,Mexico,0.04229359,0.05426452
182,ETH,Ethiopia,0.042703338,0.04663461
183,PER,Peru,0.049883172,0.066119485
184,AGO,Angola,0.050070427,0.048730377
185,AUS,Australia,0.052957166,-0.007201719
186,COL,Colombia,0.05733253,0.05130405
187,IND,India,0.11177245,0.10522595
188,IDN,Indonesia,0.15698883,0.1497649
189,COD,Democratic Republic of the Congo,0.17161113,0.17414604
190,CAN,Canada,0.18488958,0.18825251
191,CHN,China,0.22238381,0.2294802
192,BRA,Brazil,0.24552122,0.23087266
193,USA,United States of America,0.26817757,0.26123315
194,RUS,Russia,0.3669716,0.36485687
