Country,iso,FaWnet_mean,FaWnet_std,FaWnet_skew,FaWnet_median,FaWnet_q17,FaWnet_q83,FaWnet_min,FaWnet_max,FaWnet_tf_mean,FaWnet_tf_std,FaWnet_tf_skew,FaWnet_tf_median,FaWnet_tf_q17,FaWnet_tf_q83,FaWnet_tf_min,FaWnet_tf_max,FaWnet_mf_mean,FaWnet_mf_std,FaWnet_mf_skew,FaWnet_mf_median,FaWnet_mf_q17,FaWnet_mf_q83,FaWnet_mf_min,FaWnet_mf_max,FbWnet_mean,FbWnet_std,FbWnet_skew,FbWnet_median,FbWnet_q17,FbWnet_q83,FbWnet_min,FbWnet_max,FcWnet_mean,FcWnet_std,FcWnet_skew,FcWnet_median,FcWnet_q17,FcWnet_q83,FcWnet_min,FcWnet_max,FabWnet_mean,FabWnet_std,FabWnet_skew,FabWnet_median,FabWnet_q17,FabWnet_q83,FabWnet_min,FabWnet_max,FabWnet_tf_mean,FabWnet_tf_std,FabWnet_tf_skew,FabWnet_tf_median,FabWnet_tf_q17,FabWnet_tf_q83,FabWnet_tf_min,FabWnet_tf_max,FabWnet_mf_mean,FabWnet_mf_std,FabWnet_mf_skew,FabWnet_mf_median,FabWnet_mf_q17,FabWnet_mf_q83,FabWnet_mf_min,FabWnet_mf_max,FbcWnet_mean,FbcWnet_std,FbcWnet_skew,FbcWnet_median,FbcWnet_q17,FbcWnet_q83,FbcWnet_min,FbcWnet_max,FabcWnet_mean,FabcWnet_std,FabcWnet_skew,FabcWnet_median,FabcWnet_q17,FabcWnet_q83,FabcWnet_min,FabcWnet_max,FabcWnet_tf_mean,FabcWnet_tf_std,FabcWnet_tf_skew,FabcWnet_tf_median,FabcWnet_tf_q17,FabcWnet_tf_q83,FabcWnet_tf_min,FabcWnet_tf_max,FabcWnet_mf_mean,FabcWnet_mf_std,FabcWnet_mf_skew,FabcWnet_mf_median,FabcWnet_mf_q17,FabcWnet_mf_q83,FabcWnet_mf_min,FabcWnet_mf_max
Afghanistan,AFG,-0.8859296616980771,10.44562708069315,-0.9783087817124726,0.5948713828721905,-8.630199774339431,6.503925188503774,-127.00852977903911,78.04076586899174,-2.127417728878176,4.611715869941788,-0.7332979337587773,-1.5699829462922974,-5.9508792731626485,1.6165393484617048,-45.989273062434194,24.163724789741572,-1.6292065548659211,3.5400993529580633,-0.7170171149734086,-1.2024966465732443,-4.570218355047147,1.2553741864778658,-34.755089749096165,18.017598064205373,0.6524149664372421,2.0915583337547674,0.7423922210968018,0.4711734484327736,-1.1792950481543152,2.380719819723142,-11.200671128760547,17.036069575653215,7.645590944871547,16.804343759946793,0.3097559092018435,7.0172868483072675,-8.428994243882961,22.8745388783568,-65.21560791075315,106.54590045539948,-0.23114558395021048,9.823830699325676,-0.610343326016151,0.6813717883788015,-6.980314692380999,6.009299617664077,-119.12232018519165,88.62772801286289,-1.473751934015356,3.1900387059641035,-1.1800199158498472,-0.8680118694238486,-3.9227890122037627,0.774229358122872,-37.59758388085616,17.719027125692897,-0.9755407600031013,2.236850354637552,-1.2603026058276752,-0.5546612679261516,-2.6159868868125837,0.5506087033663483,-27.19757255163006,12.414705457878677,8.220378279834653,18.53260774534986,0.31532623648157604,7.512658420097883,-9.465907674982521,25.008782132064066,-75.88045720745018,122.17881207984531,7.311796488479862,16.823285952493823,1.1045591252743536,4.694066571425192,-6.911092247272248,21.064015978755446,-66.88046850476366,175.75542952913185,6.069190138414716,14.455473582498538,0.37250947990452843,5.425414460521861,-7.460865939889444,18.92999425775603,-56.42914206800715,102.79595805882067,6.567401312426969,15.351959711519282,0.34707115089834395,5.933104775665682,-7.929677897938165,20.345222776226706,-61.316637304005425,108.13604757803279
Angola,AGO,24.427824187433654,37.90044462771663,0.6451883820243628,17.360075815825752,-3.150478460108942,56.134080549371156,-324.40789896857564,350.50970136953816,20.109376794293407,27.38362722406763,1.1810618506114505,14.64158453141085,-1.044605217806243,42.112637520058385,-182.6888455434485,337.79614084621693,21.55233367112614,27.985627322453226,1.2059263290359152,16.043264683762946,-0.30920814177446454,44.090295956957924,-175.38195710895576,346.4409307602789,-13.288503061253317,15.24694576865278,-1.244385682233625,-8.997700789821158,-26.959590216711675,-0.9851454615115468,-126.57392002389301,39.39835184703483,24.4937903687035,14.729283276347076,0.45991919104089557,23.382360885132876,10.993734033163674,37.92935747654588,-24.0544258151095,107.38779023967524,11.146184580952877,34.14677040850072,-0.04468706193154391,6.4209097199187966,-10.265178022957418,36.900786923586054,-345.23295932101274,337.7923438430512,6.824479844299173,24.0057694013041,0.5515206979721041,3.191757233157295,-8.198201573174396,23.751414980595065,-268.4353399505202,313.72211974417417,8.267436721131904,24.29365738259868,0.6780606873738242,4.244546346665764,-6.956550297262903,25.561553881858973,-261.1284515160275,322.36690965823607,10.98044138982199,11.515039015253192,0.7048795247606662,9.431722170586816,1.2545118374992004,21.027065645318086,-41.8374101476507,89.56056761488193,35.34268247485294,40.691059005800575,0.7915212708959115,27.778849815571284,4.663943309565427,68.85982376120552,-285.2215091428246,427.9744120547138,31.020977738199242,30.91017992006842,1.2380700872114418,24.68781589358878,6.824542427832479,56.08240973132728,-196.7200260621779,408.0562969283069,32.46393461503198,31.54670342469004,1.2502136865259146,26.03989331424807,7.554104377097183,58.09668380781855,-189.41313762768516,416.7010868423688
Albania,ALB,0.4184396703196181,1.9977815400002936,0.4634896372986673,0.2790159484779996,-0.6277309679273686,1.5750651953115251,-19.618831032398433,23.07860680016865,0.20407050660508094,1.0935110520145792,-0.011665979561118447,0.17159670677991778,-0.3870435138287724,0.8539307204546425,-15.252902472662429,16.170407309540224,0.23317295681728228,1.094710646122441,0.1472735556666939,0.17139386630291686,-0.35124068634917005,0.8922791520649044,-14.87741608276829,16.575157412127062,0.06873736390800163,0.15809428392261296,0.7182324216501671,0.047852285920108664,-0.0662014411684539,0.20782050349603018,-0.6766691212053328,1.321763934496667,-0.31826550382240776,0.37630166593344905,0.17151840075015046,-0.3325452887510858,-0.6498533721204136,0.021642485210572382,-2.7557819265552004,2.4052151869362515,0.4873156040212742,2.0129990443134878,0.6493470631585073,0.2778382106844447,-0.5484734152654863,1.6747002431254905,-18.686076677651098,24.17143644261498,0.27288097370594144,1.109648325638441,0.3376707925212887,0.17291749591303246,-0.32031617364064763,0.953661901327168,-14.320481379166218,17.26324325883424,0.30198342391814287,1.1162672361277666,0.4840353042160836,0.1778827872801386,-0.2974929164207764,1.0017775873733077,-13.94499498927208,17.66799336142108,-0.2540640821846782,0.47898163459261006,0.33446607077353135,-0.28001962403399205,-0.6782321197320756,0.17079117260971366,-3.01244776407047,3.6684003699993006,0.16305221342829146,2.065558397703616,0.9324267097704864,-0.12006662828486377,-0.9522403818069288,1.4398560428704452,-18.133904730704906,25.46915267601219,-0.05138241688704117,1.1906356838864376,0.8103342957496764,-0.19755394488471653,-0.7991625734464917,0.7568364235327938,-12.948176084720465,18.560959492231454,-0.022279966674839783,1.2087279093437446,0.9011536706864254,-0.17954845458468233,-0.80484242302207,0.8128601209258026,-12.572689694826327,18.965709594818293
United Arab Emirates,ARE,-25.541229766173238,16.851561316516978,-0.9671430490480946,-23.043796768217106,-40.38472385789085,-10.433943913498275,-170.62910299791952,27.44666376362192,-16.773132805502474,12.022706184476549,-1.0168345125827936,-14.949157054165921,-27.34205581823487,-5.878373571034869,-122.51771413915114,20.474524681938725,-12.972454150577942,9.202758459444865,-1.0115834106974266,-11.540467372879444,-21.092544984129024,-4.577182667394843,-91.72934848986951,14.935912620097676,8.964800933083753,5.5217665523945545,0.8041993705688278,8.231040275137957,4.030150408584002,13.884814081757888,-9.758334112304414,46.847037569903314,34.62586462019319,16.218262323685817,0.6232399133466165,32.917080483275356,19.954671943424124,49.31568192268515,-14.30084337026446,156.8362829848963,-16.558333221234196,13.380649351236677,-1.1523125153888287,-14.223997474535164,-28.094665093061217,-4.6129869856266055,-130.43936866881296,28.71710894361163,-7.798828350841416,9.279133609892654,-0.9124513667717573,-6.475048949572701,-15.594927413707381,-0.17149455990120172,-85.39692477357538,39.72390620491002,-3.998149695916884,6.818217609946467,-0.6663788601042263,-3.2119205094743637,-9.610704081568821,1.2137332779489034,-59.44065184506649,34.77282468221755,42.99832134037136,19.80632771011123,0.604523545393997,40.85957132636629,25.107394321838385,60.99368546973352,-19.34123022587021,187.2880176952317,17.284329201717963,15.486643906460479,0.3373180926496117,16.552318460978128,3.5072176702744584,30.71764579636604,-81.7286277967261,134.89352313118113,26.04383407211074,15.78479828106264,0.730373984229492,24.325534979409802,12.07821232444611,39.87999315470963,-40.75337986270908,156.26032623072285,29.84451272703528,15.93641977205292,0.7472228351096207,28.01514664481876,15.600936883653686,44.01302936200998,-24.250651174080886,158.94682371262738
Argentina,ARG,21.89743245365857,115.98654817580795,-0.24644363559263086,11.662129741140422,-41.67845668272111,98.2054304757165,-1574.7434385840556,1307.539520047575,-1.2695933718956556,37.632060000304214,-1.2301334673355877,1.3544188328826183,-23.378419908029247,23.40829007338865,-603.3823952961733,250.00025301097614,-0.11321459432594666,36.38383006247495,-1.0713397436230532,1.6054608888983462,-21.103969961364484,23.757879993884547,-559.614104950431,255.43136312231016,-8.99074916609672,17.336828257043603,-1.1661008949734206,-6.084143196269308,-23.347613128033238,5.820437197974585,-156.9539842278781,53.00265656275758,0.7642060028523903,9.840255724389587,0.95439059965228,-1.1006534588367218,-5.493531609507019,8.16501973394949,-45.70343271694378,80.49631563877816,12.91489784965213,116.31193280123732,-0.42519587335600934,6.800901221305187,-52.26643408782106,87.39177786574628,-1567.7795099931193,1341.7145158366166,-10.256022153064416,41.70283281036225,-1.465330963945084,-2.741037509868705,-37.64707428128638,16.17523311368301,-596.537433651172,279.0039814253078,-9.099643375494704,40.40372744425767,-1.351839912133799,-2.3954355810346954,-35.41047295816694,16.5043334656984,-556.7471709355293,284.8186299390366,-8.495765067320049,18.904878232429102,-0.35668378273957446,-7.018145914779199,-23.16267345711503,5.507945476033934,-154.82028998453976,119.12599495213185,13.32313594745946,116.88867102525197,-0.2714693802679116,5.076257628636624,-51.83467815600498,88.78111277172036,-1519.9276122988106,1361.4788620173154,-9.847784055257085,41.82564101001217,-1.0726983995243462,-4.577637878677881,-37.20755565189614,17.192794213525158,-558.6389069009707,298.76832760600655,-8.691405277687375,40.73165100466927,-0.931934786831096,-4.330406569081254,-35.237339163408066,17.664599217213105,-536.6706383490877,304.5829761197353
Armenia,ARM,0.31301854156511194,1.6488044241679096,-0.20257484839668694,0.35632886553187565,-0.6446809055969535,1.2877903470068792,-17.436898293542377,15.88526522586142,0.1458167236723214,0.1892136683547522,0.9302953398533702,0.12094800831116372,-0.007236862584002656,0.3047236707113531,-1.1750121131283426,2.219831971639194,0.11279062800604614,0.14553723130400603,0.9158758682281466,0.09369892356688186,-0.005598108633113478,0.23511424054669955,-0.8967598022025736,1.6860940022781945,-0.17402178787846018,0.15804870782835886,-1.4401670834516345,-0.13260095809806138,-0.30918704293519195,-0.04208380602594585,-1.5963439388560037,0.21651630509764658,-1.6795023206908068,0.764020208699759,-0.7080065265495679,-1.6108745174051111,-2.344360694679208,-0.9980598910734282,-8.388405336544638,0.583172850823417,0.13883948156224585,1.6479660485099017,-0.2763025297873269,0.19962828897631713,-0.8250417175604982,1.106907154934364,-17.40677005661615,14.880272532948643,-0.02828723824245132,0.21575046196570463,-0.646347809218534,-0.011084652804413005,-0.1891592031074004,0.14019680242494112,-1.7054954877274247,1.4999131246602613,-0.06131333390872656,0.18751907216256233,-1.1302275407797102,-0.027697125706592596,-0.2003934068673408,0.07924444256377172,-1.5229267618742237,1.0730966155090065,-1.848376451242427,0.8468170685208205,-0.7321601732063918,-1.7696630693026747,-2.586898568138311,-1.0919312411517095,-9.753523399372906,0.7096876196627769,-1.5338569942552631,1.7938349727524676,-0.9977575902825814,-1.2947883340153756,-2.75253738545346,-0.3505791138841176,-19.841604011819726,12.256922577221264,-1.7009837140599597,0.8143598281452921,-0.6974362378500168,-1.620261557490347,-2.4125811738145218,-0.9798765960067446,-8.381308417954653,0.9598972569506931,-1.734009809726235,0.817720058441313,-0.7059301824284056,-1.654356997727994,-2.4474032508539674,-1.0097629807069213,-8.69033492176434,0.9086833037537502
Australia,AUS,8.332284873379379,219.7967493401238,0.42839438389686285,-6.048502327506821,-123.8580100825551,143.76468448770177,-2071.051161825685,2609.69347615768,0.4989561969213853,32.28090623449494,0.8648617993911439,-1.6515762183164964,-20.223997151375308,19.370200652479046,-245.51889051641743,294.05851079319666,1.8359353979356365,30.862944437642483,0.8514730965388249,-0.46106655690963105,-16.8576615630633,19.33538957587964,-236.33656281789018,288.0360774881598,-2.4407809155556746,10.40724731651877,-1.491636931767182,-0.5353828312760192,-10.54374262321519,5.691077954545718,-116.52230444175467,43.5678430112737,-38.00884329943673,64.8013955629799,-0.2527150737679999,-35.25448553012869,-98.60565448742857,22.499903605834124,-392.5460301224976,229.2086493075765,5.8993762633689455,219.39776599066965,0.3537502590004969,-4.855516616354676,-127.16624084570357,139.99189650331562,-2129.7867398895733,2590.386808976676,-1.9377045696496769,31.913488379771458,0.39250738546124636,-2.3789930989986074,-21.555333167748824,16.11325850601217,-294.0805318866846,286.9169849295831,-0.6007253686354261,30.754808582579233,0.32656454423279296,-1.0311164841538165,-18.586331691187265,16.32277775046747,-291.6431248210588,277.93549105368044,-40.70843331667542,71.54584711504229,-0.27849116046460193,-37.29928773882533,-107.34953954614735,25.848373971880775,-458.2902024490851,250.9391836609769,-32.45166425783257,224.9699018223733,-0.48043296237096644,-8.752950232438142,-185.57575870178906,104.46857939654609,-2440.307733645018,2206.9192453361197,-40.28874509085119,69.44447110150607,-0.7100695656998388,-32.93983099991386,-101.88329679850399,22.142778087093635,-604.4767176249968,221.40726515264632,-38.95176588983694,69.93147563152326,-0.676449350307428,-31.824698903959096,-101.12677611229333,24.14614135082044,-602.0393105593711,223.19135616279252
Austria,AUT,4.79769111935946,4.849814364913609,0.0983889040945127,4.566703387045218,1.1805081448797488,8.575298009455523,-55.265773748760516,69.5243799796054,3.501396880896205,3.7517404657577442,0.20105936854225165,3.3057430968115895,0.7550164533641017,6.3528412129809215,-41.67126028392776,49.90180118400268,3.0350673957381824,3.5152086644819827,0.2189351795842471,2.8462862479563835,0.608945930979655,5.605737424996619,-40.59252014926974,50.183387994284054,-0.3474181990413947,2.024441851164918,0.953027880925228,-0.6473455396506932,-1.9718330620459616,1.2272612614780334,-12.559778535512924,16.181784899779412,-20.207846962432548,9.112302174700353,-0.7351666809175992,-19.417038270325733,-28.12925429515608,-12.077722575891581,-100.04379926290086,6.239974021793171,4.448052528415775,4.7309516220246985,0.4620505529674892,4.013365598731152,0.9818320287599611,8.112231090182911,-54.8954146277861,71.78833401424225,3.1528176738215903,3.9234809922721205,0.7294098991307183,2.7257171940958953,0.2319700118664447,6.13060464003439,-41.30209596037057,52.16546884143623,2.686488188663567,3.857922235768358,0.8453710381341234,2.1913063582391477,-0.11125421081955489,5.584831320214758,-40.22335582571255,52.447055651717605,-20.482583237214673,9.430001576624797,-0.807869939634689,-19.613117862966064,-28.676163582687348,-12.077695154618766,-109.22278199230648,6.8484499982479985,-15.663696853144996,8.28979038755122,-1.0099540396679378,-14.669444767816398,-22.65873668865818,-8.452068225103435,-99.78093483175704,23.354037670570477,-16.95893170773918,8.477881514869994,-0.9149859465801075,-16.03008027248519,-24.20520676231828,-9.455144195571513,-104.65539176279117,12.08571694092641,-17.4252611928972,8.661269433396662,-0.8968498849671894,-16.493998323635772,-24.83415848662331,-9.753793984409036,-105.46615419101815,12.567099725193312
Azerbaijan,AZE,-0.007091605278099864,3.2864975970100367,-0.8290217067866263,0.36691652829471866,-2.1788361987126463,2.063738684414661,-32.825702734752475,22.372680494101445,-0.1662871723631258,1.0409467233537733,-0.6688809551794163,-0.03694319377880473,-0.9365172792165858,0.5856869433443097,-11.327297801350488,10.9687275675383,-0.10160327704400285,0.9448645988294879,-0.373465729291943,0.005303709534031906,-0.756922706713756,0.5344698657437277,-10.440187766084088,11.5878811271232,-0.3661080164490377,0.45614096500684576,-1.3422100835173296,-0.3300432822966479,-0.7034513459214198,0.016863526733629543,-5.004866195189075,1.5942278798775575,-4.920144551568289,2.487030268544898,-0.45031718889234246,-4.740800208501128,-7.149402879216235,-2.702984082589757,-23.003127132401566,3.561568656447939,-0.3728920479758252,3.3130952027163985,-0.89135711954402,0.059634938576649796,-2.578347751487441,1.6958688600705611,-33.23289558395065,23.41907895324843,-0.532232489005453,1.1394012667062159,-0.9473451472057282,-0.3310944712292707,-1.3951468232045579,0.2858570835279872,-12.02173993516254,11.966150582012153,-0.46754859368633,1.0494022387405915,-0.7436572308185952,-0.2811652212792106,-1.2374334222235728,0.23440446559872288,-11.002996745991753,12.585304141597053,-5.296334260373704,2.663368070275992,-0.5034346439200336,-5.091108400702158,-7.674044029471129,-2.9373855123789228,-24.204348246096984,3.991451513173205,-5.306367972253369,4.4577464215823595,-1.3982749976038429,-4.453517063680319,-8.863768806781277,-1.6353314943190747,-49.44375054278164,12.351234610023878,-5.465708413282997,3.18000794444275,-0.6181207242406954,-5.177321489979663,-8.296098635208816,-2.6285651582334872,-29.45477025090407,6.409999475882551,-5.401024517963873,3.0633055423109146,-0.6252824689612937,-5.118179599903023,-8.12563512211938,-2.676523982598839,-27.965097996457565,6.05766519039529
Burundi,BDI,-1.1992545039826252,1.7267598154305568,-1.6922857030821414,-0.8505352702842353,-2.491760919190559,-0.01804729349665136,-26.078241220181543,10.094729760331616,-0.8069983250642397,1.3520231117731458,-1.608887214343959,-0.5653749198311158,-1.7658332096385663,0.08726516189618667,-21.147334196322937,11.84118082089032,-0.4842937966818437,1.2323117766228817,-1.478288426138566,-0.3230606638765594,-1.294239868821886,0.2822119738659666,-19.747251830077683,12.641855824102173,0.32936860459883116,0.4694246712231673,0.08602873278272852,0.29718101053926504,-0.04017073499083482,0.7293450488874162,-2.912698950779715,3.4561444863067874,6.011595067551916,3.8679367776803626,0.4140640383556122,5.765226802506337,2.428565993633213,9.525297451662547,-6.253757206712024,27.61721513259039,-0.868351105032239,1.7222443382288335,-1.4884872648160723,-0.5643899395413395,-2.126695740471551,0.27937282737890556,-23.251971403220722,11.503934531287719,-0.4768231926778191,1.3750408643215193,-1.2773808606798664,-0.289348244254771,-1.4163638486091439,0.4090791538982481,-19.62775176747365,13.334617244450312,-0.15411866429542287,1.2835509380243304,-1.0000787556941262,-0.08434752846709238,-0.9672398315872549,0.6755047317150418,-18.227669401228397,14.135292247662164,6.2906741945574005,4.016284255230674,0.4509223607177395,6.004727518014382,2.5895212944232933,9.930561968045328,-6.754782888411144,28.894114946325622,5.0767506573155705,3.734886910656355,0.8055815791446026,4.6117138388350165,1.770827096028569,8.353204911378226,-8.00951018438496,33.84563326940801,5.468278569669991,3.7968787634509202,0.6914681184990977,5.070930461146048,2.0455515009802694,8.836433453837563,-7.549953154395742,36.59996182969863,5.790983098052388,3.9702248816164616,0.6472588648141572,5.405612617647025,2.1916731776914635,9.323830420093717,-7.766603410347339,37.40063683291048
