Country,iso,FaWdom_mean,FaWdom_std,FaWdom_skew,FaWdom_median,FaWdom_q17,FaWdom_q83,FaWdom_min,FaWdom_max,FaWdom_tf_mean,FaWdom_tf_std,FaWdom_tf_skew,FaWdom_tf_median,FaWdom_tf_q17,FaWdom_tf_q83,FaWdom_tf_min,FaWdom_tf_max,FaWdom_mf_mean,FaWdom_mf_std,FaWdom_mf_skew,FaWdom_mf_median,FaWdom_mf_q17,FaWdom_mf_q83,FaWdom_mf_min,FaWdom_mf_max,FbWdom_mean,FbWdom_std,FbWdom_skew,FbWdom_median,FbWdom_q17,FbWdom_q83,FbWdom_min,FbWdom_max,FcWdom_mean,FcWdom_std,FcWdom_skew,FcWdom_median,FcWdom_q17,FcWdom_q83,FcWdom_min,FcWdom_max,FabWdom_mean,FabWdom_std,FabWdom_skew,FabWdom_median,FabWdom_q17,FabWdom_q83,FabWdom_min,FabWdom_max,FabWdom_tf_mean,FabWdom_tf_std,FabWdom_tf_skew,FabWdom_tf_median,FabWdom_tf_q17,FabWdom_tf_q83,FabWdom_tf_min,FabWdom_tf_max,FabWdom_mf_mean,FabWdom_mf_std,FabWdom_mf_skew,FabWdom_mf_median,FabWdom_mf_q17,FabWdom_mf_q83,FabWdom_mf_min,FabWdom_mf_max,FbcWdom_mean,FbcWdom_std,FbcWdom_skew,FbcWdom_median,FbcWdom_q17,FbcWdom_q83,FbcWdom_min,FbcWdom_max,FabcWdom_mean,FabcWdom_std,FabcWdom_skew,FabcWdom_median,FabcWdom_q17,FabcWdom_q83,FabcWdom_min,FabcWdom_max,FabcWdom_tf_mean,FabcWdom_tf_std,FabcWdom_tf_skew,FabcWdom_tf_median,FabcWdom_tf_q17,FabcWdom_tf_q83,FabcWdom_tf_min,FabcWdom_tf_max,FabcWdom_mf_mean,FabcWdom_mf_std,FabcWdom_mf_skew,FabcWdom_mf_median,FabcWdom_mf_q17,FabcWdom_mf_q83,FabcWdom_mf_min,FabcWdom_mf_max
Afghanistan,AFG,0.003880854817343679,0.023890306242410692,1.0309371131167278,0.0005807776925645664,-0.00794299533881117,0.01595682623107984,-0.3160236751620809,0.32597511054013717,0.00011143586230420138,0.0006313422903278391,2.0296627270069014,0.0,-0.00015611909875180413,0.0003951667825453958,-0.006049053266764021,0.010550501950422064,0.00011143586230420138,0.0006313422903278391,2.0296627270069014,0.0,-0.00015611909875180413,0.0003951667825453958,-0.006049053266764021,0.010550501950422064,-0.0008155815097145419,0.0024332999266672164,-2.64822350099602,-0.00022969035499996666,-0.0020886460885629157,0.00033864084020824957,-0.04878014842897377,0.022033755800187245,-0.002803918030542527,0.005427340369652389,-0.35169649927112695,-0.002576736558053764,-0.007687241635302398,0.0023513036595730953,-0.037889764271469596,0.02099496218867089,0.0030652733076291373,0.02351437142842916,0.8815336145234406,0.00034096908466026555,-0.008353839904765825,0.014708100400015115,-0.3234829489965313,0.31655024136339255,-0.0007041456474103403,0.0023823840948866692,-2.7146922898947206,-0.0001780352829824362,-0.001896463582862822,0.0004880516425116364,-0.05034656966180442,0.022033755800187245,-0.0007041456474103403,0.0023823840948866692,-2.7146922898947206,-0.0001780352829824362,-0.001896463582862822,0.0004880516425116364,-0.05034656966180442,0.022033755800187245,-0.0036194995402570687,0.007229531464835735,-0.5808180450214997,-0.003190778231448212,-0.00979312991290504,0.0029129629038448256,-0.08666991270044336,0.03901671786949806,0.0002613552770866104,0.02274575294148893,0.19692950563712822,-8.625637207625804e-05,-0.011220892681143972,0.010946172984792417,-0.354640242160831,0.2807862422804153,-0.0035080636779528675,0.00705446833388483,-0.6077910488032003,-0.003060595182813905,-0.009485745343002934,0.0027990416420269667,-0.08823633393327401,0.03901671786949806,-0.0035080636779528675,0.00705446833388483,-0.6077910488032003,-0.003060595182813905,-0.009485745343002934,0.0027990416420269667,-0.08823633393327401,0.03901671786949806
Angola,AGO,0.15524996319112697,0.16253799500348617,0.6057144698555098,0.13121298616930624,0.023837274784481843,0.29196091883460557,-1.1979676371926689,1.5061146108349137,0.12038297765551063,0.11593411918905716,1.098772634797318,0.10034224962796262,0.02580400438267315,0.215125894930962,-0.642843881282395,1.4478760240843978,0.12038297765551063,0.11593411918905716,1.098772634797318,0.10034224962796262,0.02580400438267315,0.215125894930962,-0.642843881282395,1.4478760240843978,-0.07559669425963864,0.06253257429073977,-1.1836454880568774,-0.060753861015614946,-0.13175327236403936,-0.02152882571664368,-0.516273273581518,0.12717050527244533,-0.01281119826121714,0.00808932513808596,-0.5374952441816532,-0.012121460712239695,-0.02010635127090826,-0.005420939674254267,-0.06275501051237896,0.01667710159398102,0.07965326893148833,0.14615343382777998,0.03416826591979768,0.06268007471558151,-0.01789444067882597,0.19482557099442013,-1.4596595926212887,1.3802782447078743,0.044786283395871984,0.10188983461017787,0.5383783402276071,0.03102604709000526,-0.023020107235137283,0.12164559304575134,-0.950903773176158,0.945125522730562,0.044786283395871984,0.10188983461017787,0.5383783402276071,0.03102604709000526,-0.023020107235137283,0.12164559304575134,-0.950903773176158,0.945125522730562,-0.08840789252085576,0.06866644418688092,-1.106975739255172,-0.07408160183378867,-0.14946341375858713,-0.029114555639794062,-0.5663023224694824,0.14384760686642634,0.0668420706702712,0.1436824614246495,-0.12338265304014268,0.05198454159194471,-0.02699035455089265,0.17860268321536685,-1.4998475915022114,1.3335045777200103,0.031975085134654864,0.10002088682539721,0.33462470924772025,0.020661759165991736,-0.03409054409948025,0.1059148818943903,-0.9862789592483439,0.9036943924051415,0.031975085134654864,0.10002088682539721,0.33462470924772025,0.020661759165991736,-0.03409054409948025,0.1059148818943903,-0.9862789592483439,0.9036943924051415
Albania,ALB,5.7252628780174934e-05,0.0003031345038573524,1.2696625029131146,1.3216205581449522e-05,-9.820783414751379e-05,0.00022010956642942215,-0.003259223329884617,0.004685421158531676,3.090931036160762e-05,0.0001658085286689015,0.9868517156111195,8.481452135501262e-06,-5.741010281364449e-05,0.00012396790737969642,-0.0025737396312766176,0.0032932884094865455,3.090931036160762e-05,0.0001658085286689015,0.9868517156111195,8.481452135501262e-06,-5.741010281364449e-05,0.00012396790737969642,-0.0025737396312766176,0.0032932884094865455,4.461520075334572e-08,1.845322469178952e-05,-1.019456787458348,2.766594496077997e-07,-1.1901248429138665e-05,1.2540567601302592e-05,-0.0002499843635113876,0.00015439986260827073,-7.975820530683472e-05,0.00013975518920493756,-0.4647630972668288,-7.254290792356092e-05,-0.00020358192592352615,5.2893845371138024e-05,-0.0012437098123871942,0.0005174351278518965,5.729724398092828e-05,0.00030358866711601194,1.2712411098941874,1.545882864679153e-05,-9.873839181483832e-05,0.00022072292934861786,-0.0032465200205355825,0.004745827595698967,3.0953925562360966e-05,0.00016677642491037567,0.9884939192330238,1.0486747487165197e-05,-5.817533612459851e-05,0.00012503754436899822,-0.002561036321927583,0.0033536948466538364,3.0953925562360966e-05,0.00016677642491037567,0.9884939192330238,1.0486747487165197e-05,-5.817533612459851e-05,0.00012503754436899822,-0.002561036321927583,0.0033536948466538364,-7.971359010608138e-05,0.00014082861213861523,-0.5127883090459862,-7.143787345954906e-05,-0.0002031491535502586,5.2025941204047653e-05,-0.0011113714215962322,0.0005283150672711037,-2.2460961325906427e-05,0.0002893554482647526,-0.2737111562849119,-8.13195447846675e-06,-0.00017340914067681535,0.00012412746110787383,-0.0040723173513608525,0.003789282550651213,-4.880427974447374e-05,0.00017938320596003825,-1.4219784457835705,-1.8791779088341384e-05,-0.00015577604643043298,5.5193270831438295e-05,-0.00326295951499233,0.0023971498016060826,-4.880427974447374e-05,0.00017938320596003825,-1.4219784457835705,-1.8791779088341384e-05,-0.00015577604643043298,5.5193270831438295e-05,-0.00326295951499233,0.0023971498016060826
United Arab Emirates,ARE,0.0005657809851082529,0.004446067042263581,2.8882859996862704,-1.4212087817155537e-07,-0.0005201463317975764,0.0014148516239889967,-0.04029784848280001,0.09066230569640403,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.000788485811466366,0.0012476336307274906,2.1755823545091437,0.00023231511456157496,8.546366842699765e-05,0.0018392031518083697,-0.002130048291959681,0.0111952730924574,-0.44710870082487664,0.24362290218420493,-0.424880359046418,-0.4295038426066533,-0.6699505262224007,-0.22640922057489413,-1.8060090432589113,0.41038605635291153,0.0013542667965746188,0.004648372117016881,2.86966802611891,0.0003401234899769159,-0.0001890623359589889,0.003142154142002027,-0.04012517763548411,0.09958445622247072,0.000788485811466366,0.0012476336307274906,2.1755823545091437,0.00023231511456157496,8.546366842699765e-05,0.0018392031518083697,-0.002130048291959681,0.0111952730924574,0.000788485811466366,0.0012476336307274906,2.1755823545091437,0.00023231511456157496,8.546366842699765e-05,0.0018392031518083697,-0.002130048291959681,0.0111952730924574,-0.4463202150134104,0.24320006734206012,-0.4249059574664423,-0.42880466104223797,-0.6686770526919459,-0.22603700497345225,-1.8057969462529424,0.4103284311084124,-0.4457544340283022,0.24294712883604677,-0.42555015135321167,-0.4280587835215745,-0.6678159716518717,-0.22575333803491293,-1.8061185044079213,0.4023918709332216,-0.4463202150134104,0.24320006734206012,-0.4249059574664423,-0.42880466104223797,-0.6686770526919459,-0.22603700497345225,-1.8057969462529424,0.4103284311084124,-0.4463202150134104,0.24320006734206012,-0.4249059574664423,-0.42880466104223797,-0.6686770526919459,-0.22603700497345225,-1.8057969462529424,0.4103284311084124
Argentina,ARG,0.18247737834578476,0.6967001901175258,0.20795580511900122,0.07618677235760693,-0.16480442372209328,0.6166269156006613,-10.458173228081396,8.706574055152563,0.03463772000903198,0.22121862346248136,-0.6784353568170628,0.019959022293341323,-0.0796072594634816,0.17834840898734655,-3.8432202017218415,1.9228249134973645,0.03153610905901592,0.21460973570278397,-0.6471037296958072,0.018606388730780528,-0.07797233295890227,0.16895623855101843,-3.642553871424125,1.8980846522175994,-0.07136855703706263,0.11553464385464238,-1.7596386192719418,-0.03471795606545293,-0.1657221335772165,0.0174682769310471,-1.147803447269185,0.3937973961695452,-0.1738825755376646,0.16678396127583323,-0.7774674535962639,-0.15375037669123648,-0.321792386619248,-0.022659518499434657,-1.3407172153607785,0.4164539104007273,0.11110882130872214,0.6891503335858246,-0.17103699756053017,0.04275439780259553,-0.23294232683613098,0.5196809632399512,-10.52021714414419,8.780238394520422,-0.03673083702803065,0.24019341350846732,-1.5928459138521345,-0.004460254571493251,-0.17265905239865437,0.10486220884253877,-3.905264117784636,1.9956812338451848,-0.039832447978046706,0.2349688694612762,-1.5768782443968956,-0.006244790258020522,-0.1736840957162194,0.09754559827483231,-3.70459778748692,1.97094097256542,-0.24525113257472725,0.25270936991027815,-1.1333786499706793,-0.2017211355062455,-0.4558392852188015,-0.02902053225569673,-2.2451886728175308,0.697786098455908,-0.06277375422894245,0.6842261953437057,-1.1770521236612261,-0.007186109862617647,-0.4271171688528776,0.3070522516678154,-11.73453810588181,7.850293319382027,-0.21061341256569524,0.3120650143982875,-2.223810115216393,-0.1258135562172907,-0.42788436596532786,0.003365894867072009,-5.119585079522257,1.2033766341010195,-0.21371502351571126,0.30963601246751804,-2.166526113470881,-0.13102781655187318,-0.43170961039763855,0.0021422544061671144,-4.918918749224541,1.1786363728212546
Armenia,ARM,-9.076640116650015e-06,0.00020042433933322137,-0.13943212958276685,-2.7667865068086855e-06,-0.00011863337021623019,9.373766995117253e-05,-0.002899934163869159,0.0029694867739917014,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,,0.0,-0.0,0.0,0.0,0.0,1.0025849801878797e-05,1.9605074810845716e-05,2.185478036187335,3.029063227489597e-06,-9.428876173467179e-08,2.203018208683237e-05,-0.00012859239959151842,0.000244843117306811,0.00010961181710797975,0.0001263553563633939,0.4204701700811391,0.00010445561450935513,-6.6611171519865e-06,0.00022055676187022927,-0.0005149021563112845,0.0010577124094466367,9.492096852287824e-07,0.00020061562735753955,0.06654837978946174,-1.0410680068021127e-07,-0.00010726540186592728,0.00010617848951587406,-0.0027479505118567743,0.0029707964628146863,1.0025849801878797e-05,1.9605074810845716e-05,2.185478036187335,3.029063227489597e-06,-9.428876173467179e-08,2.203018208683237e-05,-0.00012859239959151842,0.000244843117306811,1.0025849801878797e-05,1.9605074810845716e-05,2.185478036187335,3.029063227489597e-06,-9.428876173467179e-08,2.203018208683237e-05,-0.00012859239959151842,0.000244843117306811,0.00011963766690985855,0.00013854260046497032,0.44950035032251434,0.00011345011628827943,-7.294299206788144e-06,0.00024077813379777001,-0.0006434945559028029,0.0012206145515617525,0.00011056102679320851,0.000237264546624004,1.45399402937021,6.359261084190696e-05,-3.433989158519083e-05,0.00027386012887253906,-0.0020447957792541337,0.003816162733480238,0.00011963766690985855,0.00013854260046497032,0.44950035032251434,0.00011345011628827943,-7.294299206788144e-06,0.00024077813379777001,-0.0006434945559028029,0.0012206145515617525,0.00011963766690985855,0.00013854260046497032,0.44950035032251434,0.00011345011628827943,-7.294299206788144e-06,0.00024077813379777001,-0.0006434945559028029,0.0012206145515617525
Australia,AUS,0.10562997300975277,1.3011879073257735,0.5279532998281643,0.009631488550287752,-0.6216154522844344,0.8606079959035488,-11.888883263576508,12.959867765692234,0.04184619681283366,0.18593054854433885,1.1861276822237894,0.01459115413839493,-0.051562083686730056,0.13769578393657453,-1.7570608135669321,2.0085220640591492,0.040130576505035626,0.17985872135868677,1.1164771737233914,0.015376213782035852,-0.04942109521748304,0.1323639110310439,-1.6795306728206216,1.9909409786159715,-0.03290763957230097,0.05939387381956717,-2.0659067210363102,-0.013126933666844707,-0.07718216173968805,0.006002027804899365,-0.7365462947175027,0.2587414386662347,-0.3634990517096528,0.38592418736510825,-0.4097028541147124,-0.346370078109689,-0.7130501893379524,0.014810497498201259,-2.890235790765622,1.0490222001486127,0.07272233343745181,1.2992525942743058,0.4347459798016808,0.00519707616032411,-0.6591358061157565,0.8168532983183688,-12.282183303274735,12.77452993836618,0.00893855724053269,0.18680302839110888,0.5562884377165893,0.000487755755752199,-0.09056137523880434,0.10381531851860372,-2.15036085326516,1.9060238644053202,0.007222936932734662,0.18111352363328717,0.4634813636226606,0.0004743736926671624,-0.08793983663557396,0.09881559014817187,-2.0728307125188494,1.8245011447597357,-0.39640669128195377,0.4233481663573281,-0.44237104489011536,-0.3754165324123593,-0.7787063321851349,0.016029293861352222,-3.1254935054350397,1.2302992601577512,-0.290776718272201,1.331229007413898,-0.5949226643855097,-0.11677140785561525,-1.1435851498729859,0.4654482954290709,-14.546107720354941,11.076712271818032,-0.3545604944691201,0.4195151767581755,-0.883808344255331,-0.3007868145555932,-0.7166095292920723,0.012624554928740511,-4.414285270345367,1.3473989969858668,-0.3562761147769181,0.41878617763865517,-0.8667391592891048,-0.3040488798307449,-0.7168602464833064,0.012443339572739234,-4.336755129599057,1.3375842834033087
Austria,AUT,-0.0024582401205076442,0.00645753512224019,-0.8094714945014893,-0.0014649933237893046,-0.006668213577184712,0.0009832343926856842,-0.1034123122283355,0.08259056850744707,-0.0021323382093146846,0.005322222605965197,-0.9866205043363576,-0.0013547760408671753,-0.005600890667558039,0.0008458239912614095,-0.08786140321770493,0.06252208441605187,-0.0021323382093146846,0.005322222605965197,-0.9866205043363576,-0.0013547760408671753,-0.005600890667558039,0.0008458239912614095,-0.08786140321770493,0.06252208441605187,-0.0011023637874535285,0.002319162564348505,-2.429570959579416,-0.00039569182188261995,-0.0021905794819509386,0.00028661860517160026,-0.026817612653401445,0.00844780247253609,0.016730575475747283,0.016198813997960554,0.4949967172707312,0.015944834372342242,0.00154913278579007,0.03104414955372398,-0.04942952464005436,0.14042613240549334,-0.003560603907961172,0.00721899050483936,-1.172835754050256,-0.0022320448776334094,-0.008597294763521453,0.0008142899752164677,-0.10703016017283454,0.08375266697206293,-0.003234701996768213,0.00617272570202566,-1.3516807350385311,-0.0020741991733150625,-0.0075846300448661,0.0006593083801934575,-0.09630270998074061,0.06368418288066773,-0.003234701996768213,0.00617272570202566,-1.3516807350385311,-0.0020741991733150625,-0.0075846300448661,0.0006593083801934575,-0.09630270998074061,0.06368418288066773,0.01562821168829376,0.015269517368071393,0.541492271855785,0.014737515144854737,0.0014261093428549452,0.0290813509274597,-0.048081788656993384,0.13622605386787584,0.013169971567786112,0.014230951573780973,1.05996973189723,0.011452201742520039,0.0008310723791522568,0.024966231084572924,-0.05629602836422246,0.16460384847121035,0.013495873478979072,0.014093674004173084,0.8916836921461586,0.012022521594469005,0.0010039427525338912,0.025402923440270526,-0.04940210623503097,0.15229984684733802,0.013495873478979072,0.014093674004173084,0.8916836921461586,0.012022521594469005,0.0010039427525338912,0.025402923440270526,-0.04940210623503097,0.15229984684733802
Azerbaijan,AZE,8.79487468015582e-05,0.0013444791313082928,0.31787642642246877,2.7175702215397297e-05,-0.0006859292113457267,0.0008721762618873834,-0.01361680112387814,0.016138050459838942,2.3839644400421495e-05,0.000346497629313129,1.6286305217597021,3.3470460620685686e-07,-0.00013573069953421815,0.00018021596651427953,-0.005146561820659235,0.00785669763999624,2.3839644400421495e-05,0.000346497629313129,1.6286305217597021,3.3470460620685686e-07,-0.00013573069953421815,0.00018021596651427953,-0.005146561820659235,0.00785669763999624,-0.00010638921639002373,0.00031299809512208885,-1.173601640980434,-5.9541592063375246e-05,-0.0003277535075876998,0.00010300693922871635,-0.0037604167193342045,0.0025330294400884427,-0.0012535751453120962,0.0030506568488762945,-0.3025863264010288,-0.0011595243185956298,-0.0040300667205319446,0.001699279623998267,-0.020855816247963076,0.012065448091331827,-1.8440469588465534e-05,0.0013371117622117327,-0.23920862720015051,2.8626489293197953e-07,-0.0007640891429011234,0.0007403879653501404,-0.015518801556772004,0.013567580398974282,-8.254957198960223e-05,0.0004307976802870721,-0.5958591451728998,-2.6892120331274614e-05,-0.00034246703815841295,0.0001631807382582818,-0.005095805440905526,0.005760881529439339,-8.254957198960223e-05,0.0004307976802870721,-0.5958591451728998,-2.6892120331274614e-05,-0.00034246703815841295,0.0001631807382582818,-0.005095805440905526,0.005760881529439339,-0.00135996436170212,0.003312860145617024,-0.3110961773949396,-0.0012544101708012653,-0.004369408373940268,0.0018376696617401888,-0.023426286308827742,0.013258873894304532,-0.0012720156149005617,0.0033688483637018644,-0.6436255665966439,-0.0009408574547823388,-0.004029991893543801,0.0014997116988126715,-0.02906426941982367,0.020696300090678788,-0.0013361247173016982,0.003271285204035561,-0.33412763179107374,-0.0012233982147632429,-0.004288060641480427,0.0017818058381610295,-0.021875360038228934,0.01454722751706066,-0.0013361247173016982,0.003271285204035561,-0.33412763179107374,-0.0012233982147632429,-0.004288060641480427,0.0017818058381610295,-0.021875360038228934,0.01454722751706066
Burundi,BDI,0.0009885653504816945,0.0015953200296612061,0.3186312055794825,0.0007081783554888671,-1.795547593394878e-05,0.002245192597145558,-0.016047709528743886,0.015062647892074543,0.0006270633251791077,0.001157016179417208,-0.03460886376794265,0.0004646159611400632,-3.550757815697306e-05,0.0014978106890466407,-0.014527983422914266,0.01259600035186558,0.0006270633251791077,0.001157016179417208,-0.03460886376794265,0.0004646159611400632,-3.550757815697306e-05,0.0014978106890466407,-0.014527983422914266,0.01259600035186558,-0.0004330495321203761,0.00048187411849282696,-1.8004211147250808,-0.00025975805445726857,-0.000835949530775123,-8.074107617696246e-05,-0.004203875175443172,0.0009184973757575033,-9.845439047665035e-05,7.262184468555663e-05,-0.898767383645011,-8.670460407606866e-05,-0.00016268141717980735,-3.495976934804659e-05,-0.0006142531126082924,0.00012547063440027683,0.0005555158183613182,0.0015561339744999416,-0.11500102456052075,0.00034988561031153067,-0.0004380594430341666,0.0017313440796923973,-0.016916461513669892,0.012341292847104805,0.00019401379305873157,0.0011596152880815642,-0.6586566262254326,0.000126685368276799,-0.0005108591207122501,0.00101518230709082,-0.015136538636054403,0.01202096022039204,0.00019401379305873157,0.0011596152880815642,-0.6586566262254326,0.000126685368276799,-0.0005108591207122501,0.00101518230709082,-0.015136538636054403,0.01202096022039204,-0.0005315039225970265,0.0005220874740860366,-1.6848133789048643,-0.00037078145755195426,-0.0009519451110978013,-0.00013476113733153824,-0.004684630850409709,0.0010235368470569196,0.000457061427884668,0.0015428149515776222,-0.2408113397026845,0.0002757551028886928,-0.0005277743082769615,0.0016086866844916743,-0.017426223138329224,0.012130737874258925,9.555940258208124e-05,0.0011545472046584082,-0.8333503231982579,6.208088431990328e-05,-0.0006126519539615072,0.0008980614451451622,-0.015335640955518088,0.011778154706858166,9.555940258208124e-05,0.0011545472046584082,-0.8333503231982579,6.208088431990328e-05,-0.0006126519539615072,0.0008980614451451622,-0.015335640955518088,0.011778154706858166
