Country,iso,Fabc_tf_mean,Fabc_tf_std,Fabc_tf_skew,Fabc_tf_median,Fabc_tf_q17,Fabc_tf_q83,Fabc_tf_min,Fabc_tf_max
Afghanistan,AFG,-0.0035316129452276934,0.0009497543669807051,-1.4616913177011772,-0.0033758750198039002,-0.004150958325681299,-0.0027427855715110895,-0.00788039360914122,-0.001153526126927842
Angola,AGO,0.011474913922907339,0.028935837521158587,-0.18216696426056417,0.012081372996972074,-0.014612201878954201,0.037550039591002164,-0.11982814681386483,0.1142115638907665
Albania,ALB,-0.0008477499099936082,0.0013500564455314395,-0.16041113253061223,-0.0008156753158173733,-0.0019294723777382409,0.00028847439184803,-0.006752915580519437,0.004032385744353412
United Arab Emirates,ARE,-0.05889055450194767,0.0017650799774629011,-0.17733393648554605,-0.0588163839578541,-0.0611028348049493,-0.0568117649490616,-0.0614394748049493,-0.0562292510083716
Argentina,ARG,-0.06103992138140741,0.049883021166800226,-0.6164667532722331,-0.05514924662720209,-0.10584943473272934,-0.016175384640122692,-0.27147514450221155,0.07516220694476683
Armenia,ARM,-0.001817199092304877,0.00026640265091182905,-0.5536089181623648,-0.0017835863955355201,-0.00207662273422811,-0.0015397204770241802,-0.0025430388342281103,-0.00142222639553552
Australia,AUS,-0.10758517658817977,0.03912592822552568,0.19802609766967794,-0.10940052584473683,-0.1389883588694061,-0.07546082638744993,-0.24470098381336583,0.025059000457635552
Austria,AUT,-0.014529084205555275,0.004185085642657551,-0.11898761813274863,-0.014540813045317433,-0.017866507449979748,-0.011043879265824933,-0.032872043738707835,0.003199119987136123
Azerbaijan,AZE,-0.010343899651129067,0.0012918826168693627,0.36323432962744423,-0.0103213872127596,-0.011507473776068509,-0.009285311962466144,-0.014859785284446663,-0.00391045896930546
Burundi,BDI,0.0001466025209026824,0.0015271069643145007,-0.8107611722316052,0.00019486745023123916,-0.001126186405485049,0.0014654259185336788,-0.009022770156853198,0.004715336676447392
Belgium,BEL,-0.026939340430992196,0.0017310836057664706,0.025028733613865078,-0.0271094642045761,-0.0282980552027178,-0.02528153049096652,-0.03503536530743709,-0.01853961491603165
Benin,BEN,-0.0047080020647082875,0.002604985617108662,0.19795477458403213,-0.004706944911262044,-0.007195995668297411,-0.0022495253957405675,-0.017379874967892228,0.010191066617142282
Burkina Faso,BFA,-0.0061216171442953,0.00155657623251476,0.06359850558869055,-0.006660490003335741,-0.00769403242095061,-0.00437716514180071,-0.00900777529307624,-0.003542245769909888
Bangladesh,BGD,-0.023141819360092592,0.005832181288578763,-0.08395862835034175,-0.022785638284004553,-0.029385303381795763,-0.017440688158937914,-0.04421485303119332,-0.0047190570603651266
Bulgaria,BGR,-0.008822445025565884,0.005146234444334807,1.2635828137675194,-0.0090966081359836,-0.01263763317875117,-0.005372430230053299,-0.025112647884147875,0.023237505867524717
The Bahamas,BHS,-0.0006274128250951756,4.634728226577337e-05,0.26292068749594694,-0.0006155606399498982,-0.000675903556581957,-0.0005829899999999999,-0.0007534854897109398,-0.0004720505277947709
Bosnia and Herzegovina,BIH,-0.004512091347951705,0.0036177150206288524,-0.8585422314762282,-0.004060317916649099,-0.007719247484805839,-0.001536058961443102,-0.01887266052040489,0.005451676249941438
Belarus,BLR,-0.012741853040982746,0.011316812766850575,-1.023813239187256,-0.01196939527775481,-0.020817218828055747,-0.003794242574661635,-0.07017446947417401,0.010835782442102634
Belize,BLZ,-0.0011145326652700213,0.0014086538330168653,0.47140717227092765,-0.0011889655772179463,-0.0023464300000000005,8.001584528390534e-05,-0.005645981896277666,0.0057365968349337975
Bolivia,BOL,0.003939702815375211,0.061946466241850295,-0.1545063128024101,0.007980817951324822,-0.05296059363887237,0.05879285892067061,-0.20790987309771028,0.17528670066892468
Brazil,BRA,-0.2023399765714902,0.3204560230767574,-0.29536899080066353,-0.18498546058793613,-0.5106288874896657,0.10890999592290797,-1.2368851238845802,0.6523753674076262
Brunei,BRN,-0.0023052816352421217,0.0007409894145609852,0.9931482973864787,-0.0024217077937646416,-0.00301751602054567,-0.001699692758478548,-0.0038712050254835935,0.0006039073843273526
Bhutan,BTN,0.0007723835376506356,0.0022866559666900733,-0.19403101668832676,0.0006852325099691709,-0.0013118616376763845,0.0028185834591121298,-0.011189122383777143,0.007922774693851041
Botswana,BWA,-0.003459870858503946,0.002565864488902126,-0.9994033796145821,-0.0022257535112907697,-0.00763835351129077,-0.00147682572923658,-0.008140865756832101,-0.00108130770292037
Central African Republic,CAF,0.026439936339988288,0.0258330057266497,-0.9874930750690302,0.027870505739049915,0.004669956442194261,0.046305395616670804,-0.1338143922469597,0.09931099012863158
Canada,CAN,-0.008829520512132327,0.09862594542987715,-0.017810866269583885,-0.004286062206466185,-0.10517928072312767,0.08430843098595989,-0.2597857512978917,0.2946601735213542
Switzerland,CHE,-0.009325764649013765,0.0022470089457719542,-0.9114716155852833,-0.00944150056300658,-0.010656376992562347,-0.007861455372071757,-0.02389655304962368,0.0018231401880710839
Chile,CHL,-0.01665279152165418,0.012385327672166697,-0.36800040904512354,-0.016031108634981542,-0.026965763933612018,-0.005474496859261979,-0.06217616998589312,0.023120637959087927
China,CHN,-2.6971710263554107,0.1865121145001313,-0.4586103754609505,-2.659395140239127,-2.919061215033936,-2.5145401744144134,-3.2595453436798607,-2.2647002740928666
Ivory Coast,CIV,-0.01626858777485867,0.02488053979625301,-0.9036293198524424,-0.013235722255896882,-0.037020085041062537,0.005524192844221287,-0.1563647209698813,0.05104028627527372
Cameroon,CMR,0.013210220427273578,0.015917855799206994,-0.18247171737071885,0.014584906940396974,-0.0013151030287395229,0.026663987109300853,-0.04326327044110357,0.07505752434780084
Democratic Republic of the Congo,COD,0.033383351410147456,0.08419918959371048,-0.2519722902270293,0.034068370260165015,-0.039633539963371586,0.11117807135508306,-0.32958519946930215,0.28457580060916826
Republic of the Congo,COG,0.018488858667150457,0.015721120175571323,0.3414025807856081,0.01805694385906923,0.0050888110768682465,0.03232605058936585,-0.021433544002355132,0.08545818364817077
Cook Islands,COK,-1.6935476512321646e-05,4.8955113999186635e-06,0.5208956693587368,-1.8e-05,-2.2e-05,-1.139e-05,-2.3e-05,-4.82e-06
