Country,iso,Fab_tf_mean,Fab_tf_std,Fab_tf_skew,Fab_tf_median,Fab_tf_q17,Fab_tf_q83,Fab_tf_min,Fab_tf_max
Afghanistan,AFG,0.0007068633011062384,0.00013583087893878794,0.32042514703050795,0.0006984614092444314,0.0005805374678590787,0.0008278123971517032,0.0003406013633054197,0.0012649845093109608
Albania,ALB,-0.0005204937715840578,9.578199689494887e-05,-0.010123956788543328,-0.0005205549028221667,-0.0006110477086910811,-0.00042686970985762507,-0.000838974008233428,-0.00024972123326027395
Algeria,DZA,0.00010838921783774144,9.837591461143581e-05,-0.1396094349790022,0.00011155861757549506,1.6708356507701415e-05,0.00020412874470766528,-0.000199112728888493,0.0004824874224203183
Angola,AGO,-0.015600961522282934,0.002763988689688671,-0.08570894636349304,-0.015579778768907548,-0.018271048246508347,-0.012912215278689309,-0.023963281137355803,-0.006268308364780428
Argentina,ARG,0.010502675006706201,0.004497275301097783,-0.08875993407955421,0.010540264003855227,0.006292128886941106,0.014959503093048073,-0.0033162982130522742,0.025709328780098916
Armenia,ARM,0.00015216414999999999,2.5517709122933286e-05,0.167546764822807,0.000151603375,0.0001272407,0.0001767053925,7.9287e-05,0.00024492
Australia,AUS,-0.0024979789889428023,0.003002683974985709,0.08027654025531526,-0.00260359474805212,-0.00525339518936027,0.00036874142758921193,-0.011802354936732293,0.00702386700385654
Austria,AUT,-0.003480022177799831,0.0003739644843532117,-0.12948178961840187,-0.00347139847743839,-0.0038347937538904847,-0.003124508038879908,-0.004730607283921719,-0.0024237375874165894
Azerbaijan,AZE,0.000628764336656416,0.00010792948316653826,0.1926961254972547,0.0006243015761930608,0.0005277547359316866,0.0007274596564942249,0.00033318835065783566,0.0010669366358078644
Bangladesh,BGD,-0.00027110559037183643,0.00046124560582176715,0.06208825721316067,-0.00026574110625544184,-0.0007006883887416135,0.00016049926374590262,-0.0017311519860702753,0.0014040479919114114
Belarus,BLR,-0.00379473220408072,0.0008177866831195705,0.06927474777044457,-0.00383520987665236,-0.004597043580175819,-0.0030234446619825865,-0.006334004922093868,-0.0009097292847558254
Belgium,BEL,0.0003369099793925433,0.00011117515072614137,0.04459667250214768,0.00033809350623881446,0.00022826993733151012,0.000435770479888623,-5.128100216268748e-05,0.0006823822319257558
Belize,BLZ,0.000952467254903386,0.00012940006036435504,0.036658184907898954,0.0009489373655046821,0.0008269389252879346,0.0010788941779958563,0.0005752406418359877,0.0013664811534633936
Benin,BEN,0.0028839791096192417,0.00034421332033845054,0.07429069599038111,0.0028833878514746766,0.00254311050791984,0.0032054110664151863,0.0018694054865396174,0.00399375760847415
Bhutan,BTN,-0.0010779544714460219,0.00023019509168773912,0.029423389969049762,-0.00108149338547647,-0.0013060513341088234,-0.0008547339849491818,-0.0018005288311964272,-0.00034755997832941997
Bolivia,BOL,-0.009841448188232826,0.004407110827340408,-0.01287901270578232,-0.009762143863491533,-0.014119679802236834,-0.005652098513681891,-0.0241066047453537,0.004833310487596516
Bosnia and Herzegovina,BIH,-0.0011622455773379428,0.0002658318446010082,0.18416721689062968,-0.0011803926690930723,-0.001424183860926628,-0.0009082464056649066,-0.0022009891438219548,-0.00013656030372124163
Botswana,BWA,0.0017119493725,0.0004023001125701988,0.16855729761031762,0.0017070915000000002,0.0013242074775,0.0020835861125,0.000547533,0.0033644417499999997
Brazil,BRA,0.06796367937740629,0.025883498645219834,0.08913972133571488,0.06772687302600477,0.04276049619855155,0.09177836854725878,-0.012514054421997045,0.15934101389891053
Brunei,BRN,-0.00012027114229786162,4.756620785100495e-05,-0.07851499750036826,-0.0001178840784903094,-0.00016647439068897976,-7.586098993714437e-05,-0.000267580667657733,8.455084152480212e-05
Bulgaria,BGR,-0.0032678482451775465,0.00038056684782875576,-0.06827784464882289,-0.00326693195436728,-0.003617954946099986,-0.0029108537177496077,-0.004797592496891975,-0.002030745992603421
Burkina Faso,BFA,0.00488871931525,0.00022986574042798617,0.011762065330075452,0.00489290525,0.004669179512500001,0.0051013705325,0.00414187325,0.0055866052499999996
Burundi,BDI,-0.00029267446718230585,0.00012660913374542608,0.1545529764934696,-0.00029562667026638976,-0.0004138269253536278,-0.0001740668405401754,-0.0007034110599911809,0.00013569985248732572
Cabo Verde,CPV,1.35734275e-06,4.976425180646476e-07,0.3237385190379668,1.33275e-06,8.568725e-07,1.8319200000000001e-06,2.6400000000000003e-07,3.0267500000000003e-06
Cambodia,KHM,0.0032529408689069127,0.0011062292866721593,0.0826653328313453,0.0032440437873718746,0.002178090888761197,0.004371023841370037,-0.0005887362842226032,0.006448919373673917
Cameroon,CMR,-0.01516698568749388,0.0011764874725361688,0.010731199044408012,-0.015166645435369969,-0.01628677440564392,-0.014015739861111135,-0.01896693874301815,-0.011936404536832809
Canada,CAN,-0.14387013241262964,0.007141974138574853,0.08353218052313278,-0.14431665743158723,-0.15061591476428665,-0.1369454350478251,-0.1643564257282791,-0.12251757564354707
