,climate_zone,iso,CSCC,SLAND,SLAND_corrected,SLAND_dor,ELUC,EFOS,F_ab,F_ac,F_abc,F_ab_cor,F_abc_cor,F_ab_dor,F_abc_dor,SLAND_global,SLAND_domestic,SLAND_out,SLAND_in,SLAND_BTWC,SLAND_corrected_global,SLAND_corrected_domestic,SLAND_corrected_out,SLAND_corrected_in,SLAND_corrected_BTWC,SLAND_dor_global,SLAND_dor_domestic,SLAND_dor_out,SLAND_dor_in,SLAND_dor_BTWC,ELUC_global,ELUC_domestic,ELUC_out,ELUC_in,ELUC_BTWC,EFOS_global,EFOS_domestic,EFOS_out,EFOS_in,EFOS_BTWC,F_ab_global,F_ab_domestic,F_ab_out,F_ab_in,F_ab_BTWC,F_ab_cor_global,F_ab_cor_domestic,F_ab_cor_out,F_ab_cor_in,F_ab_cor_BTWC,F_ab_dor_global,F_ab_dor_domestic,F_ab_dor_out,F_ab_dor_in,F_ab_dor_BTWC,F_ac_global,F_ac_domestic,F_ac_out,F_ac_in,F_ac_BTWC,F_abc_global,F_abc_domestic,F_abc_out,F_abc_in,F_abc_BTWC,F_abc_cor_global,F_abc_cor_domestic,F_abc_cor_out,F_abc_cor_in,F_abc_cor_BTWC,F_abc_dor_global,F_abc_dor_domestic,F_abc_dor_out,F_abc_dor_in,F_abc_dor_BTWC,continent,economic_group
0,1,AGOARGATGBDIBENBFABGDBHSBLZBOLBRABRBBRNCAFCIVCMRCODCOGCOKCOLCOMCRICUBDMADOMECUETHFJIFSMGABGHAGINGMBGNBGNQGRDGTMGUYHNDHTIIDNINDJAMKENKHMKIRKNALAOLBRLCALKAMDGMDVMEXMHLMMRMOZMUSMWIMYSNGANICNIUNRUPANPERPHLPLWPNGPRYRWASENSGPSLBSLESLVSTPSURSWZSYCTGOTHATLSTONTTOTUVTZAUGAURYVCTVENVNMVUTWSMZMB,479.51566614846706,2.455315637441395,1.8654829652809073,1.5593449843181348,-1.0705329374999992,-1.7042415803571904,1.384782699941394,-2.7747745178571903,-0.3194588804158007,0.794950027780908,-0.9092915525762835,0.48881204681813367,-1.2154295335390577,1626.3538743383012,57.68479029917889,1556.3302548879803,1953.1640276081791,-396.83377272019874,1235.6600519427607,43.82735645794878,1182.457984045694,1483.961640752379,-301.503656706685,1032.8801389130274,32.43754471020105,993.8928066112554,1402.8089139089386,-408.916107297683,-709.1004366038227,-13.13926488556225,-680.0948002129588,-529.216558885809,-150.87824132714982,-1128.8568584651075,-150.48370993780355,-966.1280795293244,-4434.499767615749,3468.3716880864245,917.2534377344775,44.545525413616645,876.2354546750204,1417.2322049254467,-540.9967502504263,526.5596153389379,30.68809157238653,502.3631838327351,949.6430045493008,-447.2798207165657,323.7797023092034,19.29827982463879,313.79800639829534,871.1856819443278,-557.3876755460324,-1837.9572950689308,-163.62297482336584,-1646.2228797422836,-4919.249933615136,3273.027053872852,-211.60342073063288,-105.93818452418691,-89.89262485430662,-2972.8011325326725,2882.908507678366,-602.2972431261703,-119.79561836541701,-463.7648956965898,-3440.3903418623595,2976.62544616577,-805.0771561559047,-131.18543011316476,-652.3300731310296,-3518.8485653105968,2866.518492179567,AfricaLatin America and the CaribbeanLatin America and the CaribbeanAfricaAfricaAfricaAsiaLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanAsiaAfricaAfricaAfricaAfricaAfricaOceaniaLatin America and the CaribbeanAfricaLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanAfricaOceaniaOceaniaAfricaAfricaAfricaAfricaAfricaAfricaLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanAsiaAsiaLatin America and the CaribbeanAfricaAsiaOceaniaLatin America and the CaribbeanAsiaAfricaLatin America and the CaribbeanAsiaAfricaAsiaLatin America and the CaribbeanOceaniaAsiaAfricaAfricaAfricaAsiaAfricaLatin America and the CaribbeanOceaniaOceaniaLatin America and the CaribbeanLatin America and the CaribbeanAsiaOceaniaOceaniaLatin America and the CaribbeanAfricaAfricaAsiaOceaniaAfricaLatin America and the CaribbeanAfricaLatin America and the CaribbeanAfricaAfricaAfricaAsiaAsiaOceaniaLatin America and the CaribbeanOceaniaAfricaAfricaLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanAsiaOceaniaOceaniaAfrica,LDCOtherOtherLDCLDCLDCOtherOtherOtherOtherBRICSOtherOtherLDCOtherOtherLDCOtherOtherOECDLDCOECDOtherOtherOtherOtherBRICSOtherOtherOtherOtherLDCLDCLDCOtherOtherOtherOtherOtherLDCOtherBRICSOtherOtherLDCOtherOtherLDCLDCOtherOtherLDCOtherOECDOtherLDCLDCOtherLDCOtherOtherOtherOtherOtherOtherOtherOtherOtherOtherOtherLDCLDCOtherOtherLDCOtherLDCOtherLDCOtherLDCOtherLDCOtherOtherOtherLDCLDCOtherOtherOtherOtherOtherOtherLDC
1,2,AREAUSBHRBWACHLCPVDJIDZAEGYERIIRNIRQISRJORKWTLBYLSOMARMLIMRTNAMNEROMNPAKPSEQATSAUSDNSOMSSDSYRTCDTKMTUNYEMZAFZWE,134.83146134572675,0.20685432070774634,0.15716236466329403,0.20684597777548425,-0.0508238942499995,-1.0629605029091669,0.15603042645774615,-1.1137843971591668,-0.9069300764514215,0.10633847041329447,-0.9566220324958723,0.1560220835254844,-0.9069384193836834,137.01632522376286,0.8646530516369615,126.03327387292711,564.5510440860467,-438.5177702131196,104.10132887707724,0.6569401970606715,95.75670104619677,428.9307410071053,-333.17403996090854,137.01079902582688,0.7870140260693627,131.85134303900168,402.77931564413046,-270.9279726051288,-33.66477045231613,-0.26732534313683837,-32.20152672156168,-152.23369485464346,120.03216813308177,-704.0846015123282,-8.436094737339992,-688.4902064224374,-1280.7814765883722,592.2912701659347,103.35155477144626,0.59732770850012,93.83174715136498,410.429133902937,-316.59738675157206,70.43655842476107,0.38961485392383344,63.55517432463505,275.26243079127516,-211.70725646664008,103.34602857351054,0.5196886829325246,99.64981631743976,249.86890619786033,-150.21908988042057,-737.7493719646445,-8.703420080476832,-720.6917331439994,-1420.5119955159264,699.8202623719271,-600.7330467408825,-7.8387670288398725,-594.6584592710728,-857.8491562783311,263.1906970072582,-633.6480430875671,-8.046479883416156,-624.9350320978023,-993.0158619075729,368.08082980977065,-600.7385729388183,-7.916406054407471,-588.8403901049982,-1018.4096398024382,429.56924969744,AsiaOceaniaAsiaAfricaLatin America and the CaribbeanAfricaAfricaAfricaAfricaAfricaAsiaAsiaAsiaAsiaAsiaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAsiaAsiaAsiaAsiaAsiaAfricaAfricaAfricaAsiaAfricaAsiaAfricaAsiaAfricaAfrica,BRICSOECDOtherOtherOECDOtherLDCOtherBRICSLDCBRICSOtherOECDOtherOtherOtherLDCOtherLDCOtherOtherLDCOtherOtherOtherOtherOtherOtherOtherLDCOtherLDCOtherOtherOtherBRICSLDC
2,3,ALBANDAUTBELBGRBIHCHECYPCZEDEUDNKESPFRAGBRGRCHRVHUNIRLITAJPNKORLBNLIELUXMKDMLTMNENLDNZLPRTROUSRBSVKSVNUSA,25.15215896558901,0.4871875536948298,0.37015203603788116,0.31405306376300346,0.0405862089999993,-2.7107303265479885,0.5277737626948295,-2.6701441175479887,-2.1829565638531587,0.4107382450378815,-2.2999920815101063,0.35463927276300233,-2.3560910537849855,322.70366929551136,9.988832232985636,312.75433910552,95.48673967067135,217.26759943484865,245.18159242929005,7.589246811909475,237.6223582101307,72.54826367312691,165.07409453700382,208.02271170765735,5.695485957663034,202.31081688790223,69.58786687196104,132.7229500159412,26.883524564131893,0.051627364101625765,26.81971386484394,-28.49995733208826,55.319671196932205,-1795.5356540072853,-42.16647877611643,-1752.9552705694286,-198.33084263219004,-1554.6244279372386,349.58719385964355,10.040459597087265,339.5740529703642,66.63454487390808,272.93950809645617,272.0651169934226,7.640874176011103,264.4420720749753,43.78068576303038,220.6613863119449,234.906236271789,5.747113321764659,229.13053075274593,40.96167169587816,188.1688590568678,-1768.6521294431532,-42.1148514120148,-1726.1355567045844,-224.49839278457347,-1501.637163920011,-1445.9484601476415,-32.12601917902915,-1413.3812175990643,-129.3638886235809,-1284.0173289754835,-1523.4705370138622,-34.525604600105325,-1488.5131984944528,-152.21774820410096,-1336.2954502903517,-1560.6294177354957,-36.41936545435177,-1523.824739816682,-155.03680952341736,-1368.7879302932647,EuropeEuropeEuropeEuropeEuropeEuropeEuropeAsiaEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeAsiaAsiaAsiaEuropeEuropeEuropeEuropeEuropeEuropeOceaniaEuropeEuropeEuropeEuropeEuropeNorth America,OtherOtherOECDOECDOtherOtherOECDOtherOECDOECDOECDOECDOECDOECDOECDOtherOECDOECDOECDOECDOECDOtherOtherOECDOtherOtherOtherOECDOECDOECDOtherOtherOECDOECDOECD
3,4,AFGARMAZEBLRBTNCHNESTFINGEOKAZKGZLTULVAMDAMNGNPLPOLPRKSWETJKTURUKRUZB,54.780110438960115,0.39102692943316414,0.29709177292733197,0.3278031172037572,0.0390905295000001,-3.3629563768865744,0.43011745893316383,-3.323865847386574,-2.9328389179534105,0.33618230242733205,-3.0267740744592415,0.3668936467037569,-2.996062730182817,259.0087204905912,15.959688977230893,237.96723359264476,213.7606895159121,24.206544076732655,196.7878787421008,12.125743616910594,180.80112136812653,162.4096384423215,18.39148292580505,217.1304827594606,9.92381388113357,203.95762607645653,154.0394621089771,49.91816396747944,25.89281521805087,2.923664734934244,22.818018870417124,-64.88266632928475,87.70068519970185,-2227.5576505836198,-173.10226734590685,-2046.688293968942,-350.68854699513145,-1695.9997469738105,284.9015357086418,18.88335371216514,260.78525246306157,148.11086807910624,112.6743843839553,222.68069396015167,15.049408351844836,203.6191402385436,96.94410823884255,106.67503199970105,243.0232979775112,12.847478616067814,226.7756449468733,88.88185623891327,137.89378870796006,-2201.664835365569,-170.1786026109726,-2023.870275098525,-410.49135027696735,-1613.3789248215576,-1942.656114874978,-154.2189136337417,-1785.9030415058808,-197.49781161069492,-1588.4052298951858,-2004.8769566234678,-158.05285899406198,-1843.0691537303983,-248.66457247381564,-1594.4045812565826,-1984.5343526061088,-160.25478872983902,-1819.912649022069,-256.7269273865317,-1563.1857216355374,AsiaAsiaAsiaEuropeAsiaAsiaEuropeEuropeAsiaAsiaAsiaEuropeEuropeEuropeAsiaAsiaEuropeAsiaEuropeAsiaAsiaEuropeAsia,LDCOtherOtherOtherOtherBRICSOECDOECDOtherOtherOtherOECDOECDOtherOtherOtherOECDOtherOECDOtherOECDOtherOther
4,5,CANISLNORRUS,-31.938010359761012,0.639111105717419,0.4855794759976759,0.5800490009582129,-0.08936996375,-0.6280754358424481,0.549741141967419,-0.7174453995924481,-0.0783342938750293,0.39620951224767587,-0.23186592359477212,0.4906790372082129,-0.1373963986342353,423.33490939653973,-10.916582907522148,434.25149230406186,-123.0154550049866,557.2669473090484,321.6385095445115,-8.29412689045581,329.9326364349673,-93.46384321374643,423.39647964871375,384.2133066840647,-9.966188166251918,394.1794948503167,-85.62801135672215,479.80750620703884,-59.196945833712704,1.5620117828520257,-60.758957616564736,34.56145016244265,-95.32040777900738,-416.02509383417873,11.538152979808673,-427.5632468139874,293.84342293746147,-721.4066697514488,364.13796356282694,-9.354571124670121,373.492534687497,-88.00673652608346,461.4992712135805,262.4415637107988,-6.732115107603786,269.17367881840255,-58.562570581009794,327.7362493994123,325.01636085035204,-8.404176383399893,333.42053723375193,-50.90626538926293,384.3268026230148,-475.2220396678914,13.100164762660699,-488.3222044305521,325.44320111101,-813.7654055415622,-51.88713027135185,2.18358185513855,-54.0707121264904,202.87501194004534,-256.9457240665357,-153.5835301233799,4.806037872204887,-158.3895679955848,232.31917848146716,-390.70874647705193,-91.00873298382676,3.133976596408779,-94.14270958023553,239.97554367363432,-334.11825325386985,North AmericaEuropeEuropeAsia,OECDOECDOECDBRICS
