,economic_group,iso,CSCC,SLAND,SLAND_corrected,SLAND_dor,ELUC,EFOS,F_ab,F_ac,F_abc,F_ab_cor,F_abc_cor,F_ab_dor,F_abc_dor,SLAND_global,SLAND_domestic,SLAND_out,SLAND_in,SLAND_BTWC,SLAND_corrected_global,SLAND_corrected_domestic,SLAND_corrected_out,SLAND_corrected_in,SLAND_corrected_BTWC,SLAND_dor_global,SLAND_dor_domestic,SLAND_dor_out,SLAND_dor_in,SLAND_dor_BTWC,ELUC_global,ELUC_domestic,ELUC_out,ELUC_in,ELUC_BTWC,EFOS_global,EFOS_domestic,EFOS_out,EFOS_in,EFOS_BTWC,F_ab_global,F_ab_domestic,F_ab_out,F_ab_in,F_ab_BTWC,F_ab_cor_global,F_ab_cor_domestic,F_ab_cor_out,F_ab_cor_in,F_ab_cor_BTWC,F_ab_dor_global,F_ab_dor_domestic,F_ab_dor_out,F_ab_dor_in,F_ab_dor_BTWC,F_ac_global,F_ac_domestic,F_ac_out,F_ac_in,F_ac_BTWC,F_abc_global,F_abc_domestic,F_abc_out,F_abc_in,F_abc_BTWC,F_abc_cor_global,F_abc_cor_domestic,F_abc_cor_out,F_abc_cor_in,F_abc_cor_BTWC,F_abc_dor_global,F_abc_dor_domestic,F_abc_dor_out,F_abc_dor_in,F_abc_dor_BTWC,continent,climate_zone
0,BRICS,AREBRACHNEGYETHINDIRNRUSZAF,296.72581812161656,1.1859826537841933,0.9010778101256924,1.0726716709472386,-0.315399271,-4.62942621187386,0.8705833827841932,-4.944825482873861,-3.7588428290896676,0.5856785391256925,-4.043747672748168,0.7572723999472385,-3.8721538119266223,785.5721091280598,43.960140146529014,741.6119689815307,1200.3594988862983,-458.7475299047676,596.8566180376354,33.39973539213398,563.4568826455014,912.0009514210426,-348.5440687755411,710.517092521723,26.001492335435344,684.5156001862878,862.133577495752,-177.61797730946407,-208.91441350035768,0.6673262650571995,-209.58173976541488,-336.2788336308169,126.69709386540204,-3066.442921159479,-304.3761421095356,-2762.0667790499433,-2532.8262049561,-229.24057409384343,576.657695627702,44.62746641158621,532.0302292161158,859.9252386767228,-327.89500946060696,387.9422045372778,34.06706165719118,353.8751428800866,572.564936131811,-218.6897932517244,501.6026790213653,26.668818600492546,474.93386042087275,524.3654869153245,-49.43162649445171,-3275.3573346598364,-303.70881584447835,-2971.6485188153583,-2841.5890933538453,-130.05942546151294,-2489.7852255317766,-259.74867569794935,-2230.0365498338274,-1645.3849979827642,-584.6515518510636,-2678.5007166222013,-270.30908045234435,-2408.191636169857,-1932.7453060681555,-475.44633010170094,-2564.8402421381134,-277.70732350904296,-2287.1329186290704,-1980.945312729317,-306.18760589975386,AsiaLatin America and the CaribbeanAsiaAfricaAfricaAsiaAsiaAsiaAfrica,214211252
1,LDC,AFGAGOBDIBENBFACAFCODCOMDJIERIGINGMBGNBHTIKHMLAOLBRLSOMDGMLIMMRMOZMWINERRWASENSLESSDSTPSWZTCDTGOTLSTZAUGAZMBZWE,67.87593501224863,0.6221971369763987,0.4727286962117617,0.3914108431888053,-0.3244053179999996,-0.052546408157948594,0.2977918189763984,-0.3769517261579485,0.2452454108184477,0.14832337821176253,0.09577697005381318,0.06700552518880504,0.014459117030855449,412.13142167670395,2.7175968399112755,399.63767140386864,281.9201185032147,117.71755290065391,313.1264000729696,2.064757188056933,303.6339837208563,214.19534442657772,89.4386392942786,259.2630175815141,1.7863158253041598,252.62842943329872,201.37429440933636,51.254135023962355,-214.87984589021747,-1.7533109448702224,-211.55166868205444,-75.01771291657376,-136.5339557654807,-34.80573054928919,-0.12522372171942878,-34.2763366601559,-648.8838963646766,614.6075597045208,197.25157578648603,0.9642858950410502,188.08600272181368,205.9518530995217,-17.86585037770804,98.24655418275236,0.311446243186712,92.08231503880211,138.4554272258436,-46.37311218704151,44.38317169129616,0.03300488043393627,41.0767607512438,126.0159144467731,-84.9391536955293,-249.68557643950686,-1.8785346665896518,-245.82800534221056,-717.6073457006034,471.7793403583929,162.44584523719547,0.8390621733216187,153.80966606165654,-436.63777440873037,590.4474404703869,63.440823633462685,0.18622252146728133,57.80597837864586,-504.13420154979144,561.9401799284373,9.577441142006318,-0.09221884128549353,6.800424091087336,-516.5738418441512,523.3742659352384,AsiaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaLatin America and the CaribbeanAsiaAsiaAfricaAfricaAfricaAfricaAsiaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAfricaAsiaAfricaAfricaAfricaAfrica,4111111122111111121211121112112111112
2,OECD,AUSAUTBELCANCHECHLCOLCRICZEDEUDNKESPESTFINFRAGBRGRCHUNIRLISLISRITAJPNKORLTULUXLVAMEXNLDNORNZLPOLPRTSVKSVNSWETURUSA,40.27682264769349,1.0156443874712389,0.7716593641643273,0.7567105384087416,-0.023354746000000197,-3.341032439259509,0.9922896414712385,-3.3643871852595097,-2.3487427977882707,0.7483046181643277,-2.5927278210951807,0.7333557924087408,-2.607676646850768,672.7433163074238,10.159620643630523,662.5836956637934,158.7412243708941,503.84247129289923,511.13232752668404,7.719007265460548,503.4133202612235,120.60732454761856,382.8059957136049,501.2305127401583,5.523434251378883,495.7070784887794,115.02980550791412,380.67727298086527,-15.469734751035194,0.1361768030811918,-15.605911554116382,-45.6912459449094,30.085334390793015,-2213.0356557912583,-43.52422168775004,-2169.511434103508,-341.59055016383843,-1827.9208839396695,657.2735815563885,10.295797446711717,646.9777841096768,112.48593118399654,534.4918529256803,495.66259277564916,7.855184068541742,487.80740870710736,74.48753063702324,413.31987807008414,485.7607779891227,5.659611054460074,480.1011669346626,69.13641153821867,410.96475539644393,-2228.5053905422933,-43.38804488466886,-2185.1173456576244,-383.5468503155179,-1801.5704953421066,-1555.7620742348693,-33.22842424103832,-1522.5336499938312,-225.36967005602438,-1297.1639799378067,-1717.3730630156083,-35.669037619208304,-1681.7040253964,-263.3680713550485,-1418.3359540413514,-1727.274877802135,-37.86461063328997,-1689.4102671688452,-268.7192661200032,-1420.6910010488418,OceaniaEuropeEuropeNorth AmericaEuropeLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeEuropeAsiaEuropeAsiaAsiaEuropeEuropeEuropeLatin America and the CaribbeanEuropeEuropeOceaniaEuropeEuropeEuropeEuropeEuropeAsiaNorth America,23353211333344333335233343413534333443
3,Other,ALBANDARGARMATGAZEBGDBGRBHRBHSBIHBLRBLZBOLBRBBRNBTNBWACIVCMRCOGCOKCPVCUBCYPDMADOMDZAECUFJIFSMGABGEOGHAGNQGRDGTMGUYHNDHRVIDNIRQJAMJORKAZKENKGZKIRKNAKWTLBNLBYLCALIELKAMARMDAMDVMHLMKDMLTMNEMNGMRTMUSMYSNAMNGANICNIUNPLNRUOMNPAKPANPERPHLPLWPNGPRKPRYPSEQATROUSAUSDNSGPSLBSLVSOMSRBSURSYCSYRTHATJKTKMTONTTOTUNTUVUKRURYUZBVCTVENVNMVUTWSMYEM,257.46281075742326,1.355671368762723,1.0300027444053088,0.7673030914738072,-0.4678907219999996,-1.4459591632520497,0.8877806467627222,-1.9138498852520496,-0.5581785164893304,0.5621120224053092,-0.8838471408467404,0.29941236947380584,-1.1465467937782445,897.9706516325189,16.744024023439426,863.5032577139413,1062.9262041154154,-199.42294640147412,682.2540158984511,12.721660347722246,656.066614477534,807.5828202659474,-151.5162057884133,508.2468162466416,5.566427996696711,493.3409793565668,765.0498697642827,-271.70889040771584,-309.9218189660585,-7.919478470079362,-286.67823181423853,-283.2836347470828,-3.394597067155728,-957.7755509024936,-14.624810298353118,-915.9705474905128,-2447.1565594093663,1531.1860119188534,588.0488326664595,8.824545553360059,576.8250258997019,776.0369922950736,-199.2119663953717,372.33219693239266,4.802181877642883,369.38838266329543,521.5597647667612,-152.1713821034658,198.32499728058198,-2.353050473382658,206.66274754232714,480.47403778740033,-273.8112902450732,-1267.6973698685524,-22.54428876843248,-1202.6487793047515,-2706.565181711626,1503.9164024068746,-369.72671823603605,-5.800264744993056,-339.1455215908126,-1647.2445346577151,1308.0990130669027,-585.4433539701009,-9.822628420710227,-546.5821648272172,-1901.7217669933864,1355.1396021661692,-759.4505536219121,-16.977860771735774,-709.307799948186,-1942.8079776558784,1233.5001777076923,EuropeEuropeLatin America and the CaribbeanAsiaLatin America and the CaribbeanAsiaAsiaEuropeAsiaLatin America and the CaribbeanEuropeEuropeLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanAsiaAsiaAfricaAfricaAfricaAfricaOceaniaAfricaLatin America and the CaribbeanAsiaLatin America and the CaribbeanLatin America and the CaribbeanAfricaLatin America and the CaribbeanOceaniaOceaniaAfricaAsiaAfricaAfricaLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanLatin America and the CaribbeanEuropeAsiaAsiaLatin America and the CaribbeanAsiaAsiaAfricaAsiaOceaniaLatin America and the CaribbeanAsiaAsiaAfricaLatin America and the CaribbeanEuropeAsiaAfricaEuropeAsiaOceaniaEuropeEuropeEuropeAsiaAfricaAfricaAsiaAfricaAfricaLatin America and the CaribbeanOceaniaAsiaOceaniaAsiaAsiaLatin America and the CaribbeanLatin America and the CaribbeanAsiaOceaniaOceaniaAsiaLatin America and the CaribbeanAsiaAsiaEuropeAsiaAfricaAsiaOceaniaLatin America and the CaribbeanAfricaEuropeLatin America and the CaribbeanAfricaAsiaAsiaAsiaAsiaOceaniaLatin America and the CaribbeanAfricaOceaniaEuropeLatin America and the CaribbeanAsiaLatin America and the CaribbeanLatin America and the CaribbeanAsiaOceaniaOceaniaAsia,33141413213411114211112131121111411111131212414112321312411333421121114122111114122322111231121421121414111112
