Country,iso,FaWout_mean,FaWout_std,FaWout_skew,FaWout_median,FaWout_q17,FaWout_q83,FaWout_min,FaWout_max,FaWout_tf_mean,FaWout_tf_std,FaWout_tf_skew,FaWout_tf_median,FaWout_tf_q17,FaWout_tf_q83,FaWout_tf_min,FaWout_tf_max,FaWout_mf_mean,FaWout_mf_std,FaWout_mf_skew,FaWout_mf_median,FaWout_mf_q17,FaWout_mf_q83,FaWout_mf_min,FaWout_mf_max,FbWout_mean,FbWout_std,FbWout_skew,FbWout_median,FbWout_q17,FbWout_q83,FbWout_min,FbWout_max,FcWout_mean,FcWout_std,FcWout_skew,FcWout_median,FcWout_q17,FcWout_q83,FcWout_min,FcWout_max,FabWout_mean,FabWout_std,FabWout_skew,FabWout_median,FabWout_q17,FabWout_q83,FabWout_min,FabWout_max,FabWout_tf_mean,FabWout_tf_std,FabWout_tf_skew,FabWout_tf_median,FabWout_tf_q17,FabWout_tf_q83,FabWout_tf_min,FabWout_tf_max,FabWout_mf_mean,FabWout_mf_std,FabWout_mf_skew,FabWout_mf_median,FabWout_mf_q17,FabWout_mf_q83,FabWout_mf_min,FabWout_mf_max,FbcWout_mean,FbcWout_std,FbcWout_skew,FbcWout_median,FbcWout_q17,FbcWout_q83,FbcWout_min,FbcWout_max,FabcWout_mean,FabcWout_std,FabcWout_skew,FabcWout_median,FabcWout_q17,FabcWout_q83,FabcWout_min,FabcWout_max,FabcWout_tf_mean,FabcWout_tf_std,FabcWout_tf_skew,FabcWout_tf_median,FabcWout_tf_q17,FabcWout_tf_q83,FabcWout_tf_min,FabcWout_tf_max,FabcWout_mf_mean,FabcWout_mf_std,FabcWout_mf_skew,FabcWout_mf_median,FabcWout_mf_q17,FabcWout_mf_q83,FabcWout_mf_min,FabcWout_mf_max
Afghanistan,AFG,2.399822778593666,8.755301245528887,0.8005981687003272,0.7554586863409787,-2.228653412658407,7.652107006833369,-62.8133708369305,66.54172408219343,0.06863326668308974,0.22492658560877796,1.529869713155677,0.004044981856916978,-0.028177622182715027,0.20049295945240064,-1.4077244739163963,2.033370921802547,0.06863326668308974,0.22492658560877796,1.529869713155677,0.004044981856916978,-0.028177622182715027,0.20049295945240064,-1.4077244739163963,2.033370921802547,-0.5177688491266099,0.8091108817768655,-3.0296962823811606,-0.25781708060644803,-0.9784440722169638,0.003906358171056515,-7.458966820108161,2.7693892028853346,-1.7794757891096034,1.4356515654100996,-0.4420946835310502,-1.7002244538502187,-3.093299973731152,-0.4200499892169993,-8.550606923661807,2.689099729471682,1.8820539294670562,8.708897159925314,0.6535455232349072,0.4502333650881424,-2.6218446350362044,6.934265263061865,-64.96858760266089,66.2695466417662,-0.44913558244352014,0.8163381461219587,-2.94908878648145,-0.2042238664883423,-0.9085722799064646,0.04240709447021488,-7.5463706161428785,2.747351509979803,-0.44913558244352014,0.8163381461219587,-2.94908878648145,-0.2042238664883423,-0.9085722799064646,0.04240709447021488,-7.5463706161428785,2.747351509979803,-2.297244638236213,1.9700805493365907,-0.8120570851250782,-2.097847866469057,-3.9685234634758353,-0.5239791779449599,-12.960252181870443,4.838611149959866,0.10257814035745273,8.578946220799905,0.12296576585157283,-0.10461346262050467,-4.518906093987056,4.780189398640881,-69.81827274398603,58.784642495763656,-2.2286113715531237,1.9351085845006182,-0.8714549813634208,-2.0019214758949433,-3.8513322736829108,-0.5092536692968914,-12.960252181870443,4.816573457054334,-2.2286113715531237,1.9351085845006182,-0.8714549813634208,-2.0019214758949433,-3.8513322736829108,-0.5092536692968914,-12.960252181870443,4.816573457054334
Angola,AGO,34.63245494859838,41.55964491711288,0.9534681407309443,26.612802169604308,1.5756201428854213,69.23049794555676,-310.34001829250764,337.1029255192009,26.755990420182567,30.26584866615044,1.2237167699629763,21.036723157677955,2.1915451848194905,51.47363221397561,-135.8783171518972,251.08879978071477,26.755990420182567,30.26584866615044,1.2237167699629763,21.036723157677955,2.1915451848194905,51.47363221397561,-135.8783171518972,251.08879978071477,-16.612659435763163,16.65391276047995,-1.1442406233907054,-12.606903643612071,-31.121063939077462,-2.7831912455691405,-116.55953933558537,38.99132919422283,-2.80103599843482,2.28143399806902,-0.4807983405339533,-2.6632128045043304,-4.8581707235286435,-0.6711936644433155,-15.86838253576642,4.4348931401107246,18.019795512835216,35.24253000807664,0.48062502471965424,11.695964595586695,-5.144853388095432,45.20037001615865,-341.42128143837544,320.56555202470355,10.143330984419402,24.68364017198714,0.7815561874611584,5.6028316234428885,-5.674647118153147,27.797376097262,-216.68275870235445,192.90462358730755,10.143330984419402,24.68364017198714,0.7815561874611584,5.6028316234428885,-5.674647118153147,27.797376097262,-216.68275870235445,192.90462358730755,-19.413695434197987,18.511313280376477,-1.037456947527796,-15.559503508737844,-35.523855283777834,-3.627310189892349,-128.16639556205277,43.04136701782623,15.218759514400395,34.36007903925442,0.31230837339615,9.59069789015679,-6.507197320111304,41.268738057185644,-350.97490127369673,311.2298641825616,7.342294985984582,24.00453224165953,0.5409861058204919,3.5689504965707686,-7.839602057518099,24.1249488397908,-224.60754008722395,181.90862360748014,7.342294985984582,24.00453224165953,0.5409861058204919,3.5689504965707686,-7.839602057518099,24.1249488397908,-224.60754008722395,181.90862360748014
Albania,ALB,0.6081645301667223,2.0509171942545965,0.8810545608679874,0.2938582715315844,-0.475744476127776,1.8670677767790047,-11.641056181893617,19.17176397543807,0.33153065314447344,1.1378047684978212,0.5105182353015504,0.19117103818075976,-0.27689146142391985,1.0472965057223562,-9.192695502188233,9.854086071550709,0.33153065314447344,1.1378047684978212,0.5105182353015504,0.19117103818075976,-0.27689146142391985,1.0472965057223562,-9.192695502188233,9.854086071550709,0.0028394409505536162,0.12424772417966287,-0.9149172106978527,0.004952354154030503,-0.08808586049728125,0.10447680886246209,-1.203730176512133,0.5166499449571046,-0.8675613944316017,0.6983208225836554,-0.4304468533751064,-0.8306091262156599,-1.501774684895509,-0.2097229465635495,-4.730854851251277,1.461512124586143,0.611003971117276,2.056178465407029,0.8823528586689973,0.2921669082514427,-0.4749203203585208,1.863879750959412,-11.31073940558542,18.87818451915878,0.33437009409502705,1.1463236079034724,0.5044094840154134,0.18898744680902685,-0.27747160474932697,1.0564242873255896,-8.94549327318894,9.89075775273936,0.33437009409502705,1.1463236079034724,0.5044094840154134,0.18898744680902685,-0.27747160474932697,1.0564242873255896,-8.94549327318894,9.89075775273936,-0.8647219534810482,0.705292645164357,-0.501647562537382,-0.8160750872456198,-1.503194338038429,-0.20495424266301643,-4.278407004231135,1.3277469200007275,-0.2565574233143258,1.9983068784309517,-0.27272543842506686,-0.14381268302638447,-1.3883679141227483,0.8670042288616252,-13.918914235723536,15.766801261330258,-0.5331913003365747,1.190012171796484,-1.3922454814543674,-0.3180138312097323,-1.2909860318538096,0.18869050705575122,-11.47055355601815,7.223625997195418,-0.5331913003365747,1.190012171796484,-1.3922454814543674,-0.3180138312097323,-1.2909860318538096,0.18869050705575122,-11.47055355601815,7.223625997195418
United Arab Emirates,ARE,0.043332864060283166,0.4303940238859975,3.90571594231152,1.0718598282668629e-05,-0.04598915617483937,0.1015224426452801,-4.198526482825916,9.346991776667851,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.06591273068974315,0.12103859114015647,2.460565988974407,0.018742172906574532,0.0037608159303176686,0.1275525596373337,-0.25988106932554084,0.9198449891248015,-36.81995594475812,29.635769138553638,-0.3953956993329223,-35.521870425129215,-64.01653283503771,-8.734144429565822,-194.67405904317988,58.05528290444776,0.10924559475002632,0.4544435926750065,3.9562904452375247,0.02440480448735665,-0.019631026013736865,0.2680481066243595,-4.161965916610299,10.053583904923789,0.06591273068974315,0.12103859114015647,2.460565988974407,0.018742172906574532,0.0037608159303176686,0.1275525596373337,-0.25988106932554084,0.9198449891248015,0.06591273068974315,0.12103859114015647,2.460565988974407,0.018742172906574532,0.0037608159303176686,0.1275525596373337,-0.25988106932554084,0.9198449891248015,-36.754043214068375,29.583490793662236,-0.3954966768981713,-35.48333692124194,-63.96122936929388,-8.702790774013828,-194.59364529017256,58.02113739807132,-36.71071035000809,29.554420827174543,-0.39590384866608536,-35.40877457511585,-63.86325022868908,-8.653426353143338,-194.5879700837044,58.022631267887284,-36.754043214068375,29.583490793662236,-0.3954966768981713,-35.48333692124194,-63.96122936929388,-8.702790774013828,-194.59364529017256,58.02113739807132,-36.754043214068375,29.583490793662236,-0.3954966768981713,-35.48333692124194,-63.96122936929388,-8.702790774013828,-194.59364529017256,58.02113739807132
Argentina,ARG,32.69983300617839,115.6513163878338,0.1752106138220183,17.244052668745105,-30.100379616954516,109.46342922134768,-1197.3322596631363,1154.785695972256,6.131378113226933,36.51027120079758,-0.482216666493054,4.841266404330104,-14.60872927199429,32.732737128794874,-280.00975651312126,274.86967726928765,5.558494250669293,35.46998622099748,-0.4588627192732067,4.491094265207813,-14.313437104255895,30.82970161929988,-270.12357282299683,271.3330330403766,-13.033129076047784,19.058408326311483,-1.4523035517058078,-7.7513748004898035,-29.772113048795042,3.2162246532898244,-151.3338400840452,42.61593214470917,-31.698915458929743,25.404102305207577,-0.394866333457238,-30.519090014802686,-55.06125099594296,-7.684293945345601,-165.7718260364164,48.58445039317079,19.666703930130605,114.95633439889109,-0.1256270659546005,10.31063611195179,-44.674743700748,94.2143311427611,-1335.2717507914967,1168.1087104162207,-6.9017509628208495,39.785670684791434,-1.1381551571554978,-1.1181850048352613,-32.63634501590222,19.184121310774824,-383.6319858135595,247.57746270734762,-7.474634825378491,38.959274759732075,-1.1360092727096267,-1.4845961462507207,-32.91332934175665,17.745510611739206,-373.74580212343506,247.37656975013866,-44.732044534977526,39.09953703241123,-0.8486075993862358,-39.69019673073785,-78.59327128385284,-9.84136008044009,-289.09672160156447,85.45912792265165,-12.032211528799134,114.4054075108846,-0.8970539257734828,-2.3480609652781688,-80.80571747568227,55.57552227873531,-1482.002429422522,1060.0244345170813,-38.600666421750596,50.16107928073694,-1.7228100512479136,-25.690612994044848,-77.33538295784054,-0.5525823065721197,-471.1369961023656,139.4931868082083,-39.17355028430823,49.73260858855189,-1.688310829922132,-26.650421436892877,-77.86427602471821,-1.0093207986722008,-461.25081241224115,139.29229385099933
Armenia,ARM,0.08133137679059226,1.6126972160501654,0.1946945543790786,0.027752145165661546,-0.8329983105581341,1.066332870817006,-17.163406460048122,13.473280231171817,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.09590964852337232,0.15201852207547545,-2.1521988700721724,-0.03156952634736539,-0.1990935035410625,-0.0024596073277032135,-1.1089338340737063,0.32835496896768224,-1.0529562258808325,0.856860255845315,-0.47527971727537155,-1.001941747492356,-1.8307674519595605,-0.24640295437894638,-5.037705046214982,1.5354986210547563,-0.014578271732780061,1.615742781227677,-0.010210522262850337,-0.004729420556360249,-0.9556060389633366,0.9587376767085718,-17.35015697289838,13.123063117711059,-0.09590964852337232,0.15201852207547545,-2.1521988700721724,-0.03156952634736539,-0.1990935035410625,-0.0024596073277032135,-1.1089338340737063,0.32835496896768224,-0.09590964852337232,0.15201852207547545,-2.1521988700721724,-0.03156952634736539,-0.1990935035410625,-0.0024596073277032135,-1.1089338340737063,0.32835496896768224,-1.148865874404205,0.9422377323257991,-0.5081903906170457,-1.0881208308929056,-1.99364792843707,-0.2640755271470835,-6.023023905582605,1.6725547112100858,-1.0675344976136125,1.827921800098893,-1.3122545933504823,-0.7209264721838287,-2.4174385022055724,0.11476821264001717,-21.405037091063342,10.135727268504064,-1.148865874404205,0.9422377323257991,-0.5081903906170457,-1.0881208308929056,-1.99364792843707,-0.2640755271470835,-6.023023905582605,1.6725547112100858,-1.148865874404205,0.9422377323257991,-0.5081903906170457,-1.0881208308929056,-1.99364792843707,-0.2640755271470835,-6.023023905582605,1.6725547112100858
Australia,AUS,19.712992381577177,219.74201418152154,0.3985761697694097,2.1024440060614698,-113.14546080177615,151.11852740010298,-1342.988510612839,1706.893068033741,7.741220459370605,31.312534399615707,1.0514631125760532,3.5015137458399184,-8.902349486034215,24.357201382843478,-197.62382530346989,288.64955041517493,7.439843758957573,30.315691225092184,0.9998570010047946,3.579032306623447,-8.411010093286245,23.446845919770354,-188.90369286849844,277.4307146665693,-6.240868509298004,9.468932582423356,-2.05450440185264,-3.095405387307564,-13.64966724533874,0.465787477461963,-96.17038896916985,24.026447825153465,-68.9482109041265,55.51563347519922,-0.39720673454991356,-66.5931225337851,-119.91716880029709,-16.26311557855415,-350.9392643371829,106.05560914842403,13.472123872279171,219.56059722451403,0.3191720791269399,1.1372110797003048,-119.97723249334742,143.43670828748986,-1389.8418096703722,1678.312397378483,1.5003519500726008,31.56078057779961,0.4558734965850362,0.09233503640101581,-16.550786115324126,18.11143214173272,-228.57470850398997,267.40451652971467,1.198975249659568,30.612678041966927,0.38626445821467664,0.048474672284856926,-16.048258837518414,17.28996854940505,-219.85457606901855,256.185680781109,-75.18907941342451,61.07478777865644,-0.44157359641906596,-72.36767798032162,-131.4964394068441,-17.452090004273224,-372.1842982226432,111.75149690199956,-55.476087031847335,223.59649096814044,-0.5185720752078928,-26.876068591517768,-206.21983857828693,75.43523469598037,-1612.6510711322555,1460.8480327784284,-67.44785895405391,62.66634797821645,-0.9451436575218575,-59.53347404026272,-122.42293151021495,-10.84723578471758,-473.0835078435914,136.458491176489,-67.74923565446694,62.37447431723355,-0.9250487571518604,-59.61048183785836,-122.33779728516028,-11.36724356190461,-464.36337540862,137.31850501082354
Austria,AUT,1.6259619767997997,3.9440981650918325,0.3799127171097253,1.0797997409020825,-0.5065298879792995,4.409625658289175,-37.422144276825456,43.5893239908095,1.4204657228915587,3.2666042548917056,0.49271194763863646,0.9953172062410984,-0.43010219799339644,3.704590723335807,-28.32902722172671,31.264438078551883,1.4204657228915587,3.2666042548917056,0.49271194763863646,0.9953172062410984,-0.43010219799339644,3.704590723335807,-28.32902722172671,31.264438078551883,0.759319312055577,1.4197875554256034,2.2146101093654096,0.3029039511752576,-0.16101813131603615,1.548781167589563,-3.5448601856373805,11.509779354616029,-11.37521246666696,9.097966051241213,-0.4012263150483176,-10.979836801486073,-19.68656100387062,-2.784922467520155,-58.10378927358905,17.304304120989016,2.3852812888553765,4.386983490279631,0.8033795348484577,1.6246922333062468,-0.3426820989854078,5.557505397853304,-37.94869612399927,50.608224064999284,2.1797850349471357,3.7632564593731654,0.986893777784077,1.5126780600221115,-0.24466642152305804,4.925230212280026,-28.85557906890053,38.44535571495471,2.1797850349471357,3.7632564593731654,0.986893777784077,1.5126780600221115,-0.24466642152305804,4.925230212280026,-28.85557906890053,38.44535571495471,-10.615893154611381,8.59034736891084,-0.4597507792839168,-10.133363979860201,-18.45435922574097,-2.5453936552876195,-59.13502171945749,16.56253860784134,-8.989931177811584,8.244570384621582,-1.0650898405581362,-7.898037750193657,-15.987978813718446,-1.7356870207063952,-76.37198896165532,18.13400669414236,-9.195427431719825,8.118812687110596,-0.9090134300370287,-8.257256968454282,-16.23044889776769,-1.8614970060019769,-68.75201490272347,15.279853542243673,-9.195427431719825,8.118812687110596,-0.9090134300370287,-8.257256968454282,-16.23044889776769,-1.8614970060019769,-68.75201490272347,15.279853542243673
Azerbaijan,AZE,0.41397799885575115,3.134611013212696,0.06467032774607037,0.2171541145867042,-1.5230430575276346,2.487416176207442,-26.14135430477335,19.649450526690767,0.11026555667741843,0.8136818607921817,1.6490624583707127,0.02538751539268798,-0.31140555040859424,0.5223793409466873,-5.647178514856552,9.503366340856934,0.11026555667741843,0.8136818607921817,1.6490624583707127,0.02538751539268798,-0.31140555040859424,0.5223793409466873,-5.647178514856552,9.503366340856934,-0.5129893288302121,0.5861985953848582,-1.952060933259222,-0.3521385735360438,-0.9682011352534937,-0.06568791555987867,-5.611495102864968,1.5693442185576767,-6.132326527282464,4.924006531508958,-0.4065483637902706,-5.914575212777547,-10.65955714807137,-1.4631002325186653,-30.05792598502728,9.101689416553315,-0.09901132997446097,3.138635627555949,-0.39422800931344454,-0.005157659060322686,-2.0446351567827397,1.8799853425129798,-27.08139494222936,18.688740869100286,-0.4027237721527937,0.9615358194294691,-0.415899855668733,-0.24112330614401223,-1.0787188332943354,0.14380984920928686,-8.951790406135409,8.08479369767413,-0.4027237721527937,0.9615358194294691,-0.415899855668733,-0.24112330614401223,-1.0787188332943354,0.14380984920928686,-8.951790406135409,8.08479369767413,-6.645315856112675,5.3463096620005155,-0.4246716380829066,-6.387230936759965,-11.54253915811181,-1.5747039647468164,-34.13047328833888,9.469466327453379,-6.231337857256924,5.891363749795189,-1.1361156583848804,-5.27952175731121,-11.251971585977248,-1.0261753606594057,-52.55868443354838,10.817587876526627,-6.535050299435257,5.315272011557145,-0.4977899234263977,-6.230189142271776,-11.365324725260917,-1.5374166868629748,-34.11612448592726,10.42563164064168,-6.535050299435257,5.315272011557145,-0.4977899234263977,-6.230189142271776,-11.365324725260917,-1.5374166868629748,-34.11612448592726,10.42563164064168
Burundi,BDI,0.9753714987243642,1.7577859157376499,0.2617390867966571,0.6017272211791189,-0.09951329950596881,2.3567449624859673,-13.892264816346731,11.707684639173948,0.6193483536999367,1.264303247727134,-0.26393353920775253,0.3991977410246785,-0.10047572468498206,1.5503137963381315,-13.706500121465588,11.214273837026465,0.6193483536999367,1.264303247727134,-0.26393353920775253,0.3991977410246785,-0.10047572468498206,1.5503137963381315,-13.706500121465588,11.214273837026465,-0.4275957973420134,0.5386254616969487,-1.8787018978845378,-0.24796596316149366,-0.8476090251206295,-0.04968174209744416,-4.613161788048376,1.329754037496924,-0.09649232852629687,0.08537049356352636,-0.8217342947431211,-0.08412846491601708,-0.17257793306343697,-0.020330520462482838,-0.5363388206248509,0.16809128192934725,0.5477757013823508,1.6897564949766808,-0.26784274348475706,0.27162791629490657,-0.4433037591407473,1.7516096776614605,-16.2704659420466,10.986404091319066,0.19175255635792332,1.2491618512715703,-1.0329302416382653,0.0967229236018533,-0.49530683628229993,1.0410156895627338,-14.110364935728718,9.906756564950546,0.19175255635792332,1.2491618512715703,-1.0329302416382653,0.0967229236018533,-0.49530683628229993,1.0410156895627338,-14.110364935728718,9.906756564950546,-0.5240881258683102,0.5905208033215392,-1.6937408032229748,-0.3573261698480136,-0.9744173298248909,-0.08148135248244816,-4.871769506483988,1.497845319426271,0.45128337285605397,1.6722703536490164,-0.42846505640414606,0.2102012135414659,-0.5239741884551045,1.630031314547156,-16.676331790884458,10.796409752834553,0.09526022783162647,1.2429975238590691,-1.260114714981775,0.046369402416064506,-0.6023083940178852,0.9176616483374856,-14.451308775088007,9.58794988744414,0.09526022783162647,1.2429975238590691,-1.260114714981775,0.046369402416064506,-0.6023083940178852,0.9176616483374856,-14.451308775088007,9.58794988744414
