iso,CSCC,SLAND,SLAND_dor,ELUC,EFOS,Country,SLAND_mike,SLAND_mike_2012,GCB_corrected
RUS,-13.490387861376108,0.41563499005679605,0.3772165195218506,-0.05996839225,-0.4628876396381653,Russia,0.3669716,0.36485687,0.3157883173560658
IDN,18.666171344742363,0.38408859021078706,0.1012062624005395,-0.22726424000000003,-0.16457842763494698,Indonesia,0.15698883,0.1497649,0.29182020888509336
USA,18.38598913777712,0.3290159790462937,0.1913717525875432,0.0014812342499999965,-1.4123511925456491,United States of America,0.26817757,0.26123315,0.24997751607026625
BRA,14.273941960096954,0.27987576219497023,0.4058871529551394,-0.30611533100000005,-0.1349228435064972,Brazil,0.24552122,0.23087266,0.2126420973369418
CHN,37.10067440728713,0.26793240474394986,0.1681805695248504,0.048726605000000006,-2.9043739515029405,China,0.22238381,0.2294802,0.20356785468830343
CAN,-4.842834855775723,0.20606528089129567,0.1955241302567814,-0.028274284500000003,-0.1525240493463815,Canada,0.18488958,0.18825251,0.156562873374244
COD,5.075659257562266,0.19139670730353692,0.1424310874595608,-0.14485862575,-0.000946231567659132,Democratic Republic of the Congo,0.17161113,0.17414604,0.1454180846001829
IND,122.16159329361555,0.15514656094181467,0.0756480943902797,0.018168189750000004,-0.6912803136110475,India,0.11177245,0.10522595,0.11787619568963881
PNG,0.46079198280633393,0.10910322058569401,0.0319275021348265,-0.0098883045,-0.001972028705125555,Papua New Guinea,0.03629462,0.03577643,0.08289370065348915
AUS,2.148994689819275,0.09274598536540947,0.0842096750728699,-0.0088816665,-0.10931577099758781,Australia,0.052957166,-0.007201719,0.07046591206402227
PHL,7.253283268998731,0.08220932501200068,0.0137231592937907,-0.007754662,-0.03667933967525714,Philippines,0.015683714,0.016531331,0.062460440139965406
COL,3.824410937361629,0.07422022871353072,0.056395017694222,-0.0159254655,-0.025947642134060072,Colombia,0.05733253,0.05130405,0.056390539054533076
MEX,9.720372558630595,0.06717046511007493,0.0497281517041665,-0.0015699337500000002,-0.12538161717698348,Mexico,0.04229359,0.05426452,0.051034317756155086
MMR,1.0313252256144916,0.06263389057587647,0.0365869733162022,-0.026786279,-0.007561741061784337,Myanmar,0.04065423,0.03413395,0.04758755010428066
AGO,1.8555917190606017,0.05828890324538212,0.0447968574733722,-0.025619591749999997,-0.004369253296254315,Angola,0.050070427,0.048730377,0.04428634527106212
JPN,3.201218354521912,0.05807734838285606,0.0160836925896477,0.00280741125,-0.3070276342421371,Japan,0.01897614,0.018631937,0.044125611560802386
MYS,5.290261445700197,0.05584187064577666,0.0205728507293892,-0.0282531815,-0.0702428692101181,Malaysia,0.024828117,0.02498981,0.04242715553576276
