Country,iso,FaWglob_mean,FaWglob_std,FaWglob_skew,FaWglob_median,FaWglob_q17,FaWglob_q83,FaWglob_min,FaWglob_max,FaWglob_tf_mean,FaWglob_tf_std,FaWglob_tf_skew,FaWglob_tf_median,FaWglob_tf_q17,FaWglob_tf_q83,FaWglob_tf_min,FaWglob_tf_max,FaWglob_mf_mean,FaWglob_mf_std,FaWglob_mf_skew,FaWglob_mf_median,FaWglob_mf_q17,FaWglob_mf_q83,FaWglob_mf_min,FaWglob_mf_max,FbWglob_mean,FbWglob_std,FbWglob_skew,FbWglob_median,FbWglob_q17,FbWglob_q83,FbWglob_min,FbWglob_max,FcWglob_mean,FcWglob_std,FcWglob_skew,FcWglob_median,FcWglob_q17,FcWglob_q83,FcWglob_min,FcWglob_max,FabWglob_mean,FabWglob_std,FabWglob_skew,FabWglob_median,FabWglob_q17,FabWglob_q83,FabWglob_min,FabWglob_max,FabWglob_tf_mean,FabWglob_tf_std,FabWglob_tf_skew,FabWglob_tf_median,FabWglob_tf_q17,FabWglob_tf_q83,FabWglob_tf_min,FabWglob_tf_max,FabWglob_mf_mean,FabWglob_mf_std,FabWglob_mf_skew,FabWglob_mf_median,FabWglob_mf_q17,FabWglob_mf_q83,FabWglob_mf_min,FabWglob_mf_max,FbcWglob_mean,FbcWglob_std,FbcWglob_skew,FbcWglob_median,FbcWglob_q17,FbcWglob_q83,FbcWglob_min,FbcWglob_max,FabcWglob_mean,FabcWglob_std,FabcWglob_skew,FabcWglob_median,FabcWglob_q17,FabcWglob_q83,FabcWglob_min,FabcWglob_max,FabcWglob_tf_mean,FabcWglob_tf_std,FabcWglob_tf_skew,FabcWglob_tf_median,FabcWglob_tf_q17,FabcWglob_tf_q83,FabcWglob_tf_min,FabcWglob_tf_max,FabcWglob_mf_mean,FabcWglob_mf_std,FabcWglob_mf_skew,FabcWglob_mf_median,FabcWglob_mf_q17,FabcWglob_mf_q83,FabcWglob_mf_min,FabcWglob_mf_max
Afghanistan,AFG,2.451212630175251,6.82412532536868,0.292007239317252,1.7406805736778725,-2.379794047118748,7.670877526846809,-32.05275618869941,36.47210022270766,0.06632046688842719,0.18398211955924987,0.9485436115132124,0.010658207255146348,-0.03729735848393718,0.20382251523319475,-0.7629383509876668,1.2202981922667406,0.06850229414714397,0.18372559063389363,0.9643653362092444,0.01228955212279804,-0.03445258785437243,0.20870903441257052,-0.6986402165439687,1.3401534641614747,-0.5053419056913581,0.564273055395886,-2.3113470719018565,-0.3936426615266896,-0.8248527849793411,-0.04151227219954975,-4.812036180138549,0.05523794561500324,-1.7952024219235423,0.46101542990228767,-0.3676656699164946,-1.7634039017940086,-2.2304881191625365,-1.3577600413837019,-4.152350885670368,-0.26827611936702905,1.9458707244838926,6.845098667777836,0.27843488910919734,1.1961136313188219,-2.904836060898718,7.238053292904091,-32.809314334027476,36.52629977340401,-0.4390214388029309,0.5878417028791999,-1.9827014890073493,-0.32431293966022234,-0.7999574519170812,0.009180032181332183,-4.812036180138549,1.2325605046919543,-0.436839611544214,0.5897209396794972,-2.0288176576018175,-0.315113565715222,-0.7902169681857495,0.010525383900374517,-4.812036180138549,0.9782510494236237,-2.3005443276149005,0.7973142716370006,-1.2786511252447215,-2.1770443030574294,-2.946599317084569,-1.603392153166323,-7.662980540819437,-0.3414118966319738,0.15066830256035063,6.8306922000905965,0.19423590233666443,-0.4979225697403614,-4.694659493889333,5.383426399886985,-35.536268005023224,33.16596529234622,-2.2342238607264733,0.8053951490536169,-1.2467098248878234,-2.110523767804755,-2.88827158825147,-1.5331900191729866,-7.662980540819437,-0.3145263983502777,-2.2320420334677564,0.8060043738545746,-1.2991131165961,-2.102908187892921,-2.88205383103947,-1.5385057769655557,-7.662980540819437,-0.34530289081736837
Angola,AGO,34.66454921572541,26.70581714299885,-0.29956289861655333,34.77765065766771,13.305578650838823,57.145874731747064,-133.35312381381397,175.7544009556346,26.925844915456242,18.41760599417367,0.2107601729279122,25.73736310489661,12.301628716626649,42.5797268151127,-73.82494417134586,113.41611357861446,26.93458637109172,18.328506520447423,0.29928966679411567,25.663064226232954,11.936266669665303,42.44763760893904,-68.37508095236524,148.1803982605649,-16.873896646689488,8.909001047258679,-0.4331713589744663,-16.399947985018926,-26.06515910681858,-7.348207509794054,-52.65511879521853,-1.6652148592338603,-2.8447008776784495,0.7442695351668696,-0.41109613139110285,-2.7907817400002353,-3.5392479415860785,-2.140633585068472,-6.174689097161118,-0.4262883858316162,17.790652569035917,27.048382001016154,-0.45411392043818166,18.337828865612572,-4.240045857286345,40.41239912387371,-176.92884793614147,144.20159094211425,10.051948268766754,19.086079165286943,-0.008110034039196337,9.775702483238522,-5.793441473206026,26.156013911910236,-100.76002071690782,103.95424130920729,10.060689724402227,18.944960639302533,0.04722316661487988,9.712980166192706,-6.198568604923821,26.196458673734007,-97.21267453146896,103.85005761237262,-19.71859752436794,9.22556913049499,-0.4683820263467912,-18.958492889628253,-29.203006568400347,-10.062751910929846,-58.309529484787305,-2.539939736318814,14.945951691357468,26.951686637264494,-0.4955613747338744,15.616775927869384,-7.045038190518944,37.44112268953328,-181.96225826978844,140.00506349240607,7.207247391088304,19.013379805247375,-0.05475011837095817,7.152845875907004,-8.539293253882477,23.092803612583115,-106.32320122504765,100.78623631943658,7.215988846723778,18.856850496472813,0.0004896897708981647,7.014338328690382,-8.875911178572405,23.26862667899789,-102.36517307875974,100.37233854917069
Albania,ALB,0.6212870979118494,1.6055474531757805,0.24525908635453195,0.5420485013175322,-0.5330411346642375,1.9030725640326216,-6.037470965834959,10.256798216634827,0.32405923150371546,0.8865779024195595,-0.017812668360315934,0.3200502613272038,-0.35045645953426574,1.0356950621571528,-4.846248219250294,5.778880964196625,0.32451913448441355,0.8853833441747885,-0.08651987013686505,0.3226060592841812,-0.3513482295293628,1.0317285469006499,-4.830776450735601,5.018782491336299,0.002111212433695555,0.10427326698992204,-0.7342832449511059,0.01086615045364818,-0.0888068605574534,0.11053745637087946,-0.49705984194013325,0.26200206043531765,-0.8740047466955566,0.21755473864779973,-0.35599450028225893,-0.859288597290762,-1.0807441083559306,-0.671835430050988,-1.794875096690987,-0.12403823001870279,0.6233983103455449,1.6098105420714104,0.24513505745394787,0.5472693658333143,-0.5358450328003055,1.9081035285821046,-5.970757607803189,10.307298092387903,0.326170443937411,0.8926671079359402,-0.01207928021534581,0.32273719745113716,-0.35042718237370146,1.0508990303020478,-4.828624673828808,5.861632839932561,0.3266303469181091,0.8917391390221444,-0.08057126515470402,0.32686560583151714,-0.3470412868720164,1.0396899639787582,-4.646104779990518,5.199915411000167,-0.871893534261861,0.23915647514926835,-0.5269066126669387,-0.8509078803002366,-1.0953742342305233,-0.6483682878224835,-2.0767383770347316,-0.14935690708300334,-0.2506064363500117,1.6024597851638327,0.07514278624075564,-0.2814894338862861,-1.4190220653733596,1.019469114982733,-7.30682281463998,8.762251687911839,-0.5478343027581455,0.8987953017310748,-0.33839826774913,-0.5046600250583122,-1.2383148837086975,0.18287063761203357,-6.277695921715641,4.101674076353868,-0.5473743997774475,0.9024900240356729,-0.39388232395799155,-0.5027506874608197,-1.241288447277075,0.16906271717535698,-5.999856589438419,3.946730008749119
United Arab Emirates,ARE,0.050766583096615324,0.3467260735549781,2.2107979047205704,0.00035653492980415623,-0.04489979975868695,0.1482185498888832,-2.192903461282396,4.365639208964115,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.06819580323250278,0.0919808205915212,1.4080619528600278,0.020219220229155718,0.010362420418450818,0.1916329820320126,0.0017708174749887342,0.4481920416542322,-37.54398943440466,8.954634902782535,-0.23130288532741716,-37.146483590633714,-46.089258347749855,-29.03557493967477,-80.48201540308483,-5.252294696125454,0.11896238632911811,0.35835487204261035,2.090802322506226,0.03266799990045263,-0.015115683665270463,0.2641154179036067,-1.8780809249859152,4.769044726151388,0.06819580323250278,0.0919808205915212,1.4080619528600278,0.020219220229155718,0.010362420418450818,0.1916329820320126,0.0017708174749887342,0.4481920416542322,0.06819580323250278,0.0919808205915212,1.4080619528600278,0.020219220229155718,0.010362420418450818,0.1916329820320126,0.0017708174749887342,0.4481920416542322,-37.47579363117215,8.938494823966684,-0.23132751209052943,-37.083921951356515,-46.00033636666578,-29.003366386456413,-80.42814584706595,-5.2503563625053555,-37.425027048075535,8.929025414710873,-0.23360997213141793,-36.998362750845644,-45.871984211804055,-28.975868754729735,-79.34749275374836,-5.25570752884868,-37.47579363117215,8.938494823966684,-0.23132751209052943,-37.083921951356515,-46.00033636666578,-29.003366386456413,-80.42814584706595,-5.2503563625053555,-37.47579363117215,8.938494823966684,-0.23132751209052943,-37.083921951356515,-46.00033636666578,-29.003366386456413,-80.42814584706595,-5.2503563625053555
Argentina,ARG,35.031638728855505,92.31298126707911,-0.33131676418944306,38.51866436765655,-32.61884815836651,107.55209755888878,-461.7182176483892,496.4488089527328,6.399730348035235,30.055016393856594,-0.7819042341207674,10.063227831692712,-18.38730876023955,31.023803490919885,-155.62840089204454,122.66119171998453,5.512859262892725,29.686163220801447,-0.7491822582628149,9.13421186347977,-19.43467807533594,29.979541253514657,-149.0882254789224,122.35532732405152,-13.088305380293109,13.280996660733829,-0.3858055331230099,-14.719454677709559,-25.101265929114348,2.958854429756221,-75.73292606851442,7.373611908638838,-32.12388937105243,7.760830886090284,-0.24239630914867227,-31.743197159877802,-39.50394585121017,-24.768979937814024,-68.13938776251375,-4.3621378944618385,21.943333348562398,93.07229571617663,-0.3698780410661797,25.19179690546985,-45.81359933188517,96.3489146359072,-482.142353468899,501.49893282458436,-6.688575032257875,32.78132750401634,-0.7293409169181491,-2.969057652766362,-34.40040354614824,21.457862854950367,-195.1504926127079,130.03480362862337,-7.575446117400385,32.376382356555716,-0.6885798096004235,-4.227242285863602,-35.5107234619311,20.043530082217497,-191.47473001606784,121.39022653536959,-45.21219475134554,16.818838246791838,-0.6045857758731014,-43.47951891051227,-61.45937723167323,-28.541597655805266,-138.64726797939002,-3.8512326924906133,-10.180556022490034,92.99020391815462,-0.4847435869712967,-4.5844712927606235,-78.27343671387075,63.29052956877875,-533.0414922117538,454.4701655185392,-38.8124644033103,33.909463791858705,-0.9647897579547713,-34.17518196879916,-67.38599904455573,-9.405028989493422,-245.80164085597076,73.55916367638639,-39.69933548845282,33.698035252528705,-0.8967704252060172,-35.01189371190281,-68.415055483769,-10.449242634054716,-238.44774252203212,68.34064263085635
Armenia,ARM,0.08162939947174774,1.3164220560611712,-0.08912111309973404,0.10185422531965493,-1.001061244292361,1.0829346519748029,-7.62472704141074,6.780623988466801,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,-0.09665701445025957,0.10740771312659823,-1.1821670762504275,-0.04132913813665847,-0.22737319079450374,-0.01207941701355092,-0.5852203954407813,-0.0005741896738515051,-1.059201881162002,0.28555239324164244,-0.5073040150288746,-1.0347669259074537,-1.3226432264606776,-0.7941945714937055,-2.458486637418494,-0.12997154212424644,-0.015027614978511824,1.3197377637028174,-0.11181173683445021,0.00209110534231932,-1.0761986664431653,0.9839993280263168,-8.089324183943768,6.448099711011707,-0.09665701445025957,0.10740771312659823,-1.1821670762504275,-0.04132913813665847,-0.22737319079450374,-0.01207941701355092,-0.5852203954407813,-0.0005741896738515051,-0.09665701445025957,0.10740771312659823,-1.1821670762504275,-0.04132913813665847,-0.22737319079450374,-0.01207941701355092,-0.5852203954407813,-0.0005741896738515051,-1.1558588956122613,0.323088780158865,-0.5392440015589236,-1.1239720369674953,-1.4567627564717982,-0.856354829282682,-2.8292365951168725,-0.14166343298924783,-1.0742294961405139,1.3499942846217556,-0.3722366672429847,-0.9917105427578713,-2.1550920224198333,-0.0556856931744791,-9.89067720547936,4.6701815982459,-1.1558588956122613,0.323088780158865,-0.5392440015589236,-1.1239720369674953,-1.4567627564717982,-0.856354829282682,-2.8292365951168725,-0.14166343298924783,-1.1558588956122613,0.323088780158865,-0.5392440015589236,-1.1239720369674953,-1.4567627564717982,-0.856354829282682,-2.8292365951168725,-0.14166343298924783
Australia,AUS,21.18439729610925,175.64248394912536,0.12070559973268316,15.557733997249073,-131.45905531912263,162.6721423996684,-665.6734695482934,786.2936549634314,7.526336738846275,24.26351535655172,0.3774037490384325,6.222835932890452,-10.752939271361349,26.03351771085987,-88.47696155024245,143.67963809857125,7.284193636240758,23.561995813220587,0.3122732986515135,6.122787023775445,-9.278589587434054,24.797435647928616,-89.81042353952797,122.3835086709072,-6.370776992708379,6.7562463564081865,-1.1214953335866376,-5.481105779519396,-12.473510005963066,0.13556581299032866,-44.05226080871539,6.316143358483323,-69.85185201224347,16.61636255639764,-0.22330535499842083,-68.99463447959482,-85.67475238452141,-54.082837851254666,-146.7692904097438,-9.017105019030408,14.813620303400874,175.53705275170648,0.10678164302655535,9.949171019112384,-137.0037883394321,156.28521214473375,-672.8826974210441,773.9983144188587,1.1555597461378952,24.938794386243142,0.2603606150368377,0.13626623008571426,-17.808014403910615,19.746022261118586,-112.90063516480731,127.95346622239788,0.913416643532378,24.373960615531992,0.15648540665735722,0.24903557223397432,-17.268412926392486,19.163740998019144,-124.82013255321652,115.65909108611409,-76.22262900495187,19.282427406668347,-0.38512915872603326,-74.91033245112271,-94.28299974833445,-58.13959124021021,-172.01309375208405,-9.643371586183967,-55.03823170884261,175.80242296618385,-0.02584757372329804,-54.1851797363021,-204.37725601476046,83.32390858047192,-781.3098218554755,674.5077726729161,-68.69629226610559,29.781631608934628,-0.44326605006322634,-66.6742944069485,-94.13347563502892,-43.13147412325213,-217.10098960370564,19.180171046745247,-68.93843536871111,29.233710300430346,-0.5084993377590609,-67.13214761965918,-94.14341352994252,-43.36582903349664,-227.60537025157004,11.691019003133366
Austria,AUT,1.7126897510812895,3.0094937687133347,-0.1799748845360444,1.6710752003552325,-0.3201913681960905,4.14116654447257,-21.27577506455908,24.568480701708133,1.4456204107415116,2.4817949794653167,-0.1425335838071378,1.486552054491665,-0.31925291601590794,3.3217750455401287,-13.519856060824434,16.960323474222065,1.4668687900578121,2.465900689953231,-0.05460135019147404,1.4505682736855487,-0.2970233885743916,3.3185633719811154,-15.797362664573605,15.02351693082468,0.7623598516427149,1.046399576989578,1.175196677765703,0.38392799352667584,-0.15653291013006357,2.131328405356428,-0.7021925547841132,5.095607117389875,-11.448409179436393,2.7383563633453702,-0.24014979297428857,-11.308366302624663,-14.044407795156818,-8.86849412410746,-23.73177460608941,-1.4586374676213387,2.4750496027240043,3.1924746021884367,-0.049217537143347694,2.3667251454412277,0.1567232637723124,5.047367083736896,-21.528147892960778,24.217159153479514,2.207980262384227,2.703772997845685,0.08923665682490237,2.140597578878955,0.16188012880614347,4.40167209503171,-10.587403257555401,19.27166177922682,2.2292286417005274,2.710808251198284,0.1343426737300653,2.1030711735826477,0.19163023496820691,4.429723235297978,-16.14797415397116,18.74408053649045,-10.686049327793677,2.7711505569341366,-0.31562315005093977,-10.523621204001167,-13.333495808898373,-8.038593989921942,-23.02240257614966,-1.1103692010194943,-8.973359576712388,3.8266710742908576,-0.7529330940031381,-8.56097911206233,-12.23373092787825,-5.665972322250051,-41.6679566520528,7.16282526039158,-9.240428917052165,3.4751581311526083,-0.6342776868902024,-8.896103487358005,-12.301107364398336,-6.160980532293995,-28.20767937648415,2.5378686034712694,-9.219180537735866,3.450406110327018,-0.642914470634462,-8.907552606440083,-12.2297812160205,-6.089893743500043,-37.065562691310696,2.3857508242962906
Azerbaijan,AZE,0.415785712037237,2.519964998392751,-0.11810463878082127,0.4374252081902537,-1.7840448406014178,2.55680250375333,-9.351058912775722,10.28069720090086,0.12029733747987234,0.6380946582492352,1.1198397597445024,0.08051540175424286,-0.3588730330339612,0.5831668125194236,-2.4019693478216935,5.2029031916901,0.11107820875830353,0.6448580245341792,0.9166862830645545,0.075878356909758,-0.3829864902694294,0.5868102504883976,-2.536500531000162,5.192994548588134,-0.518135026585427,0.35656392275581,-1.2107111382635967,-0.47157504848606385,-0.8174072835058792,-0.17436378614303985,-2.624831373958608,-0.020176720649476367,-6.184121232094117,1.5181366314834404,-0.3183688619955106,-6.116516294098279,-7.61513868281152,-4.754095607446357,-13.035256147860519,-0.8051765857139762,-0.10234931454818981,2.5407842274630146,-0.1884747620810746,-0.02632468676619976,-2.3132673067141254,2.06088558144034,-10.60435019884956,9.327069636135272,-0.39783768910555445,0.7245731730422422,0.47761416905102494,-0.37546607741126536,-0.9984935030816097,0.1409507432112651,-3.540992988010182,5.056217921269173,-0.4070568178271234,0.7355215552329591,0.28599910009290763,-0.38694643764045933,-1.0092277565332881,0.13928516714684505,-4.724077816607887,5.096916289196217,-6.702256258679544,1.6697766555256863,-0.3414772473031097,-6.613114130674564,-8.269180507147563,-5.13900219915249,-13.96918203039901,-0.8253533063634526,-6.286470546642305,2.972571319603186,-0.6525393658120118,-6.0011427789634375,-8.934863148712305,-3.5894684848096556,-20.314016934095378,1.0603730681147985,-6.5819589211996705,1.7532943095218771,-0.37546925460882474,-6.463469801692687,-8.230709989704852,-4.952896116910378,-14.530547109633243,-0.9552609985794972,-6.591178049921239,1.7685468909216928,-0.4081454131273501,-6.481170861347476,-8.227659590427974,-4.933700006117181,-15.553491895665038,-0.6945703055745356
Burundi,BDI,0.9712809541403538,1.261467107800143,-0.40121697265472045,0.9572250454268137,0.0,2.057301036690808,-6.854705239679235,6.078461761301449,0.6197617185673822,0.9450180279690458,-0.9456551921174277,0.6168383628674483,0.0,1.3727865075183652,-7.204657657982513,5.354539825668057,0.6169070960331383,0.949649308578256,-0.8199631984210695,0.6225261427446688,0.0,1.3716098579153726,-6.690210281047692,4.909703048038278,-0.4257052522869452,0.34973329574784223,-1.0334285645128856,-0.2625438340637078,-0.8431129056651762,-0.13103295423629868,-1.8987337921595133,-0.019339498057025895,-0.09727018862409097,0.03782623332896153,-0.5427812414435459,-0.09197028922852052,-0.13620203738298073,-0.059807396408731575,-0.2631358437338831,-0.008165928776467666,0.5455757018534085,1.2937223633484858,-0.4836690708734017,0.5428241986539858,-0.5296848474521976,1.6717181803265575,-8.091009839249795,5.755329845998539,0.19405646628043677,0.9864136508460443,-1.0006662000516737,0.20934441282734506,-0.558034865544763,1.001947542213007,-7.904245033085719,4.950323301103567,0.19120184374619303,0.9936887185322462,-0.8701260879072461,0.21977414254575253,-0.5810893291696217,0.9938979113581581,-7.492922849639223,4.39805651170638,-0.5229754409110363,0.3578958635751099,-1.042217418206701,-0.37112098323073794,-0.9368534022542024,-0.21773279952867122,-2.046009714717359,-0.027505426833493562,0.4483055132293176,1.2918115851113294,-0.5095920958809917,0.45187619550861735,-0.6288830739955904,1.5735668485018497,-8.282888043834067,5.639892534824137,0.0967862776563458,0.9857868524010053,-1.0340008383589643,0.11871830112287059,-0.6510360370028757,0.9041746694886634,-8.012217821688658,4.746063795087751,0.09393165512210208,0.9928966522869399,-0.9033226263050249,0.1277628164298179,-0.676371472201179,0.891082746648712,-7.687979134534068,4.280550025837613
