Country,iso,Fabc_mean,Fabc_std,Fabc_skew,Fabc_median,Fabc_q17,Fabc_q83,Fabc_min,Fabc_max
Afghanistan,AFG,-0.00020722614775981282,0.0007510276936811956,0.0413057748926484,-0.0002221432811792929,-0.0009624619797561739,0.0005453493875440902,-0.002498932701395453,0.002354524781420333
Albania,ALB,0.0004131346628860831,0.0001744952585106798,0.029779267731029943,0.0004069319481762788,0.00024355960209706062,0.0005823519711488927,-8.862096684988593e-05,0.001022305560654926
Algeria,DZA,0.043268257989791406,0.0019235202094146518,0.03191213476556624,0.04328176707077016,0.04143723563673652,0.045052139051896256,0.03704876393080513,0.04905126252946363
Angola,AGO,-0.023361449563269892,0.003439098820275577,-0.008423587094647302,-0.023326083583500124,-0.02662844639783215,-0.020120341668268576,-0.03433859262098896,-0.011482589668574293
Argentina,ARG,0.017880382117308784,0.010518256391559894,0.10624615664711602,0.017466424714480847,0.008148082604360073,0.027834222262605915,-0.013156709410321342,0.04903385399533311
Armenia,ARM,0.0016849553373544967,0.0001631914752903834,-0.08039914779869645,0.0016873154440144025,0.0015317575980542,0.0018425076677292753,0.0011671760534931832,0.0021746061160505237
Australia,AUS,0.08790215420217336,0.018409329644398797,0.052095697532947974,0.08769759666180157,0.0699634090079848,0.10467441471468897,0.03392894695601181,0.1625227425256277
Austria,AUT,0.014163649021307699,0.0004791942700404863,-0.0043383979202913075,0.014158355603978094,0.013711139361533998,0.014616978943534859,0.012567113636430512,0.015578415223190947
Azerbaijan,AZE,0.009853385512196193,0.0003400418892003189,0.02015164292120655,0.009854177545086936,0.009517612401262384,0.010164610885633408,0.008655505140618164,0.010861242839843672
Bangladesh,BGD,0.017924540411006034,0.001644878076855011,0.005071578487598676,0.017947173328184303,0.016365887151666605,0.019440105196398584,0.012824586725823565,0.02334053360479217
Belarus,BLR,0.01167913174803001,0.001024729392336246,0.028551223252964546,0.01164988509263457,0.010692716279747968,0.012699846608161728,0.008472871613491594,0.015343779168458915
Belgium,BEL,0.02677921015279134,0.0004127418595741136,-0.15344090746591335,0.026799170865311348,0.026378176199817305,0.027173662401363766,0.02543910518492923,0.027882604240297613
Belize,BLZ,0.0007128987866028971,0.00015677068013160078,-0.020889377440484715,0.0007113257394615344,0.000568181203464075,0.0008653741540519916,0.0002428604857111499,0.0012143416126944406
Benin,BEN,0.003519763437408125,0.0006224017386443183,0.07045395879675316,0.0035169596444042375,0.002927382316390282,0.004113200226468592,0.0015926116060298546,0.005388657685209126
Bhutan,BTN,-0.0007900955241771081,0.0002313905929882692,0.01809726476028056,-0.0007919635158870204,-0.001015309659124935,-0.0005663887439674507,-0.0015019013308165399,-4.9755109821085074e-05
Bolivia,BOL,-0.00826917049547729,0.004897166923197291,-0.024721725598751274,-0.008177836324447891,-0.012954843179547178,-0.003572154721185059,-0.024436363945230792,0.008357244057046865
Bosnia and Herzegovina,BIH,0.003930152259866744,0.00039225629821641424,0.12801987643642174,0.003919301837344352,0.0035517340339457928,0.004317664367502109,0.002560815157935238,0.005424581756921855
Botswana,BWA,-0.002575175322247451,0.0015957977712635798,-0.021733578678655264,-0.002542963065176874,-0.004073158770087531,-0.0010539047589159278,-0.007365432507106601,0.00229045592271325
Brazil,BRA,0.1640235923648462,0.029217804284271478,0.135477894120582,0.16321885237038652,0.13586171144619238,0.19093678388300653,0.07000250430827992,0.27351040009455174
Brunei,BRN,0.0019192240775037907,0.00015256148096920276,-0.1362655583777842,0.0019296600618919305,0.0017736228946541777,0.0020617118346124706,0.0013805794087965086,0.002430942197929202
Bulgaria,BGR,0.007381870879254166,0.0006640048603465806,-0.11948274672947541,0.007368378591127465,0.006769349616468513,0.008039449300405031,0.004583150483518244,0.009439977942181967
Burkina Faso,BFA,0.002467651485520499,0.00090583372564513,0.029162823109073754,0.0024590846179317885,0.0016002775207315317,0.0033590802315361804,-0.0003519171855193312,0.0058638897166489075
Burundi,BDI,-0.0007010344079536712,0.0001548786255537197,0.12106013851431097,-0.0006984529096043127,-0.0008515993320478934,-0.0005542487464650481,-0.0011723153692198523,-0.00016187599088837032
Cabo Verde,CPV,0.0001316011308821849,4.065331909543506e-06,-0.15872117069086558,0.00013173092114681387,0.0001277976524740269,0.00013551787508782846,0.00011890487833550784,0.00014382724576283648
Cambodia,KHM,0.0022709125930340792,0.0015103689858446514,0.051754785585463446,0.0022663425118240885,0.000760116242021708,0.003690509583297906,-0.002816745107696387,0.006861539276625051
Cameroon,CMR,-0.014330437019744159,0.00121680542168835,-0.010239018467390351,-0.01436312452538899,-0.015477196041039405,-0.01312684354739817,-0.018189551403620594,-0.010496839475147596
Canada,CAN,-0.031502699448051126,0.009517802928677257,0.06993985427013125,-0.03171266808754562,-0.04057612827752957,-0.02235877904694385,-0.0626867673698571,-0.003778265757110877
Central African Republic,CAF,-0.027767453778399738,0.001854093837655844,0.053577811491749804,-0.02775256338741226,-0.02960253156048909,-0.02611948325020521,-0.03376407565120323,-0.021701144464583398
Chad,TCD,0.0004111771733090042,0.0012256929311947357,0.16643119876341242,0.00036124232721435826,-0.0007013512925193291,0.0015775508709775566,-0.004142711272171601,0.0046392702602567615
Chile,CHL,0.013585392524321395,0.0013997683283434256,-0.03753496573332684,0.013580282058611878,0.01226387706065995,0.014945357505030312,0.008751038541395691,0.017896439083394833
China,CHN,2.5581421499310437,0.05589508823881387,0.20620353161804403,2.557281326969991,2.504394019081181,2.6132758611683125,2.418868029567216,2.7374887794463643
Colombia,COL,-0.013602482032671752,0.004966427071342227,-0.048375795178396463,-0.013666175358704872,-0.01834767014135954,-0.008845584546890424,-0.029678766648676094,0.00077955366342565
Comoros,COM,8.217871095859401e-05,1.1000082778966437e-05,0.14376693257043546,8.202326224041699e-05,7.147977085657337e-05,9.215368871402376e-05,4.7785451610222e-05,0.00012280799260123022
Cook Islands,COK,1.6406491988259118e-05,9.469803895125143e-07,-0.03608627235055896,1.642163307223488e-05,1.5503316869398966e-05,1.7304441674128466e-05,1.3519199860087637e-05,1.9811017586879097e-05
Costa Rica,CRI,-0.0013422442176184034,0.000294403958094249,0.021811516040306622,-0.001350944544843096,-0.0016126139498681576,-0.0010606183062532584,-0.0022948193018618355,-0.0004186189849680541
Croatia,HRV,0.0025847304216002013,0.0005400255920348548,0.103550206437853,0.0025804552482039354,0.0020672682357066783,0.003104009415739195,0.0009286355778610833,0.004251711310151058
Cuba,CUB,0.001993941343417964,0.0009583366522282908,0.1731983730835381,0.001985470462987013,0.0010662376497521764,0.0029222716719496133,-0.000640034019697827,0.005290332569618561
Cyprus,CYP,0.001787654905504895,3.779669398757102e-05,-0.03225664820291441,0.001786770347537732,0.0017520140458129004,0.0018237208901598146,0.0016758813114057035,0.0019084499108733154
Czechia,CZE,0.024559567211108174,0.0009437361289056083,0.05848470995186012,0.024519806980388838,0.02367968922133576,0.025499030384165376,0.02163832385506409,0.027342565130735946
Democratic Republic of the Congo,COD,-0.03398867493441027,0.007933362427119823,0.06637628576221113,-0.03407655377127502,-0.041562026401125864,-0.02628485778293703,-0.061218758013938494,-0.007999885953248402
Denmark,DNK,0.00874583472965011,0.0005088820685365302,0.14061910973266692,0.008730618193977108,0.008271515857472449,0.009228023495414458,0.007301901526935209,0.010392297884842831
