,iso,SLAND
0,DZA,-0.005893217445913333
1,MAR,-0.004189537661470442
2,TUN,-0.0014714473750912546
3,BRB,-0.0008376699716429036
4,DMA,-0.000720620481309178
5,ATG,-0.0004854255469302937
6,TLS,-0.00029938260337156273
7,OMN,-0.00029206286515644247
8,NIU,-0.00017043164451173296
9,MUS,-0.0001496666281931778
10,MLT,-7.015162510463109e-05
11,MDA,-3.8103817487782604e-05
12,KNA,-3.477358503579284e-05
13,DJI,-5.822538179239378e-06
14,MCO,-9.823679643451739e-08
15,VAT,4.380187282947596e-09
16,SMR,1.612982747795184e-08
17,LIE,3.485156208721801e-06
18,BHR,5.669255337166017e-06
19,AND,7.030011292780562e-06
20,LCA,9.891567779799445e-06
21,LUX,1.2469603345495344e-05
22,KWT,2.858338909901138e-05
23,STP,3.4193345601116873e-05
24,ARM,6.44222479081394e-05
25,VCT,6.602478018620148e-05
26,GRD,8.04102118117298e-05
27,SGP,8.39147872763729e-05
28,CPV,0.00010621910374976417
29,ARE,0.00011973949057581715
30,QAT,0.00012139687698003212
31,GMB,0.00012898176656275833
32,NRU,0.0001451000104264469
33,BEL,0.00016492710373747322
34,PSE,0.00021163715052706337
35,WSM,0.00028428807503070994
36,OTHER,0.0002900487033806827
37,JOR,0.0002967504259973488
38,MDV,0.00033610078237155115
39,COM,0.0003439872338242087
40,TON,0.0003814282653609274
41,SYC,0.000385438128864941
42,ISR,0.0003882428819826567
43,LBN,0.00039716175174974165
44,PLW,0.0004970276744877349
45,MHL,0.0005142471594930351
46,COK,0.000533749417367884
47,MNE,0.0005339842273818362
48,AZE,0.0005733605753451348
49,NLD,0.0005768162964016452
50,TKM,0.000609760291873933
51,TTO,0.0007015931556658042
52,SVN,0.0007050694403357337
53,CZE,0.0007201280722213414
54,BDI,0.0007543214288979387
55,MRT,0.000813259508053349
56,LBY,0.0008262411087123039
57,SWZ,0.0008324032147459251
58,LSO,0.0008400351440552603
59,RWA,0.000876900848993367
60,EGY,0.0008905045628787052
61,CYP,0.0010286994869248476
62,TUV,0.0010335528341668416
63,FSM,0.0010776738341612378
64,CHE,0.0010882759043315765
65,SYR,0.0011050418336804823
66,UZB,0.0011051128805914293
67,MKD,0.0011213638435656624
68,SVK,0.0011267736492660413
69,TGO,0.0011612431117283605
70,YEM,0.0012196978017220779
71,IRQ,0.0012733690826122247
72,HUN,0.001293331554943121
73,ALB,0.0013901095367767659
74,JAM,0.0014019398105884857
75,BEN,0.0014895774483780653
76,BIH,0.0014959374956087256
77,ESP,0.0015756189545835804
78,SLV,0.0015974969955325183
79,EST,0.001684482232633315
80,GNB,0.0017099868211802158
81,SAU,0.00171147988609241
82,TJK,0.0017128500444439463
83,LTU,0.0017717611595902667
84,BRN,0.001798759054085968
85,GEO,0.001926741114150333
86,ERI,0.0019471561275668256
87,BTN,0.0020577994915981
88,SEN,0.0020693982800105335
89,DNK,0.0021606210422903285
90,ITA,0.0021626999604626384
91,HRV,0.0022682304900321706
92,HTI,0.0022879992489724427
93,DEU,0.002329950584465239
94,KGZ,0.0023913861734134335
95,AUT,0.002452754267477433
96,SRB,0.002485836816215081
97,LVA,0.0025139551013159053
98,KIR,0.0025649805076860856
99,POL,0.0026428886380495276
100,BGR,0.0028230377108678065
101,ROU,0.00287585786374505
102,AFG,0.002902048233193369
103,NER,0.003158469736571866
104,PRT,0.003276679796899189
105,IRL,0.0035675530316513276
106,IRN,0.0036998155098608523
107,GNQ,0.0038392151113423294
108,MLI,0.0038741953035361055
109,BFA,0.003925115706577516
110,MWI,0.004100700129680234
111,ISL,0.004129192986758216
112,BLZ,0.004219439090552543
113,NAM,0.0044325238631579686
114,BHS,0.005200462596799206
115,BLR,0.005369697765488365
116,DOM,0.0054821511313886215
117,BWA,0.005598143427377661
118,FJI,0.005985116562857945
119,URY,0.006188244619718796
120,CUB,0.006853189776020585
121,GRC,0.006991148557710103
122,SLE,0.0070657760832523765
123,GBR,0.007081172341745567
124,TCD,0.007144033772236489
125,GHA,0.007481715190963428
126,PRK,0.0076720190469781
127,KOR,0.008068469841716313
128,BGD,0.00811886217063104
129,NPL,0.008403592263792701
130,PAK,0.008585118711848416
131,GIN,0.00861029984274032
132,SOM,0.008705379153945002
133,GTM,0.009064411575761388
134,VUT,0.009186574626594779
135,PRY,0.009260683080356349
136,UKR,0.00934722249809207
137,MNG,0.00938078365529199
138,ZWE,0.009537904847010484
139,FIN,0.010617736971850741
140,FRA,0.010982870277766281
141,HND,0.011447585561146948
142,UGA,0.011556953020818387
143,KAZ,0.011649932067015624
144,LBR,0.012112622575126542
145,CRI,0.012944070569465073
146,SDN,0.013084163319573754
147,NOR,0.013281641782569277
148,CIV,0.013532788769198617
149,SUR,0.01371225126637396
150,DISPUTED,0.013714214912989641
151,LKA,0.014014545737171502
152,SWE,0.014207255786136127
153,KHM,0.01445767883795256
154,SSD,0.015058496703094048
155,LAO,0.015112829325800829
156,ZAF,0.015270747167251995
157,CHL,0.015296647791187758
158,NIC,0.015408130228538904
159,GUY,0.017396264380110955
160,ECU,0.017896095352868086
161,PAN,0.01855516677732114
162,SLB,0.018591572639695235
163,BOL,0.02282604161740288
164,TUR,0.025137580559824232
165,NGA,0.026240356280179
166,GAB,0.026625220921551375
167,CMR,0.02724465766845893
168,COG,0.027390445951221136
169,NZL,0.027396313219066475
170,MOZ,0.02956505573101955
171,CAF,0.029836032819907217
172,VEN,0.029923409092974015
173,ZMB,0.031542078434239645
174,MDG,0.03228781224764637
175,KEN,0.035018344418479105
176,VNM,0.03989471414242866
177,ARG,0.041411120514077256
178,THA,0.04702925349315294
179,ETH,0.04741212911609562
180,PER,0.053429735153814634
181,TZA,0.053858553622234503
182,MYS,0.05584187064577666
183,JPN,0.05807734838285606
184,AGO,0.05828890324538212
185,MMR,0.06263389057587647
186,MEX,0.06717046511007493
187,COL,0.07422022871353072
188,PHL,0.08220932501200068
189,AUS,0.09274598536540947
190,PNG,0.10910322058569401
191,IND,0.15514656094181467
192,COD,0.19139670730353692
193,CAN,0.20606528089129567
194,CHN,0.26793240474394986
195,BRA,0.27987576219497023
196,USA,0.3290159790462937
197,IDN,0.38408859021078706
198,RUS,0.41563499005679605
