Country,iso,Fab_mean,Fab_std,Fab_skew,Fab_median,Fab_q17,Fab_q83,Fab_min,Fab_max
Afghanistan,AFG,0.003080282307216638,0.010510660449583105,0.07463104074973269,0.0021747035551208257,-0.004583708972401619,0.011637907068977356,-0.035833403885240554,0.03392639150068283
Angola,AGO,0.027672002086921263,0.04066401812110395,-0.7611533241248368,0.030924371186008454,-0.006704460931873324,0.06404480940940857,-0.17561785008975983,0.1524135731534195
Albania,ALB,0.0009600916682198116,0.0024494332567025255,0.0622644758089091,0.0008931039268499613,-0.0008979270496658981,0.0029554361099123957,-0.006602045987529755,0.009311629424548148
United Arab Emirates,ARE,0.00018001657431388165,0.0005329832571174785,1.9001088976674225,4.724893483611755e-05,-2.552083551431075e-05,0.00038150887085949565,-0.001874129352156222,0.004179217857640386
Argentina,ARG,0.03246017627848371,0.14261946624046506,-0.44622341793064746,0.03960925585092545,-0.07744286068282127,0.149855141547966,-0.5287342408377839,0.5556190209663391
Armenia,ARM,-1.659475243476815e-05,0.0020075428883810694,-0.04584148932813233,8.48603346533142e-06,-0.0018204514255833627,0.0015649161181408168,-0.007753818490934372,0.007071166769979
Australia,AUS,0.020642891411488864,0.26824569961551586,0.1035277268137185,0.008911192986440658,-0.235622504643898,0.2364144937488551,-0.7159882869068909,0.8287975650892639
Austria,AUT,0.0038050409003885562,0.004833293569944995,-0.27207596164940445,0.0037830390078791975,0.00011624804100655015,0.007784932558356855,-0.019148763360481262,0.026529766676211358
Azerbaijan,AZE,-0.00015284911197055366,0.003945284051805604,-0.15071113632,-2.8218747507333585e-05,-0.003832829163749218,0.0034413289573532345,-0.012119362790672779,0.010349578201079368
Burundi,BDI,0.0008649389848105223,0.001978767838512299,-0.6378089250234008,0.000906379826669991,-0.0008807898233435304,0.002692523002232313,-0.008978696382038593,0.005922910441337824
Belgium,BEL,-0.00015103961711571622,0.0022815069492362256,-0.31466210743031015,-5.1023461620360565e-05,-0.0018045183303421735,0.0015610720050424336,-0.009469210006675721,0.008960481223006248
Benin,BEN,-0.0016516561031030832,0.007973649463977099,-0.7264979860341724,-0.0013829945912449805,-0.006393477676529884,0.003440155507477522,-0.04962706920298576,0.03929567895608902
Burkina Faso,BFA,-0.0012698831883410295,0.011976463124911654,-0.5078836234329452,-0.00203471341715157,-0.009570227196669579,0.007984503322284358,-0.06087024503943443,0.03947412977778435
Bangladesh,BGD,0.005400602312007382,0.008917566387037992,0.09202688398029996,0.0052135591799771785,-0.0016863421984204654,0.012818904937816351,-0.03456318310887813,0.04722865473388672
Bulgaria,BGR,0.004607946973591818,0.008260895132601009,1.29745541258444,0.004160360095921755,-0.0010977240677583217,0.009096503564221859,-0.03010203102194786,0.05284280669284821
Bahamas,BHS,0.0001903133574691178,0.0005969215622335619,1.1527448887176817,1.262e-05,-2.871903712499887e-05,0.0006052884523661435,-0.0017687524091866613,0.0028118489963781836
Bosnia and Herzegovina,BIH,0.0017109546834968427,0.005233187381594734,-0.5527553297493193,0.002479177149181962,-0.003078889667830467,0.006235200942983628,-0.01648530549759865,0.019407077526168822
Belarus,BLR,0.004924748645265105,0.013899716214504615,-0.8549818189072507,0.005595426678090095,-0.004936076010049581,0.01584650996222496,-0.0609938483436203,0.03817567272137642
Belize,BLZ,-0.0005505517326249835,0.0018894395991589947,0.9423643910257398,-0.0007850514543130992,-0.00214982,0.0009714732225424051,-0.005823195800837278,0.009045012663280963
Bolivia,BOL,0.01373907518949412,0.06835199416797874,-0.03732335363999322,0.017019710671310424,-0.05089898881480454,0.07281377251844406,-0.21436736309009552,0.20414071111515045
Brazil,BRA,-0.029013559182575446,0.37134822140177015,-0.20134965691102613,-0.012597111566162111,-0.40173848051192285,0.3424885753302002,-1.1196979367460633,0.9702156403045654
Brunei,BRN,0.0005229958022119724,0.001102995555849289,1.8630399882956705,0.00010561576284393666,-0.00024118999999999999,0.0013024648464673757,-0.0011988444586233794,0.005473795208923817
Bhutan,BTN,0.0011027044050083417,0.002294210433516887,-0.11266906334265528,0.0009887697285101563,-0.0009864927622544766,0.0031384226639187334,-0.010908493943457604,0.008297227486631871
Botswana,BWA,0.004249152956322475,0.0223009166314642,1.0725457242120329,0.00037286051257126503,-0.01172475369496584,0.022693920480418205,-0.06539534333683014,0.11213011470964432
Central African Republic,CAF,0.027809555058544558,0.025778940438097767,-0.8486139879611342,0.028947039388766287,0.005816728255649805,0.0484849944889164,-0.12807413024074554,0.10429511189186096
Canada,CAN,0.185209311104442,0.1313342901232463,-0.013013380802160052,0.19081784832988738,0.058385956294040676,0.29924394772807916,-0.18511156463256837,0.6532624125343323
Switzerland,CHE,0.0012670223762063944,0.0023068891486569057,-1.0115540658952111,0.0011568088237580657,-4.065783117839135e-05,0.002850560790820122,-0.012197887999794483,0.010780260446658134
Chile,CHL,0.00913961140319198,0.01722712266354388,-0.06866417479423363,0.009154502893857955,-0.005359243671943306,0.02431575233938217,-0.03932997897727013,0.05750129571663856
China,CHN,0.28992245356748725,0.1358916695395835,0.15547976884422343,0.29019445303649904,0.17456490849658965,0.40399889924088433,-0.14974214927856444,0.8163492877845764
Ivory Coast,CIV,-0.0117493936825424,0.033146640264238095,-1.1529765367542575,-0.007425320542373652,-0.037324778628034586,0.01601305226302624,-0.214647334678421,0.09145797017534256
