iso,Country,FaWnet_median_gain_loss,FaWnet_median_rel_change_percent,FaWnet_tf_median_gain_loss,FaWnet_tf_median_rel_change_percent,FabWnet_median_gain_loss,FabWnet_median_rel_change_percent,FabWnet_tf_median_gain_loss,FabWnet_tf_median_rel_change_percent,FbWnet_median_gain_loss,FbWnet_median_rel_change_percent,FcWnet_median_gain_loss,FcWnet_median_rel_change_percent
NZL,New Zealand,-6.536273744472965e-10,-1.4587057165592321e-08,-3.7146827835954355e-09,-1.7102176313263175e-07,0.03975135046003686,0.8604024706966095,0.04166585225810637,2.0417788189125488,0.02586155761418911,778.5076964015623,-0.0015068470806260947,0.02717736215347587
CYP,Cyprus,0.030475113789303676,-10.76036356798804,0.00027209139328671084,-0.1328088866751449,0.015046915054741886,-14.421358181933824,0.0005639704615494831,-1.6889778241275573,-0.00022199431210961906,-0.1325335363450656,-1.1102230246251565e-16,1.0943003811515407e-13
DNK,Denmark,0.1951529468638311,7.6386034072509394,-2.118671904582925e-10,-1.9186550992014475e-08,0.199105553853699,12.764414633882815,0.0002595637867164602,0.1849165749211586,0.00390639517976743,-0.41413813016662826,-0.21015053664998185,1.9217503634717723
CHN,China,0.051086139809346065,-0.6846664585874115,-4.789653686998463e-07,1.347509099307958e-06,0.11290420752850139,0.1748881130895514,-0.015566211871984592,-0.041184529196947,0.05356048363547927,0.06296671328208761,-6.9151916664905,0.5646454404181394
IND,India,0.01869576564564568,-0.0038019086182073587,-1.9158761688231607e-07,5.3705143915997224e-08,-0.5397768555340576,0.20038097506484506,-0.36250413417872096,0.25580192851526173,0.0824063859134867,0.038911543790918886,0.0,0.0
GBR,United Kingdom,0.14548852472229434,1.0691731241200442,2.7777212530111228e-08,4.2344901699406254e-07,0.16027120774209802,2.1305646676380516,0.011109037911146147,1.9492935143697125,-0.00825118487615395,0.14989874807172898,-0.21652521457312446,0.22572461802077892
NLD,Netherlands,-1.8057639827873118e-08,-4.6744385091406454e-07,3.848558360886045e-09,1.7828544459283088e-07,-0.009805661878930394,-0.6110965175865637,-0.0019529383041487006,6.114865851727166,-0.004485432790075183,0.20829258470480952,-0.9564875654626661,2.6473680245503126
FRA,France,0.015345942183689232,0.13754999298843504,0.012856358134320622,0.16716540243189865,-0.028685030210738205,-0.20098721467100075,0.05849872933036515,0.5205758444928977,0.04075171302473013,0.8945538784967073,-0.699408947786786,1.1809375370829474
KAZ,Kazakhstan,0.005660492080084012,0.04315039130768867,4.405040776589431e-09,1.0631918164286642e-07,-0.001625592249563823,-0.019200521154455617,-0.01359798617233876,-0.9874553305397377,0.01626013261500825,-0.4877857525587636,7.105427357601002e-15,-1.1346737560478282e-14
USA,United States of America,0.34555718503895605,0.36169511049330527,0.08978171531703083,0.15632667917007542,0.21752987449525563,0.2002595055492008,0.27800878344795876,0.36765170976398204,0.06548930707360512,0.2468557454528075,0.0,-0.0
FIN,Finland,0.025872578259697576,0.24524037345055688,0.0028951371796548386,0.03606872277240103,0.058560921385510945,1.0575317434093314,0.012174089983971292,0.39051245394089423,0.008975264320526755,-0.1854506207717031,-7.105427357601002e-15,3.021954282889898e-14
