,ATA,CHL,ARG,SGS,FLK,ATF,NZL,AUS,URY,ZAF,BRA,LSO,NAM,PRY,SWZ,BWA,MOZ,MDG,BOL,ZWE,NCL,COK,FRA,MUS,VUT,PER,PYF,AGO,ZMB,FJI,MWI,WSM,COD,COM,TZA,PNG,SLB,IDN,TLS,ECU,COG,BDI,KEN,COL,GAB,RWA,UGA,SOM,STP,VEN,GUY,GNQ,MYS,KIR,SUR,CMR,CAF,SSD,ETH,BRN,LBR,CIV,NGA,GHA,PHL,TGO,BEN,LKA,THA,PAN,SLE,GIN,TCD,IND,CRI,SDN,VNM,TTO,MLI,BFA,MMR,KHM,NIC,GNB,DJI,NER,SEN,ERI,YEM,SLV,HND,VCT,GMB,GTM,LAO,MEX,CPV,MRT,BLZ,SAU,OMN,JAM,VIR,HTI,DOM,PRI,CHN,USA,DZA,CYM,LBY,CUB,MAR,ESH,BIR,BGD,BHS,EGY,HKG,TWN,ARE,PAK,QAT,IRN,JPN,NPL,BTN,ESP,KWT,JOR,IRQ,AFG,ISR,TUN,PSE,PRT,SYR,LBN,KOR,CYP,GRC,CYN,SGR,TKM,TUR,ITA,TJK,UZB,PRK,AZE,ARM,KGZ,ALB,KAZ,MKD,BGR,GEO,RUS,CAN,MNG,MNE,XKX,BIH,SRB,HRV,ROU,UKR,SVN,MDA,BAY,CHE,HUN,AUT,DEU,SVK,CZE,POL,BEL,LUX,GBR,NLD,IRL,BLR,LTU,DNK,SWE,LVA,EST,NOR,GRL,ALA,FIN,FRO,ISL
0,0.0,0.011263732,0.01622966,0.0,0.00023150258,0.0,0.0012546179,-0.080891825,0.05959548,0.010111247,0.69877434,-0.00019118868,-0.012938656,0.025892176,0.001539615,-0.0026180318,0.024845727,0.030802514,0.08135574,0.013422522,0.0,0.0,0.03699694,0.0,0.0,0.11244458,0.0,0.052215565,0.0335162,0.0,0.0037371854,0.0,0.20414373,0.0,0.0002550978,0.031779133,0.0,0.14077915,0.0,0.021931997,0.02231289,0.0006958114,0.016599901,0.07947166,0.016067354,4.6443012e-05,-0.0018941484,0.0031924439,0.0,0.06120857,0.018729677,0.0016437476,0.024009733,0.0,0.0137028955,0.017537627,0.03166067,0.005030056,0.049239527,0.0,0.008952123,0.00998805,-0.010438269,0.0024867007,0.011269153,-0.0003730047,-0.0013785854,0.0047547426,0.030930685,0.0037720953,0.007849333,0.013608591,-0.013517864,0.2473255,0.0016368176,0.00166195,0.024048127,0.0,-0.0042191,-0.0069143954,0.054122504,0.017111156,0.006222384,0.0010033128,2.0474223e-05,-0.0015449245,0.00055825425,4.8416063e-05,-7.126785e-05,-1.207636e-05,0.0019069375,0.0,0.0004783324,0.0036478941,0.018446488,0.069881685,0.0,0.00024366165,0.00036523564,0.00078570173,0.00023826433,0.0,0.0,-0.001530767,0.0026213357,0.0013317643,0.15251362,0.45933124,0.009618183,0.0,0.00075990026,-0.0008919151,0.0007287862,-6.96489e-07,0.0,0.005711096,0.0,0.00024552707,0.0,0.0002550419,3.9295162e-05,0.012258553,8.33368e-06,0.0063797403,0.019474514,0.0057161762,0.0012597871,0.04381773,2.3702185e-05,-2.0069509e-05,0.002123534,0.0022714736,-0.0006978659,0.0005238239,0.0001081023,0.004736116,0.0019660315,-0.00010826037,0.012223889,0.0,0.003640477,0.0,-9.281779e-06,0.0030021695,0.026031598,0.0014203882,0.001114417,0.0022841587,0.00981275,0.0015190716,0.0039447066,0.003561717,0.00034802433,0.12101,0.0001573822,0.00083223806,0.005514068,0.29525158,0.2014222,0.044421766,-0.00049214443,-3.4622826e-05,0.0037205196,0.0018226851,0.0004761474,0.017658938,0.040825706,-0.00061961083,0.0012589062,-7.709135e-07,0.0007709531,0.0037181303,0.008134955,-0.021598745,0.0039232196,0.009699104,-0.0012673119,0.0011814488,0.0,-0.010041458,0.0001442729,-0.0005046776,0.007957504,-0.0030840351,-0.008719985,-0.006237188,0.00060797983,-0.0017188337,0.0033631842,0.0023147238,0.0,-0.019786905,0.0,0.0054729665
1,0.0,0.023202518,0.19398266,0.0,0.0013999029,0.0,0.017816994,0.02226215,0.023684599,0.011830756,0.450691,0.0007174214,0.024794059,0.04522316,0.000952807,0.007567463,0.017821921,0.031404726,0.08304342,0.0028815514,0.0,0.0,0.073962756,0.0,0.0,0.07803811,0.0,0.08720664,0.029929243,0.0,0.002527009,0.0,0.21343414,0.0,-0.0025087793,0.030505482,0.0,0.11711644,0.0,0.014507681,0.02698669,0.0017698127,-0.00653786,0.07107233,0.020870168,0.0017147103,0.018520223,-0.0024901808,0.0,0.04553847,0.018995486,0.0019161736,0.02471262,0.0,0.015121625,0.026959332,0.03150559,0.021011472,0.046379924,0.0,0.010155408,0.018820789,0.019446937,0.001974384,0.01128254,-0.0012860633,-0.0013369751,0.0015336388,0.020695642,0.0040104357,0.0075489734,0.017860735,0.019067882,0.043053273,0.0025863447,0.017665854,0.016187308,0.0,0.0043182727,0.0039128656,0.025797607,0.014342345,0.0065820543,0.00075358927,-1.0699316e-05,-0.0024849176,-0.006594404,-2.0903222e-07,4.332992e-05,5.4956505e-05,0.0056757755,0.0,9.1580245e-05,0.008463934,0.01346533,0.10702581,0.0,-2.6265603e-05,0.0006333921,-0.00029363274,0.0001739932,0.0,0.0,0.0022819082,0.0005881983,0.0007720798,0.3374507,0.6266169,-0.001292177,0.0,0.00048477013,0.00016474878,-0.006493061,-1.2450188e-05,0.0,3.8808128e-05,0.0,5.991031e-05,0.0,0.00045243272,4.9519906e-05,0.003041105,1.5393323e-05,-0.0033578898,0.015361093,0.0021577182,0.001564869,0.0036932477,-2.1349897e-05,-0.0001552154,3.6194793e-05,0.00023417668,-0.0004052823,0.00024172994,0.00045581028,0.0071577583,-0.0018821267,5.952061e-05,-0.0018420344,0.0,0.018786367,0.0,-1.284594e-05,0.0013248305,0.006789888,0.025190415,0.00097593287,0.0029505068,-0.005636348,-0.0032435094,0.002530679,0.0009289053,0.009093029,0.027000058,0.0038743492,0.02841356,-0.0047628954,0.32394975,0.25689393,0.020633178,0.005940461,0.0027904531,0.008805347,0.021014731,0.009027273,0.02553904,-0.0049643535,0.0007908388,-0.0013995612,1.9623334e-05,0.0041413857,0.017394567,-0.005619254,0.020200549,0.010626701,-0.009118293,0.007426655,0.002201922,0.0,0.027991213,-5.9424714e-05,0.0024609359,-0.0093302475,-0.0011426953,-0.001123819,-0.017018333,-0.001886825,-0.0014737297,-0.012247338,-0.00050074625,0.0,-0.0038480503,0.0,0.0015544118
2,0.0,0.018015102,0.123129815,0.0,0.00057887065,0.0,0.009542073,-0.036452267,0.0043552085,-0.042094592,-0.022170654,-0.0034718488,-0.021352436,0.027922465,0.0001576375,-0.00932496,-0.0044495785,0.0031507073,0.026505392,-0.017266687,0.0,0.0,-0.054211542,0.0,0.0,0.055160753,0.0,0.023982398,0.017559933,0.0,-0.002034056,0.0,0.21526837,0.0,0.016805256,0.036630016,0.0,0.10607895,0.0,0.013706046,0.024574608,0.0021772052,0.021724297,0.03850532,0.01704585,0.00038346945,0.01616197,0.0022591013,0.0,0.007377414,0.01309546,0.0012950483,0.016638018,0.0,0.012084517,0.024947368,0.031091334,0.01424949,0.019443577,0.0,0.007043128,-0.01571387,0.004988586,-0.00091153133,0.008687346,-6.266483e-05,-0.0006737358,0.0062309112,-0.0021807451,0.0035193565,0.006987808,0.0075660697,0.0067517413,0.08003151,0.0024861973,-0.007602258,0.009568107,0.0,0.0077012624,0.0028862944,0.043701798,0.0047649527,0.005732899,0.00080567395,-8.902209e-06,0.0015366228,0.0054008686,-4.3914148e-05,-2.3085493e-05,-0.0006028451,0.00044094882,0.0,-9.3995055e-05,-0.0028497973,0.004962505,0.0417998,0.0,0.00017851009,-0.00010595336,-0.00048562823,-0.00023316409,0.0,0.0,-0.00083743205,-0.00021907908,-0.000117768075,0.1842465,0.19736592,-0.0015989793,0.0,-0.0004832117,-0.005762312,-0.0017992043,-7.475921e-06,0.0,0.006178358,0.0,-0.0001953294,0.0,0.0015710759,-4.2869247e-05,0.021198558,-1.36198205e-05,-0.0014673023,-0.00537966,0.005281591,0.0031810922,-0.013831086,-1.536999e-05,0.00020293242,-0.0012054904,0.0028992223,0.0006934642,0.0005592527,0.0003117674,0.0006475245,0.00022381968,0.00039348955,-0.0017032796,0.0,0.010222083,0.0,-9.714021e-06,0.00292432,0.030810162,-0.012498907,0.001535716,0.0037659926,-0.0014106933,0.001098532,0.00075371,0.0019704697,-0.0026811555,0.042509608,-0.00015000041,-0.000107539665,0.0001864761,0.44997966,0.18547207,-0.032903273,-0.004574005,-0.0002329401,-0.003287162,-0.0069360724,0.0044323783,-0.026335346,-0.014022638,0.0011748885,-0.0011091179,4.3376982e-05,-0.0075384774,-0.008269977,0.0076789786,-0.023885185,-0.011288225,-0.0077691,-0.021008767,-0.0020718037,0.0,0.017739933,0.0010316833,0.0054098824,-0.0013844719,-0.0012733851,0.011244609,0.029919052,0.0037927835,0.0015778004,0.007204918,-0.004127026,0.0,0.045322552,0.0,-0.0077237985
3,0.0,-0.014602435,0.14915285,0.0,-0.00046898454,0.0,0.0052902224,0.08267397,0.02555254,-0.033155676,0.377028,-0.0030746288,-0.017939273,0.057505503,0.00053887273,-0.016038528,-0.0018324597,0.015333522,0.029431786,-0.036015715,0.0,0.0,-0.017187351,0.0,0.0,0.10231729,0.0,0.038230002,-0.040427126,0.0,0.0028148445,0.0,0.17079143,0.0,0.075244285,0.022201857,0.0,0.14854632,0.0,0.015986703,0.018883297,0.0041861543,0.0039833453,0.06067429,0.015638115,0.0016910286,-0.008657395,0.0020076686,0.0,0.04356825,0.014887669,0.0013348333,0.023212437,0.0,0.01075931,0.029315434,0.04002017,0.004021261,0.04753474,0.0,0.0009775872,-0.046089407,0.022210475,-0.010877414,0.0073242853,-0.0015460403,-0.0024412514,0.00071052316,0.017205413,0.0034750437,0.0055167545,0.0056940345,-0.0039060956,0.10185752,0.0014979764,0.00762479,0.018419873,0.0,-0.0071281656,-0.0024674796,0.043662153,0.006743375,0.004290778,0.0002930489,7.710624e-06,0.00033923585,0.0035569067,7.891557e-05,0.000103317805,0.00025488858,0.0031251449,0.0,-0.0005717736,0.0044215266,0.011275208,0.06429391,0.0,-0.00017674458,0.000523652,6.666525e-05,-0.00013856862,0.0,0.0,0.0018460541,0.0017286914,0.0009245172,0.18851082,0.07718306,-0.003471079,0.0,-0.0011013489,0.005947138,-0.0105704125,1.0889052e-06,0.0,0.00071315037,0.0,-2.2621472e-05,0.0,0.00042080047,-1.0476182e-05,0.0020100577,1.5047823e-05,0.006566751,0.036078207,0.0026317944,0.00015324361,-0.016762622,2.565932e-05,7.230552e-05,0.0024177553,0.00052030047,0.00038051064,-0.00021036131,-0.0008400851,0.0017800792,-0.0008113116,-0.00023732307,0.0051821573,0.0,-0.00019315437,0.0,-5.4432935e-06,0.00012935177,0.0012772819,0.013471931,0.0014217844,0.0048728357,0.012746429,0.0075806715,0.0017981027,0.008857855,0.0067093666,0.113670126,0.0007786529,-0.0058896984,0.010107742,-0.055082586,0.3596385,0.003937775,0.0055179186,0.00027418823,0.007773529,0.014066365,0.0059397444,0.025957307,0.018485289,-0.00011507996,0.00061815773,8.870785e-05,0.0038654297,0.015058814,0.008382208,0.006691251,0.013189786,0.016963271,0.013926587,0.0017612544,0.0,-0.013725622,-0.0002624534,-0.00074457494,0.013411013,0.00948244,-0.0068983585,0.038448747,0.0061619803,0.0027119075,0.017801585,-0.0030557304,0.0,0.038315423,0.0,0.0056677703
4,0.0,0.036230925,0.059330907,0.0,0.0008296747,0.0,0.014857387,0.06595508,0.000229225,0.02771661,0.47558868,9.14612e-05,0.012291321,0.013771763,0.0017566636,0.03572391,0.085957415,0.0057975776,0.066770025,0.076489165,0.0,0.0,-0.03411417,0.0,0.0,0.12125743,0.0,0.09598961,0.09232656,0.0,0.009060948,0.0,0.25329575,0.0,0.010888916,0.03631121,0.0,0.17762187,0.0,0.025941012,0.03713533,0.00064427115,0.052592613,0.12498639,0.026989855,0.0004849432,0.02643016,0.015298978,0.0,0.0889153,0.023713745,0.002349847,0.039618324,0.0,0.017040927,0.037918333,0.043665174,0.03458555,0.08198861,0.0,0.008373181,-0.056897208,0.028088948,-0.0018506031,0.020999303,-0.001128306,0.000824085,0.004875998,0.066486284,0.0052109095,0.008252164,0.0075508296,0.007172089,0.14974304,0.0028796664,0.010812541,0.039816983,0.0,-0.015163187,-0.0032160592,0.07813186,0.034134664,0.011172569,0.0007294705,6.067765e-06,0.0008096031,-0.0043978617,7.7065255e-07,1.6133763e-05,0.00041152033,0.0064350357,0.0,9.807906e-05,0.0090637775,0.030960022,0.055706684,0.0,-4.4507735e-05,0.0010634427,0.00014675166,-5.384892e-05,0.0,0.0,0.002456858,0.002374685,0.0015482339,0.22222537,0.26577705,-0.003640913,0.0,0.00039863132,0.005505425,0.0015287577,-5.0610133e-06,0.0,0.0040749405,0.0,-8.9818765e-05,0.0,0.00081813306,-9.757006e-07,0.0063692895,3.500557e-05,0.0028423509,0.027192147,0.0057378737,0.0031748882,-0.024231873,-1.1813913e-05,-0.00023182378,0.0001311958,0.00039959635,0.000118999094,-0.00012935768,-0.0005744361,-0.00028798246,0.0010515196,0.00042584955,-0.00380963,0.0,-0.00013998042,0.0,-9.993499e-06,-0.00025027164,-0.0045894925,0.016012292,0.0008553175,0.0016163782,-0.0031184624,6.8431684e-05,0.0012450579,0.006926736,-0.006111376,0.057322428,-0.0014455745,-0.0018486656,0.0026868535,0.24226707,0.20369714,-0.019664103,-0.0035078009,-0.0021317513,-0.009942949,-0.017299531,-0.009603578,0.0001959044,0.027846133,0.0021496627,0.00025135957,-3.4944056e-05,-0.00206654,-0.011882843,0.011148272,0.05243685,0.008044851,0.020978337,0.051946443,0.00095049257,0.0,0.012011431,0.00045353742,0.00024185173,0.0052309944,0.0011343339,0.009645027,-0.011166706,0.001080278,0.0004036798,0.005782895,-0.00631726,0.0,-0.017626626,0.0,-0.0007676471
5,0.0,0.0199614,-0.082106754,0.0,0.0013302186,0.0,-0.0018492532,-0.056468632,-0.036939815,-0.006040407,0.69895864,-0.002033804,0.0025475812,0.050547652,0.0014413428,8.142636e-05,0.04558842,0.037069056,0.113705084,0.003272732,0.0,0.0,-0.029108819,0.0,0.0,0.12581009,0.0,0.0823026,0.034285612,0.0,0.00609139,0.0,0.24539447,0.0,0.05403506,0.03740348,0.0,0.13435847,0.0,0.015199664,0.025944633,0.0021396682,0.023929756,0.10105281,0.019631097,0.0014189319,0.009009183,-0.00011689097,0.0,0.08573701,0.023715587,0.0015549597,0.025204398,0.0,0.018193807,0.033230066,0.034865797,0.015654853,0.053094815,0.0,0.01181775,-0.008127769,0.05028552,0.0069759525,0.0110034915,0.00041956856,0.0014809413,0.004517377,0.032600228,0.0054992214,0.008886094,0.0046075815,0.0064766067,0.102884196,0.0035431988,0.03750018,0.02078757,0.0,0.016845442,0.010405362,0.066521846,0.016193975,0.010746256,0.0007040811,1.0708884e-05,0.007129927,0.0008937253,1.94233e-05,7.01905e-05,9.425298e-05,0.0077478704,0.0,0.00046721264,0.0094501795,0.019911733,0.060464453,0.0,-0.00021421748,0.0011967088,0.00086762843,0.000109709916,0.0,0.0,0.0017946854,0.0023819571,0.0012134069,0.2134125,0.3119129,0.012154126,0.0,0.0032394608,0.005217231,0.017660389,-6.7024547e-07,0.0,0.003890541,0.0,0.00020315865,0.0,0.0013262824,-1.1649329e-05,-0.0026270554,-2.436575e-05,-0.0032341995,-0.014297024,0.005797679,0.0013934008,0.035063475,8.402792e-06,-0.00034966314,0.0008738475,-0.0027848808,-0.00015325742,0.0013433886,0.00014801748,0.006821745,0.0010621017,3.6543438e-06,0.0012071234,0.0,0.0071479515,0.0,-2.8514535e-06,-0.0031379354,0.013318288,-0.043706007,0.0008645191,-0.0026841143,0.010351956,0.00017830114,0.0006296399,0.004049127,0.001975388,0.066593535,0.00040669448,0.0048044454,-0.0008374439,0.27521166,-0.051827677,0.02283073,0.0003440791,0.00054944365,0.0028464685,0.0021588355,0.006621574,-0.00667298,0.011784627,-0.0019133528,0.0005674549,-3.375904e-05,-0.010971039,0.0026324906,-0.0059861923,-0.1284658,-0.005744364,-0.03422155,-0.029645676,-0.005317132,0.0,-0.05206623,-0.0005988398,-0.020283166,-0.0031031894,-0.006198973,-0.013568617,-0.052269522,-0.0035661317,-0.0020054916,-0.030792927,0.0088457605,0.0,-0.06178967,0.0,0.0019921693
6,0.0,0.009574211,0.13806835,0.0,0.0006601172,0.0,0.011393464,-0.08568062,0.049680784,-0.036141776,0.19806395,-0.0024066158,0.0008836058,0.0020966653,0.00021557206,-0.0040612947,0.050120365,0.02614755,0.013129132,0.011600758,0.0,0.0,-0.047680683,0.0,0.0,0.09683255,0.0,0.069856726,0.01319132,0.0,0.011179934,0.0,0.1874259,0.0,0.05882503,0.043987647,0.0,0.083413504,0.0,0.020505214,0.027861027,0.0018304044,0.04424718,0.06645854,0.019769277,0.00086937327,0.026695432,0.0072514527,0.0,0.03979544,0.018031703,0.0016174387,0.018032229,0.0,0.011363179,0.028739773,0.020704515,0.028137231,0.06477674,0.0,0.009263188,-0.0052181883,0.020117402,0.008490571,0.010751076,-0.000103085404,0.0003963661,0.00233487,-0.01604538,0.0024069967,0.008607081,0.017794596,0.0107521275,0.13801777,0.00112517,0.018826457,0.013900406,0.0,0.004983661,-3.4509234e-05,0.013251887,0.0024709136,0.0005575324,-0.00013900708,-9.110543e-07,-0.004958237,-0.0019654152,-3.038863e-05,-0.00017241063,-0.00034881098,-0.0015825588,0.0,-0.00062611094,-0.00037950088,0.0052924613,-0.0043133544,0.0,0.00060475786,-2.3780949e-05,0.00058766815,7.121454e-05,0.0,0.0,0.00078783074,0.00020553329,5.1306477e-05,-0.043883864,0.37910885,-0.00086266076,0.0,0.003571287,0.0016401802,-0.005779589,5.124065e-06,0.0,0.00093455386,0.0,0.0001983193,0.0,0.0019131289,2.9670568e-06,0.010002641,1.8682742e-05,0.019995356,0.0005327558,0.0011862377,0.00068338646,-0.028126298,3.2946605e-06,0.0002372942,0.0024366884,-0.00033621571,-1.58049e-05,0.001116464,0.0009773156,-0.00070679147,0.0034333065,0.0001550379,0.0067389626,0.0,0.0015283291,0.0,2.4910794e-05,0.0044254735,0.024409117,0.0056087226,0.0030314522,0.0023415668,-0.0038956853,-0.0017441475,-0.001053278,0.0027515138,-0.0009735564,0.01847295,-0.0018172713,-0.008781689,0.0005218708,0.47629818,0.28430936,0.015136406,0.0016579389,-0.00021502562,0.005360454,-0.008306901,0.0012120534,-0.014753087,-0.008475911,0.0027302455,-0.0016419762,-3.36984e-05,0.003969002,-0.008424361,0.00048804804,-0.049187396,-0.0069902088,-0.010082909,-0.027106903,-0.0044258726,0.0,0.027614508,-0.000975518,0.008341111,-0.005942876,-0.0022837804,0.0034435508,0.02562997,-0.0018533146,-0.0011762287,0.034969207,-0.007851546,0.0,0.02009959,0.0,-0.0054648393
7,0.0,0.0023008168,-0.058112964,0.0,-0.001921757,0.0,0.015838332,0.10429381,-0.02448307,0.030596845,0.54279804,0.0021933762,0.0051463926,-0.017991263,0.0009383937,0.0067296596,-0.008127347,0.020777857,-0.02971739,0.014752005,0.0,0.0,-0.02702743,0.0,0.0,0.079143055,0.0,0.071135476,0.048654586,0.0,0.0038233846,0.0,0.20215304,0.0,0.11482478,0.028324505,0.0,0.17283702,0.0,0.018383741,0.02294182,0.0060388804,0.009104985,0.076892845,0.018139064,0.0023739752,0.025381899,-0.0077558253,0.0,0.056415707,0.01993612,0.0015267842,0.03277276,0.0,0.009504268,0.023963194,0.02908025,0.021003421,0.057879243,0.0,0.008381459,-0.009261206,0.032672863,0.0039019494,0.010079953,0.00017409216,-0.0022900612,0.005292466,0.010362995,0.005701,0.006416591,0.012459977,0.0025577575,0.24052653,0.0021983741,0.0018989138,0.02155129,0.0,0.0051273135,-0.0010885071,0.05832245,0.013762268,0.0067168046,-0.0007539993,-3.5629168e-07,0.013704462,0.0012024017,4.2738637e-05,-9.390768e-06,5.0589882e-05,0.0037306768,0.0,-0.00090872677,0.004455371,0.010720488,-0.0005247519,0.0,-1.778823e-05,0.0004498872,-0.00025067653,0.00014849119,0.0,0.0,-0.0038842568,-0.0007533223,0.0009585916,0.29709792,0.3569642,-0.0050065992,0.0,-0.00219681,0.0022146185,-0.0058027403,-3.215191e-06,0.0,0.0057247267,0.0,9.242225e-05,0.0,0.0008674405,3.2207976e-05,0.02097522,-2.0688616e-05,0.016651569,0.046638623,0.0077139786,0.002175687,0.004463084,1.3099192e-05,0.00029115894,0.001675332,0.0071545686,0.0003854267,-8.595677e-05,0.00061179505,-0.00024893362,0.0011363849,0.0002059315,0.0105298525,0.0,0.006499598,0.0,-4.3508517e-06,0.0011756395,0.0018397705,0.01903616,0.0015439723,-0.0018868627,0.012949031,-0.00034023053,-0.0028435735,0.004027611,0.0075903125,0.0054584155,0.0022794018,-0.0040195435,0.0055374135,0.2492645,0.08273248,0.028579982,0.0027250615,0.0010225774,0.005531746,0.007957525,-0.0022816665,0.027102407,0.026459146,0.00065691775,0.00075905444,-9.498399e-06,0.008376939,0.017239671,0.022478117,0.0041903853,0.017586429,0.02921969,0.03327449,-0.0032967739,0.0,-0.0077900323,-4.4985445e-05,-0.0007581125,0.008530285,0.004217534,0.009546244,0.016553257,0.0021130678,0.004838805,-0.007072026,0.0031321845,0.0,0.018694999,0.0,0.00042373626
8,0.0,-0.008796185,0.066034116,0.0,-0.00044319555,0.0,0.008273704,0.23366266,0.022318663,0.051469423,0.90704507,0.0039929356,0.008648226,0.01832488,0.0012406782,0.0038366169,0.022672579,0.019958364,0.06642165,0.010127143,0.0,0.0,0.16878815,0.0,0.0,0.12829405,0.0,0.09438638,0.013175479,0.0,-0.0016110969,0.0,0.22526605,0.0,0.030101385,0.0350617,0.0,0.17733523,0.0,0.023705045,0.030488936,0.002075053,0.047392055,0.118110165,0.022110436,0.0015770128,-0.004315925,0.009873298,0.0,0.0802958,0.029917313,0.0018976026,0.036515094,0.0,0.02095889,0.033997364,0.04041406,0.0047162045,0.054575417,0.0,0.010074024,0.00047784118,-0.0040461165,0.007287004,0.017314188,-0.00050021743,-0.0022071593,0.006132989,0.043362014,0.0060509215,0.008299245,0.009893029,-0.0072071305,0.12521587,0.0035773846,-0.012669704,0.029807145,0.0,-0.007846564,-0.0005681917,0.036011316,0.02680734,0.009891934,0.00064150157,-8.212476e-06,-0.013157736,-0.0016482072,9.848277e-06,5.416748e-05,0.0005317744,0.0058251214,0.0,0.00013455003,0.008648351,0.020108104,0.09908983,0.0,-0.00027951613,0.00077445013,-0.00081064855,-0.00022103814,0.0,0.0,0.0038334792,0.00076912704,0.0012858489,0.3607289,0.22803871,-0.009946556,0.0,-0.00391641,0.0036636088,-0.004164977,3.6227622e-05,0.0,0.0013209173,0.0,-0.00018103464,0.0,0.0007901555,-2.810809e-05,-0.0038256133,-2.5963373e-05,-0.019898703,-0.023047842,0.004846874,0.000113024835,0.015977954,2.2953354e-05,-1.9642086e-05,-0.0032785705,-0.008799877,9.243961e-05,-0.001661464,-0.00037083123,0.009198315,-0.0021674647,8.254252e-05,0.0051151193,0.0,-0.0026703463,0.0,5.324077e-05,-0.0057154945,-0.00027028078,0.02102944,-9.825575e-05,-0.0036862174,0.018530091,-0.0016655393,-0.002790679,-0.0017584504,-0.0019168264,-0.02174105,-0.0004591468,0.00682369,-0.00328457,0.12466048,0.18015598,0.055185217,-0.003034989,-6.1685925e-05,-0.0060319672,-0.0031440242,-0.00020527132,0.019497558,0.025481138,-0.0018300408,0.0032524238,-1.7240205e-05,0.00986327,-0.0052967775,-0.011952304,0.12280151,-0.004324508,0.014057504,0.03361606,0.008613711,0.0,-0.002846641,0.00087916246,0.006945273,0.0056452546,0.0010039682,0.0022064487,0.0077264546,0.0010369298,-0.0018945608,0.011133173,-0.00085865316,0.0,0.011704507,0.0,0.002678531
9,0.0,0.02639038,-0.16792798,0.0,0.0013316366,0.0,0.0013521166,0.23620215,-0.0066021727,0.05091298,0.6845454,0.0031835746,-0.00029347916,-0.02482081,0.00089457387,0.024262007,0.064115,0.04685275,0.009517293,0.026632128,0.0,0.0,-0.09408418,0.0,0.0,0.07432612,0.0,0.084293194,0.05406575,0.0,0.0060129324,0.0,0.18769401,0.0,-0.0018839987,0.03358301,0.0,0.17863014,0.0,0.024219817,0.030293848,0.0017390709,0.030677142,0.10296412,0.02444725,0.0012731935,0.007594602,0.007336259,0.0,0.06714589,0.023136571,0.001964559,0.036596883,0.0,0.016720312,0.040606655,0.040397402,0.008510121,0.038097437,0.0,0.013402242,0.012717235,0.062214743,0.01327286,0.013391488,0.00095505366,0.0034429936,0.004943397,0.04872438,0.0047583017,0.01059656,0.027866788,0.014448314,0.20151891,0.0021540632,0.033274904,0.035874937,0.0,0.026503883,0.008105042,0.080680214,0.025472492,0.009022369,0.0016980247,-7.5571133e-06,0.009057414,0.013483651,2.4164858e-06,-9.824724e-05,0.00033324238,0.00608845,0.0,0.001132989,0.008570558,0.029675737,0.028084079,0.0,0.0002999569,0.0010035137,0.00069612626,-0.00010077681,0.0,0.0,-0.00020018821,0.0016401418,0.0010976632,0.0028275996,0.06687873,-0.008931963,0.0,0.0027147436,0.0018373772,-0.0068172673,-1.34464835e-05,0.0,0.005252441,0.0,0.00046285326,0.0,0.0012540019,-1.4114257e-06,0.011618905,3.5880854e-05,-0.02137829,0.013207932,0.0016848065,0.0018915887,-0.060967077,-2.179545e-05,-8.848011e-05,-0.002577603,-0.011042464,0.000118721524,-0.0021004854,4.919468e-06,-0.011334279,-0.0008341372,0.00039564865,-0.0071657132,0.0,0.0029745586,0.0,1.0099024e-05,-0.0022411728,0.014934865,-0.022978742,0.0016014295,0.00073763466,-0.004504521,0.0019461773,-0.0011344979,0.0013773326,-0.000102125414,0.036578797,0.00044872807,-0.0031622106,0.006514912,0.47991696,0.1809946,0.012694904,-0.002372606,0.00028997587,-0.0070058643,-0.006522113,-0.014810937,-0.022022277,0.016172102,-0.000244571,0.00042032648,-7.0881283e-06,-0.012124178,-0.016344601,-0.018500283,-0.08935232,-0.016415192,-0.032783907,-0.029435731,-0.0028807756,0.0,-0.007770679,-0.00015712752,-0.0039407304,0.0039865253,0.0032504222,-0.009011372,0.010008004,-0.0007657659,-0.0015049502,0.013967708,-0.00060135964,0.0,0.009756246,0.0,0.0020988206
