iso,Country,CSCC_mean,CSCC_gtc_mean,Fa_mean,Fa_tf_mean,Fa_mf_mean,Fb_mean,Fc_mean
GBR,United Kingdom,-0.7495586657410462,-3.54799165718309,0.004495315,0.00036357806,0.00036357806,-0.00303592425,-0.10520653707100744
GEO,Georgia,-0.0014078566102184258,-0.006664006082334731,0.0017533173,0.0010926975,0.00090559386,0.00147472875,-0.00276011615827471
GHA,Ghana,0.8818633788832507,4.174248199718635,0.0073309653,0.004030581,0.004030581,-0.0026741875000000003,-0.004209249120437552
GIN,Guinea,0.42387763491559777,2.0063997403861715,0.0076468266,0.0059601595,0.0059601595,-0.004596976250000001,-0.0008943080084727262
GMB,Gambia,0.05129058530716438,0.24278095508634387,0.00018033772,0.0,0.0,-0.00027755725000000003,-0.00017044080262165222
GNB,Guinea-Bissau,0.04265998565146192,0.2019285215484752,0.00083696895,0.00058661023,0.00058661023,-0.000476122,-8.036805084076596e-05
GNQ,Equatorial Guinea,0.06916756938759623,0.32740060298309653,0.0017893116,0.0016782486,0.0014450587,-0.00078445025,-0.001583677803032529
GRC,Greece,0.16648749689610307,0.7880587297709128,0.0044967355,0.0017662486,0.0017662486,0.00157823575,-0.018835923871396203
GRD,Grenada,,,,,,9.630750000000001e-06,-7.94987544746146e-05
GRL,Greenland,,,0.0005596766,0.0,0.0,,-0.0001493796163360071
GTM,Guatemala,0.4509506392828748,2.134548206970859,0.00835971,0.007636734,0.0071887914,-0.00657371725,-0.00463844283092558
GUY,Guyana,0.012252967675520842,0.05799869853482688,0.014588398,0.014073479,0.00413697,-0.0011366725,-0.0006897062880055181
HKG,Hong Kong S.A.R.,,,0.00013916842,0.0,0.0,,-0.010950593962079508
HND,Honduras,0.22007850034897905,1.0417285782315306,0.006452711,0.005916943,0.0057222587,-0.002615071,-0.0027506181840298823
HRV,Croatia,0.0018785561750472312,0.008892034661527048,0.001755217,0.0011842212,0.0011842212,0.0005300125,-0.004861045065775108
HTI,Haiti,0.14339986661543022,0.6787747959523764,0.0009813666,0.00031915787,0.00031915787,-0.00028322100000000006,-0.0007696755978428149
HUN,Hungary,-0.03251950720184224,-0.15392916594963651,0.0010978762,0.0005118324,0.0005118324,0.001689856,-0.01280009061093045
IDN,Indonesia,6.16463657647455,29.17994300189131,0.1524172,0.12372272,0.0994789,-0.23309686150000003,-0.1578151008395883
IND,India,39.87199209455405,188.73171877332496,0.13594012,0.026258135,0.02482953,0.014114397749999999,-0.6621421014752247
IRL,Ireland,-0.08878597962563343,-0.4202631887060378,0.00156157,4.4911787e-05,4.4911787e-05,0.00065994575,-0.010316607319268641
IRN,Iran,1.0688009297795247,5.059106051823508,0.0026517224,-0.00025127464,-0.00025127464,0.00047060449999999996,-0.18135374969407042
IRQ,Iraq,1.1913413678664766,5.639143975299761,0.0014016506,0.0,0.0,-0.00106420875,-0.03567207035090743
ISL,Iceland,-0.03579989693783778,-0.16945669694564544,0.0011376477,0.0,0.0,-7.914925e-05,-0.0009624537123362446
ISR,Israel,0.6636379870863272,3.141291201328751,0.0002185801,0.0,0.0,-0.00026795,-0.01621344183665557
ITA,Italy,0.3822598073036927,1.809404212342825,0.0031300092,0.0016071172,0.0016071172,0.00521076625,-0.09440230694684607
JAM,Jamaica,0.02782040614830241,0.13168624875550794,0.0003405303,0.00028853054,0.00028853054,0.00010500225,-0.002109313288700005
JOR,Jordan,0.22695746821786444,1.0742897662003292,0.00011776085,0.0,0.0,-5.48715e-05,-0.006499234366203076
JPN,Japan,1.0041263694094047,4.752972841558624,0.020361856,0.013478048,0.013383237,0.003099663,-0.3159390172993664
KAZ,Kazakhstan,-0.410208775063626,-1.941698999891024,0.022469783,0.00062733784,0.00062733784,-0.0053648559999999994,-0.07442127588188588
KEN,Kenya,0.7390247646920833,3.4981300589553337,0.035783634,0.005967977,0.005967977,-0.00202133475,-0.005060833395021632
KGZ,Kyrgyzstan,-0.04239774266789361,-0.20068720988018135,0.0032734885,0.0,0.0,-0.00031493075000000003,-0.0026773489792299592
