Country,iso,Fab_tf_mean,Fab_tf_std,Fab_tf_skew,Fab_tf_median,Fab_tf_q17,Fab_tf_q83,Fab_tf_min,Fab_tf_max
Afghanistan,AFG,-0.000710332632743577,0.0009127824758772094,-1.6771152846259827,-0.0005627094113384187,-0.0013109223846000434,2.028326668986274e-05,-0.004856584370477945,0.0013241150804620982
Angola,AGO,0.015928424128877173,0.028937366486277923,-0.1809076039783329,0.01649343839085579,-0.010206457226574038,0.041940356905060386,-0.11551478382417679,0.11934415627281189
Albania,ALB,0.000525298079951352,0.0013482038568103927,-0.1593479543874812,0.0005516706690492854,-0.0005624616086238204,0.0016498948458716274,-0.005316694174690247,0.005330399575388432
United Arab Emirates,ARE,0.000105226526,0.00013660918735216248,1.1631988084846636,3.6139999999999996e-05,1.6930000000000002e-05,0.00033552,6.910000000000001e-06,0.00038309
Argentina,ARG,-0.0105718584055773,0.049836537154196045,-0.6191029842056465,-0.004579674947924613,-0.055689260466763035,0.03438522673339844,-0.22009748608657836,0.12376058569316864
Armenia,ARM,-0.000151328131,0.0001598570384633453,-0.8994553371865407,-6.571e-05,-0.00038546,-1.754e-05,-0.0004942,-2.19e-06
Australia,AUS,0.002174649972526948,0.03896029234670908,0.20222347416083852,0.00033378106732010783,-0.028464332438750663,0.03446443541194916,-0.131284722263031,0.13137440501312256
Austria,AUT,0.0034539540023524494,0.004129044634923106,-0.11250475889410562,0.0034164737276688216,0.0002368928271346631,0.00677915050138079,-0.014376743892359734,0.020174076837682724
Azerbaijan,AZE,-0.0006339871044587712,0.0011267808119702879,0.6575671097430353,-0.0006457,-0.0015855851959782927,0.00024045496549836108,-0.004697502080102563,0.005111332028412819
Burundi,BDI,0.0002996841866992651,0.00152657455787206,-0.8100938025631882,0.0003629782639369368,-0.0009841667279797048,0.0016168146901430608,-0.008882770156853199,0.0048123366764473915
Belgium,BEL,-0.00033466805144038205,0.0012756911816137588,-0.6226930485778258,-0.0003456736236789823,-0.0010470762050487847,0.0005608580949341878,-0.007110779941461086,0.005865519668676853
Benin,BEN,-0.0028556588344866214,0.0025734468079834107,0.1994361028650289,-0.00290412,-0.005245253762471837,-0.00038891628714176116,-0.015043811691727638,0.011437238794310092
Burkina Faso,BFA,-0.004872539155,0.0015309155983645564,0.06344364333409645,-0.005334869999999999,-0.006223950000000001,-0.0030906099999999997,-0.00735097,-0.00276063
Bangladesh,BGD,0.00027667504832568947,0.0035689325432073002,0.3443598261808029,-0.0004084874256606399,-0.0028078109254807233,0.004312165573935834,-0.014215256071283818,0.012350832930793762
Bulgaria,BGR,0.003206312073352762,0.005064208914472272,1.3107066056962764,0.0028850432023751734,-0.00047065172870532773,0.006485193335499764,-0.011956578768427373,0.03329505365682602
The Bahamas,BHS,4.830353821367156e-06,9.506879450212998e-06,0.7522845383488235,2.5e-06,1e-08,1.243e-05,-7.646193312898279e-05,8.22494722052291e-05
Bosnia and Herzegovina,BIH,0.001153541000956332,0.00360363636753319,-0.8720553630038804,0.001598510208697021,-0.002025964414106944,0.004085644151414633,-0.012825669715356827,0.011137214323000908
Belarus,BLR,0.0038427648001521752,0.011307335862332754,-1.0299091794343205,0.004600515335341096,-0.0043062823349940774,0.012722979646187306,-0.053564237405786516,0.027176918890585898
Belize,BLZ,-0.0009514529816735281,0.0014087241194635693,0.47282458022730856,-0.00102534,-0.0021784300000000003,0.0002451339056992528,-0.005525981896277666,0.005912725250399113
Bolivia,BOL,0.009624496743852337,0.061942805838210366,-0.1546054939641607,0.013681553816022873,-0.047183298049607275,0.0645745228111147,-0.201755184168396,0.18106721668079376
Brazil,BRA,-0.06624301786236504,0.32038644996227905,-0.2948468855398835,-0.048136966024990076,-0.37300021520337234,0.24485047840881347,-1.0915745343649292,0.7815756418685913
Brunei,BRN,0.00013431391626167488,0.0006143733906102963,1.6692043187481163,-7.653e-05,-0.00028103,0.0005034734689716995,-0.0009882582800412178,0.002440200514935255
Bhutan,BTN,0.001087754737859973,0.002285361773444538,-0.19351539966369902,0.0009887831453759969,-0.0010014795532404682,0.0031413567253324687,-0.010908493943457604,0.00828890748663187
Botswana,BWA,-0.00171934368,0.0025597267257967,-1.0067353400155954,-0.0006350500000000001,-0.00601996,0.00020077999999999999,-0.00609276,0.00039828000000000004
Central African Republic,CAF,0.02649577979368073,0.025832811090573386,-0.9875230531625049,0.027919708597488404,0.0047289989495944975,0.0463682674166708,-0.1337381510174942,0.09937299012863159
Canada,CAN,0.1442071101514518,0.09847626585126465,-0.018947254094911263,0.14847330442409515,0.04704010579938888,0.23758750339172363,-0.10453089349012376,0.4398924171787262
Switzerland,CHE,0.0009013544215417788,0.002096301136166441,-1.079503795765264,0.0007618024515637569,-8.244870570879429e-05,0.0020789754840964555,-0.012145077999794484,0.010780260446658134
Chile,CHL,0.006149421029230939,0.012349880595071996,-0.3748330341936872,0.00677283366146773,-0.004126417495335287,0.01714639855326991,-0.03920938387972832,0.044460447640295025
