Country,iso,Fabc_mean,Fabc_std,Fabc_skew,Fabc_median,Fabc_q17,Fabc_q83,Fabc_min,Fabc_max
Afghanistan,AFG,0.00022169188319042478,0.010648763718355062,0.07476378656471788,-0.0007179523317752548,-0.007632448841188842,0.008859595952365731,-0.03885786379891028,0.03142357780870353
Angola,AGO,0.023870998354330385,0.04016881006385529,-0.6777493314924001,0.026681403496370184,-0.01062356858635254,0.06041539214083959,-0.1799430503239169,0.14809294931931138
Albania,ALB,-0.0004183234189570181,0.0024468452837080336,0.06348671320642339,-0.0004729070932580402,-0.002288998887765043,0.0015631290851995804,-0.008045070066521784,0.00801361559351313
United Arab Emirates,ARE,-0.05881600944510245,0.0018438700668162837,-0.11161337376361011,-0.058798724525261206,-0.0611142969586971,-0.05679662080490485,-0.06331442415710552,-0.05254616315073122
Argentina,ARG,-0.0179895050213499,0.14211700353399861,-0.432821927067567,-0.010837344375525252,-0.12850948613353974,0.09907954039874269,-0.5690358648892951,0.5094131764129908
Armenia,ARM,-0.0016897646285660567,0.002022944517087054,0.011060742551355963,-0.0016855499968518614,-0.003459578303655342,-7.048793834410041e-05,-0.009639195191496452,0.0056511203744434805
Australia,AUS,-0.08853699478354776,0.2703985454339794,0.11250777736419121,-0.09986022373643033,-0.3472579274761122,0.1278315128382047,-0.8294625779603279,0.722624110533777
Austria,AUT,-0.014202132799620296,0.004964368883065038,-0.2131221861094819,-0.014146521009775129,-0.018058506061753375,-0.010156557701697348,-0.03797154180336436,0.009554809825664756
Azerbaijan,AZE,-0.0098576536036047,0.0039801534524632745,-0.12957360852837585,-0.009763453336054693,-0.013540618401811817,-0.006238417318480516,-0.02211740804424348,0.0012643821630111286
Burundi,BDI,0.0007040841128209609,0.0019905619623943093,-0.6725108768962345,0.0007711585115262865,-0.0010514035919692865,0.002531629615987999,-0.009118696382038593,0.005823970441337824
Belgium,BEL,-0.02676205367075699,0.002593799169194125,-0.06100360829932761,-0.026847651070739834,-0.028774701211559957,-0.024514278183028072,-0.03738863537265172,-0.015458573361702251
Benin,BEN,-0.0035317759550720566,0.007824453183398387,-0.5973198401462326,-0.0033494921424714356,-0.008335687001849671,0.001616215400953512,-0.052011732479150356,0.03765421136635281
Burkina Faso,BFA,-0.002634319136138697,0.011854950982973731,-0.44857656104346394,-0.0034962968185285634,-0.010813764869059822,0.006589657154323358,-0.06251380376065814,0.03869251400787446
Bangladesh,BGD,-0.017953074250753882,0.009993544185234328,-0.003707684438317678,-0.017897436100749863,-0.026588713714854183,-0.009345941572309578,-0.06453122006878764,0.030331091744671416
Bulgaria,BGR,-0.007488039645708604,0.008254556996581158,1.3603602343634618,-0.007942518112716975,-0.013302969927906593,-0.00287986537410101,-0.042924152424383064,0.042785258903546904
Bahamas,BHS,-0.00043898735805183336,0.0006032781225058485,1.148457388151442,-0.0005845134771620064,-0.0006849997681135178,-1.1386543061435165e-05,-0.0024494024091866614,0.0022576089963781834
Bosnia and Herzegovina,BIH,-0.003963052603429338,0.005238773885266309,-0.5703197497584517,-0.003202532049649924,-0.008745120382608067,0.0005095414246594498,-0.022482331479709777,0.013721539453109352
Belarus,BLR,-0.011592634214797082,0.014043467706302744,-0.8996877727840554,-0.010931574187817008,-0.02164407646573071,-0.0005393789962256838,-0.0781579047547184,0.022309274497191018
Belize,BLZ,-0.0007017778143967419,0.0019113305564131496,0.9218284011517541,-0.0009485447023634527,-0.002331669790071821,0.0008660718307685703,-0.005990196194870156,0.008868884247815649
Bolivia,BOL,0.008099030323355032,0.06887720480928834,-0.015305821732377423,0.011368580204495748,-0.056943817192113014,0.06725500621514226,-0.22056176880317346,0.19931446301670938
Brazil,BRA,-0.1624961369557749,0.37319714632786083,-0.21741859645705755,-0.14380555746229395,-0.5386714296468688,0.21063924765561748,-1.2488982112070284,0.8357320158504173
Brunei,BRN,-0.0019088214465256992,0.0011783392727541739,1.5241208377106414,-0.00218540434683198,-0.00291334936887059,-0.0010129212676576503,-0.004123189511141479,0.003486700862091837
Bhutan,BTN,0.0008097962173973606,0.0022921899569868344,-0.1505489293827322,0.0006861226013721146,-0.0012543611499334724,0.0028965611051263254,-0.011196841606310315,0.008000559823779159
Botswana,BWA,0.0026759325454183075,0.022210525815850604,1.1287178034673364,-0.0011625292188883903,-0.013305267598533137,0.020894015881190223,-0.06714561906606671,0.11065052700672395
Central African Republic,CAF,0.02782253108583013,0.02613659685655109,-0.8465532179197778,0.028883882977936266,0.005493345577843191,0.04875392988590241,-0.12812313024074554,0.10415761189186097
Canada,CAN,0.03147802149016492,0.13193261742955018,0.016663389945227074,0.03600187014550657,-0.0937288098590833,0.14679748345934354,-0.34057089555895637,0.5057974478605982
Switzerland,CHE,-0.008944543701263335,0.002457868752783985,-0.7962982753181953,-0.009066818712659599,-0.010578833085496054,-0.007190129481409839,-0.023918163049623683,0.0018231401880710839
Chile,CHL,-0.013992379926753916,0.017268034068537087,-0.09295297107133817,-0.01405795990635361,-0.028631343668640983,0.0012956783606047485,-0.06411084819474312,0.03616148603543146
China,CHN,-2.5705743478767893,0.21848820230305957,-0.2659882265243863,-2.5411501488211528,-2.7996707804572427,-2.3646324300589505,-3.2706231068755773,-1.8596389234847455
