Series Name,Series Code,Country Name,Country Code,2005,2020
Consumer price index (2010 = 100),FP.CPI.TOTL,United States,USA,89.5605323721102,118.690501577198
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 12/16/2024,,,,,
