Series Name,Series Code,Country Name,Country Code,2005,2020
GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,United States,USA,83.8058099105923,108.266880351916
,,,,,
,,,,,
,,,,,
Data from database: World Development Indicators,,,,,
Last Updated: 12/16/2024,,,,,
