"mean","10%","25%","50%","75%","90%","ID","iso","dr","elasmu","prtp"
0.00577062751450916,0.00213939678057188,0.00310996214403292,0.0042183722699002,0.00750817138234199,0.0124302671508977,"2_1p5_NA_AFG","AFG","NA","1p5","2"
0.193914589697293,0.146452721680916,0.161907878605934,0.185703638420581,0.224976982670998,0.246136488030493,"2_1p5_NA_AGO","AGO","NA","1p5","2"
0.00321383031138145,0.00160687464471095,0.00230128908229459,0.00283165284357802,0.00413306105874579,0.00506644082344971,"2_1p5_NA_ALB","ALB","NA","1p5","2"
0.899641937624157,0.671505664922174,0.718219550584668,0.820167859691212,1.0664687830357,1.23977802549786,"2_1p5_NA_ARE","ARE","NA","1p5","2"
0.207295735171875,0.101299964989318,0.159884758203756,0.200887013907717,0.264989389587658,0.304650540679776,"2_1p5_NA_ARG","ARG","NA","1p5","2"
-0.00357821191961473,-0.00412270777155521,-0.00387389446235458,-0.0035816279669992,-0.00324462271054239,-0.0030937796059662,"2_1p5_NA_ARM","ARM","NA","1p5","2"
0.341805842157828,0.262292081860442,0.285711632490817,0.322622136328368,0.394539043569077,0.443531992403507,"2_1p5_NA_AUS","AUS","NA","1p5","2"
-0.0894469750972958,-0.108134671845323,-0.0975263256153499,-0.0872541796461019,-0.0787382625469826,-0.0736390600744223,"2_1p5_NA_AUT","AUT","NA","1p5","2"
0.008829661767121,0.00408416133984316,0.00526954051366828,0.00704613006927143,0.0135207201948529,0.0157217838975245,"2_1p5_NA_AZE","AZE","NA","1p5","2"
0.0036862233492045,0.00286401806115346,0.00315891597630935,0.00365097559450813,0.00409700965164166,0.00451977446921125,"2_1p5_NA_BDI","BDI","NA","1p5","2"
-0.0398730496576247,-0.0491261517539781,-0.0438015205599626,-0.0409373207069869,-0.0373581621209633,-0.02690155253868,"2_1p5_NA_BEL","BEL","NA","1p5","2"
0.0160475823628246,0.0116438600702447,0.0132589722688937,0.0153294458775561,0.0180438901726864,0.0216567307638793,"2_1p5_NA_BEN","BEN","NA","1p5","2"
0.0436775453540667,0.0347504154542594,0.0376312945451587,0.0413554584666008,0.0491110222212169,0.0551406213697965,"2_1p5_NA_BFA","BFA","NA","1p5","2"
0.177163828732414,0.132778587030374,0.148102422853197,0.166598604140659,0.20661487062943,0.23468639284438,"2_1p5_NA_BGD","BGD","NA","1p5","2"
-0.00881928532583273,-0.0110499300193227,-0.0100712771588533,-0.00891258837553437,-0.00763058245098962,-0.007161128269758,"2_1p5_NA_BGR","BGR","NA","1p5","2"
0.00902632582883005,0.00704531347177476,0.00756669608775284,0.00850746397861755,0.010331013087898,0.0117161615532333,"2_1p5_NA_BHS","BHS","NA","1p5","2"
-0.00401754883213955,-0.00489286956451433,-0.00437975099649994,-0.00394587294009135,-0.00362788673343454,-0.00341855156174943,"2_1p5_NA_BIH","BIH","NA","1p5","2"
-0.047779521852337,-0.0572979517279403,-0.0534570489555419,-0.0465352034185841,-0.041106901849738,-0.0388710438319226,"2_1p5_NA_BLR","BLR","NA","1p5","2"
0.00191977112210651,0.00149173902587355,0.00165140594591509,0.00188022518270397,0.00217157820031268,0.00243331219533414,"2_1p5_NA_BLZ","BLZ","NA","1p5","2"
0.0259621266602413,0.019378328909279,0.0209153912195872,0.023034343016811,0.0321198370225102,0.0346997688193157,"2_1p5_NA_BOL","BOL","NA","1p5","2"
1.55979603693805,1.20542964708545,1.30922446069388,1.45181537058825,1.78860836588073,2.05249288093559,"2_1p5_NA_BRA","BRA","NA","1p5","2"
0.0248322446266608,0.0196494495542016,0.0208464269978486,0.0237994271704129,0.0275182765962986,0.0321499889416738,"2_1p5_NA_BRN","BRN","NA","1p5","2"
0.0025448454378592,0.00178922199984892,0.00202569176272071,0.00231352704478012,0.00308802059258553,0.00359757336581688,"2_1p5_NA_BTN","BTN","NA","1p5","2"
0.0320996416798336,0.0250789583213491,0.0267436819555463,0.0305634523036714,0.0358230440387022,0.0409209832026329,"2_1p5_NA_BWA","BWA","NA","1p5","2"
0.00359338714037304,0.00282991479804613,0.00309002774556554,0.00349253696378557,0.0039712630176986,0.00441213119289607,"2_1p5_NA_CAF","CAF","NA","1p5","2"
-0.827945530795872,-0.947149906840736,-0.882428047386566,-0.818451383711207,-0.76836691231418,-0.709031826312771,"2_1p5_NA_CAN","CAN","NA","1p5","2"
-0.103355974675467,-0.126737757410316,-0.112925277959459,-0.100892701942774,-0.089498861982754,-0.0852091477027114,"2_1p5_NA_CHE","CHE","NA","1p5","2"
-0.0346071040405161,-0.0419180307352209,-0.0366403973732239,-0.0337854566295717,-0.0318957372940188,-0.0291417196565225,"2_1p5_NA_CHL","CHL","NA","1p5","2"
2.3812697982885,1.62767848606109,1.91303290689343,2.1814843437874,2.77925449163415,3.41565571340337,"2_1p5_NA_CHN","CHN","NA","1p5","2"
0.0334852564447709,0.0245490740982898,0.0281672098904373,0.0320165623300849,0.0363909250635904,0.0452746736535287,"2_1p5_NA_CIV","CIV","NA","1p5","2"
0.0432133882251375,0.0348878255619218,0.0369452383733728,0.0411469495466407,0.0479327008715309,0.0549322524086894,"2_1p5_NA_CMR","CMR","NA","1p5","2"
0.0260434247064536,0.0198784318725923,0.021771622227886,0.026383015730303,0.0289871114530188,0.0318507651147882,"2_1p5_NA_COD","COD","NA","1p5","2"
0.0265676213324781,0.020170298884886,0.022204030087728,0.0256808204275929,0.0301625595620344,0.0338994171715017,"2_1p5_NA_COG","COG","NA","1p5","2"
